switch_index,G_N_US,G_N_W,fixed_nu_b,common_growth_implied_nu_b,common_growth_log_gap,fed_to_solver
68,1.073630553651469,1.0307845137536538,1.0,0.42676856194301016,0.04072576973331665,false
69,1.073966066663507,1.0307526669378935,1.0,0.42446691418738175,0.04106912032455197,false
70,1.0742958667827573,1.030721546471754,1.0,0.4222270570707963,0.041406351784803425,false
71,1.0746199514585737,1.0306911420845541,1.0,0.42004754143409856,0.04173747659860064,false
72,1.0749383232393501,1.0306614433049452,1.0,0.4179269403095878,0.04206251210337893,false
73,1.0752509914720743,1.030632439310957,1.0,0.41586383701034707,0.04238148220878448,false
74,1.0755579740764887,1.0306041187775798,1.0,0.4138568133176956,0.04269441918543698,false
75,1.0758592993986635,1.0305764697213105,1.0,0.411904437703642,0.043001365528212196,false
76,1.0761550081197546,1.0305494793437306,1.0,0.4100052537144886,0.04330237586955962,false
77,1.0764451552237426,1.0305231338735672,1.0,0.4081577684552024,0.04359751894700494,false
78,1.076729811998085,1.0304974184093918,1.0,0.40636044130661214,0.04388687959860721,false
79,1.0770090680556894,1.0304723167637442,1.0,0.40461167290973515,0.044170560774967456,false
80,1.0772830333358996,1.0304478113121873,1.0,0.40290979464170407,0.04444868552523684,false
81,1.0775518400625588,1.0304238828488876,1.0,0.40125305867198896,0.044721398935400725,false
82,1.077815644645121,1.0304005104495944,1.0,0.3996396286388172,0.044988870005163814,false
83,1.07807462940756,1.0303776713518211,1.0,0.39806757160140976,0.04525129334719632,false
84,1.0783290041914053,1.0303553408475834,1.0,0.3965348509222344,0.045508890756532076,false
85,1.0785790077080892,1.0303334921992258,1.0,0.3950393207828085,0.04576191252436425,false
86,1.0788249086377706,1.0303120965779968,1.0,0.3935787222841284,0.04601063849426802,false
87,1.079067006348734,1.0302911230357834,1.0,0.39215068181984986,0.04625537873433255,false
88,1.0793056312641907,1.030270538507022,1.0,0.3907527114921507,0.04649647385332806,false
89,1.0795411447353809,1.030250307852409,1.0,0.3893822123376889,0.04673429481919293,false
90,1.079773938454756,1.0302303939408188,1.0,0.3880364800929743,0.046969242315006834,false
91,1.0800044332613759,1.0302107577814863,1.0,0.38671271429107495,0.047201745484131065,false
92,1.0802330774021438,1.0301913587002822,1.0,0.3854080302441984,0.04743226012984618,false
93,1.0804603441346332,1.0301721545691447,1.0,0.38411947449767664,0.04766126625527874,false
94,1.0806867287311053,1.0301531020828338,1.0,0.3828440433339128,0.04788926500489735,false
95,1.080912744842129,1.0301341570857931,1.0,0.3815787044852075,0.04811677496680207,false
96,1.0811389202490163,1.0301152749458051,1.0,0.380320421802968,0.04834432786654351,false
97,1.0813657920731756,1.0300964109678732,1.0,0.3790661824133959,0.04857246372235781,false
98,1.081593901471666,1.030077520844975,1.0,0.377813026105036,0.04880172549268844,false
99,1.0818237879255541,1.0300585611358481,1.0,0.37655807626098203,0.049032653324713904,false
100,1.082055983206163,1.0300394897617668,1.0,0.3752985717714834,0.04926577849095172,false
101,1.0822910051464705,1.0300202665108027,1.0,0.3740318991355622,0.04950161714336787,false
102,1.0825293513313101,1.0300008535392564,1.0,0.37275562404447093,0.04974066400064853,false
103,1.0827714928576193,1.0299812158569628,1.0,0.37146752155030727,0.04998338612188789,false
104,1.0830178682813483,1.0299613217861847,1.0,0.37016560413029637,0.050230216884928416,false
105,1.083268877915594,1.0299411433801213,1.0,0.36884814672679267,0.05048155033535741,false
106,1.0835248785862168,1.029920656792106,1.0,0.36751370818728707,0.05073773601323986,false
107,1.0837861789596612,1.029899842586175,1.0,0.366161148517056,0.05099907437270022,false
108,1.0840530355639066,1.0298786859796076,1.0,0.3647896413676627,0.051265812915046644,false
109,1.0843256495546607,1.0298571770139646,1.0,0.3633986815858769,0.051538143086619345,false
110,1.0846041642981423,1.029835310650007,1.0,0.3619880875876494,0.05181619801117669,false
111,1.084888663800407,1.0298130867856141,1.0,0.36055799857672177,0.052100051084556495,false
112,1.0851791719857402,1.0297905101983422,1.0,0.3591088668013499,0.05238971543137122,false
113,1.085475652820963,1.0297675904150572,1.0,0.35764144510048607,0.05268514421728038,false
114,1.0857780112328055,1.0297443415152143,1.0,0.3561567702604964,0.05298623176037899,false
115,1.0860860947693138,1.0297207818742082,1.0,0.3546561426927071,0.05329281538878698,false
116,1.0863996959255278,1.0296969338556794,1.0,0.3531411030943141,0.05360467796074103,false
117,1.0867185550399288,1.029672823462654,1.0,0.35161340680928455,0.05392155094988025,false
118,1.0870423636340036,1.0296484799598178,1.0,0.35007499674562315,0.05424311796469095,false
119,1.0873707680803408,1.029623935477911,1.0,0.3485279756047338,0.05456901858454432,false
120,1.087703373409045,1.029599224616487,1.0,0.34697457848966834,0.05489885232030574,false
121,1.0880397470603032,1.0295743840607183,1.0,0.3454171468980744,0.05523218250663577,false
122,1.0883794223280443,1.0295494522318,1.0,0.3438581053194607,0.05556853987201789,false
123,1.088721901137724,1.0295244689968686,1.0,0.3422999420227838,0.05590742543336483,false
124,1.0890666556929558,1.0294994754707876,1.0,0.3407451959803055,0.05624831225726186,false
125,1.089413128322269,1.0294745139549553,1.0,0.33919645262313824,0.056590645431870104,false
126,1.0897607285635975,1.029449628076765,1.0,0.3376563522089667,0.05693383930770911,false
127,1.090108826077425,1.0294248632215983,1.0,0.33612761625027143,0.05727727063062287,false
128,1.0904567373065481,1.0294002673918385,1.0,0.33461309997314,0.0576202655349273,false
129,1.09080370279074,1.029375892691288,1.0,0.33311588256123575,0.05796207738165006,false
130,1.091148850536663,1.029351797728648,1.0,0.3316394125840398,0.058301850958810866,false
131,1.0914911386032244,1.0293280513750522,1.0,0.33018773438017435,0.058638566380309044,false
132,1.091829266756961,1.029304738519021,1.0,0.32876583351164673,0.058970952802886493,false
133,1.0921615422174704,1.0292819687672994,1.0,0.327380157490648,0.05929735737500836,false
134,1.09248567752344,1.0292598894830354,1.0,0.3260393942867387,0.0596155480253215,false
135,1.0927984885727529,1.029238705191594,1.0,0.3247556291907347,0.05992241897217834,false
136,1.0930954467157292,1.0292187063102292,1.0,0.3235460561411071,0.060213553987253164,false
137,1.0933700178982886,1.029200311568556,1.0,0.3224355050700202,0.0604825819665275,false
