T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,hard_valid,model_residuals,psi_interior,equity_interior,theta_interior,positive_foreign_claims,positive_returns,accounting_exact,positive_output,finite_accounting,exact_common,extended_bgp_valid,exponent_ordering,robust_ordering_002,accounting_residual_max,accounting_scale,nfa_identity_error,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_reference,nu_b_eff_min,nu_b_eff_max,nu_b_ordering_ok,max_common_growth_log_gap,max_common_growth_level_gap,all_extended_bgp_converged,max_extended_bgp_residual,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,nfa_final,nfa_min,rebased_nfa_t15,nfa_savings_identity_error,nfa_portfolio_identity_error,cond_1b_final,error,search_stage
130,0,local_loglinear,0.07620406150817871,ok,130,500,125,true,1.0784257953032795e-6,130,1.0784257953032795e-6,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,6.548361852765083e-11,832430.225613125,0.007900762022472918,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.058244762094582764,0.061735004379954495,true,9.412400289866509e-10,T_report_plus_1_only,3522.754095283026,0.1853600943705058,0.05403878371578197,,0.19300514356300735,249.29551589568598,235.20626524072108,832430.217712363,-0.007369053462887409,-0.043894781116962225,0.0,0.007900762022472918,0.021988261085511714,,coarse_grid
135,0,local_loglinear,0.07217693328857422,ok,135,500,130,true,1.2968100639675685e-6,135,1.2968100639675685e-6,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,4.0745362639427185e-10,3.069706361265512e6,0.031396251637488604,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.05987730357572582,0.06351067422273649,true,9.412400289866509e-10,T_report_plus_1_only,7570.8257483543,0.1510716800256114,0.02040577873882604,,0.15806022760730443,450.76892347264067,425.29314895878133,3.0697063298692605e6,-0.007369053462887409,-0.043894781116962225,0.0,0.031396251637488604,0.014251676049377405,,coarse_grid
140,0,local_loglinear,3.6585469245910645,ok,140,500,135,false,0.027671290016807217,140,0.027671290016807217,9.412400289866509e-10,false,false,false,true,true,false,true,true,false,true,true,false,true,true,true,6.402842700481415e-10,1.056136013951839e7,2753.7371311169118,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.06116340880058459,0.0649114423783348,true,9.412400289866509e-10,T_report_plus_1_only,16756.01687220452,0.11446251856670854,0.0007873939931230346,,0.1223536025560409,917.9841918873286,866.103156922352,1.0558606402387273e7,-0.007369053462887409,-0.043894781116962225,0.0,2753.7371311169118,0.008245427648375278,,coarse_grid
140,0,local_loglinear,5.678407907485962,ok,140,1000,140,false,0.027671290016807057,140,0.027671290016807057,9.412400289866509e-10,false,false,false,true,true,false,true,true,false,true,true,false,true,true,true,8.731149137020111e-10,1.0561360139518388e7,2753.7371310982853,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.061163408800584795,0.06491144237833502,true,9.412400289866509e-10,T_report_plus_1_only,16756.01687220452,0.1144625185667086,0.0007873939931230246,,0.12235360255604093,917.9841918873276,866.103156922351,1.055860640238729e7,-0.007369053462887409,-0.043894781116962225,0.0,2753.7371310982853,0.008245427648375289,,coarse_grid
145,0,local_loglinear,24.26789116859436,ok,145,500,135,false,0.21945323424808383,143,1.0949099954245413e-9,9.412400289866509e-10,false,false,false,true,true,false,true,true,false,true,true,false,true,true,true,2.3283064365386963e-9,1.7389644562631574e7,1.0573361166057698e6,true,0.9146927116170667,true,0.1068215261902914,1.0,1.0,1.0,true,0.06120459992665059,0.06495633378998256,true,9.412400289866509e-10,T_report_plus_1_only,38437.269421072066,0.0718812402544783,0.21929344169891854,,0.080203409487575,2624.1497773300457,2475.842641374805,1.1351612047391817e7,-0.007369053462887409,-0.043894781116962225,0.0,1.0573361166057698e6,0.00336954434825467,,coarse_grid
145,0,local_loglinear,32.57355093955994,ok,145,1000,145,false,0.21945323424808383,143,1.0949099954245413e-9,9.412400289866509e-10,false,false,false,true,true,false,true,true,false,true,true,false,true,true,true,2.3283064365386963e-9,1.7389644562631574e7,1.0573361166057698e6,true,0.9146927116170667,true,0.1068215261902914,1.0,1.0,1.0,true,0.06120459992665059,0.06495633378998256,true,9.412400289866509e-10,T_report_plus_1_only,38437.269421072066,0.0718812402544783,0.21929344169891854,,0.080203409487575,2624.1497773300457,2475.842641374805,1.1351612047391817e7,-0.007369053462887409,-0.043894781116962225,0.0,1.0573361166057698e6,0.00336954434825467,,coarse_grid
136,0,local_loglinear,0.07755804061889648,ok,136,500,135,true,1.6183830167708741e-6,136,1.6183830167708741e-6,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,4.0745362639427185e-10,3.9939857742151585e6,0.05021701892837882,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.060185317187947465,0.06384599538675229,true,9.412400289866509e-10,T_report_plus_1_only,8852.695953843198,0.14454314200052262,0.014815450817101559,,0.15146791054117054,510.5659143928338,481.7106374821492,3.9939857239981396e6,-0.007369053462887409,-0.043894781116962225,0.0,0.05021701892837882,0.012997815766417616,,exhaustive_upper_frontier
137,0,local_loglinear,0.05954599380493164,ok,137,500,136,true,1.6331730215479142e-6,137,1.6331730215479142e-6,9.412400289866509e-10,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,6.402842700481415e-10,5.190840556421972e6,0.066229029558599,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.0604825819665275,0.06416970632973262,true,9.412400289866509e-10,T_report_plus_1_only,10362.986828050973,0.13800982427772793,0.00971653007348138,,0.1449166329044599,580.3046261251104,547.5079779209224,5.190840490192942e6,-0.007369053462887409,-0.043894781116962225,0.0,0.066229029558599,0.011815594788574364,,exhaustive_upper_frontier
138,0,local_loglinear,0.05087995529174805,ok,138,500,137,true,1.3306946685709595e-6,138,1.3306946685709595e-6,9.412400289866509e-10,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,2.3283064365386963e-10,6.724937268195553e6,0.07182961143553257,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.06076459836910941,0.06447689555965397,true,9.412400289866509e-10,T_report_plus_1_only,12144.468964714863,0.13135166520068803,0.005255451771065611,,0.1383100466986449,662.9576481020503,625.4897600649296,6.724937196365941e6,-0.007369053462887409,-0.043894781116962225,0.0,0.07182961143553257,0.010687873809255186,,exhaustive_upper_frontier
138,0,local_loglinear,0.0031821727752685547,ok,138,1000,138,true,1.0010258412224021e-6,138,1.0010258412224021e-6,9.412400289866509e-10,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,2.6193447411060333e-10,6.724941920727105e6,0.05482488963752985,true,0.9146927116170667,true,0.18718288659865714,1.0,1.0,1.0,true,0.060764600227764635,0.06447689758448027,true,9.412400289866509e-10,T_report_plus_1_only,12144.468682452198,0.13135172285761704,0.005255415227319498,,0.13831009153620058,662.9572186397025,625.4893548741884,6.724941865902215e6,-0.007369053462887409,-0.043894781116962225,0.0,0.05482488963752985,0.010687880767630383,,exhaustive_upper_frontier
