t,N_US,N_W,φ_US,φ_W,ω,ω_star,θ,θ_US_star,R_f,R_f_W,Y_US,Y_W,e_US,e_W,q_US,q_W,d_US,d_W,Q_US,Q_W,I_US,I_W,A,A_star,S,S_star,R_US_u,R_W_u,R_p_u,R_A_u,R_p_star_u,R_A_star_u,R_US_b,R_W_b,R_p_b,R_A_b,R_p_star_b,R_A_star_b,Psi,residual_norm
21,1.7562021682208182,3.7277242984007337,0.7931788926628507,0.6601766781996361,0.5195977988908341,0.1536323230527575,-0.6759527438628811,0.7173481017585042,1.0483353713820034,1.0630072217032907,2.0439822861320303,1.9811620973674269,2.0455092708471505,1.9179289827680233,0.5098768434704303,0.26475338112553654,0.020221177504915276,0.03495680153871579,0.9324862785215867,1.0540038157962524,0.03703946049323031,0.06707620389083956,1.0227546354235753,0.9637354590028376,1.7140884375366217,0.27240165688979134,1.006817740119012,1.066930682985925,1.0356961301874263,1.0271526004216072,1.0576953919277434,1.0509809989568362,1.096846339097191,1.0715437143470756,1.0846909024733962,1.1092655234692157,1.0754310153667679,1.0559940065883728,0.9828531118769471,4.439742838089195e-11
22,1.8288461036486847,3.9810778291684277,0.7856388176486725,0.6601978658438152,0.5202785465844179,0.15402211024107718,-0.6748134134959205,0.718491580343638,1.0485698520792555,1.0632213022487713,2.062528252273327,1.9942405029709733,2.0657715747639713,1.9305853602081187,0.4939497465394577,0.24952617597670398,0.019403304742456048,0.03294732977039765,0.9420870501237361,1.060893868294412,0.03872898076679335,0.06751074131637616,1.0328857873819857,0.9700951312488557,1.729890971316645,0.27308994731419645,1.0053265490968788,1.0669280793751532,1.0348781247345966,1.025638763468492,1.0574400816876137,1.0510668963982934,1.1015147613157754,1.0722360827837247,1.0874691510962924,1.1137189198485775,1.0767456466363012,1.0565015754775717,0.982926629976538,8.336271939890751e-11
23,1.907252826272035,4.251633577687088,0.7778868685251755,0.6602230288795445,0.5210346945132447,0.1544486382172948,-0.6735470972894618,0.7197389281665733,1.0488242502869942,1.0634535029104355,2.081889802755965,2.0074060370506754,2.0869296463740863,1.9433251561145042,0.47798969862332163,0.23517313922994965,0.018591095492469404,0.031053344458701636,0.9521449666678758,1.0678165763840624,0.040497763039627446,0.06794656106392774,1.0434648231870431,0.9764967202366415,1.7462875259683377,0.273674017455347,1.0037991177597065,1.066924659477937,1.0340340621327957,1.0240721738331704,1.0571750055228273,1.0511646419000074,1.106378862138989,1.0729868790049106,1.0903852607363667,1.1183785586849586,1.0781442253273439,1.057041497917932,0.9830081766438072,1.4556019448067906e-10
24,1.9919780058235332,4.540555013555197,0.7699221153118578,0.6602530387268805,0.521870336373537,0.1549124673540974,-0.6721465849247641,0.7210876740370529,1.0491001658981838,1.0637055157873452,2.102102515599869,2.0206594852587743,2.1090229333590056,1.9561489219983126,0.4620196793348582,0.22164382031559077,0.017785958441460012,0.029268201175680696,0.962682695279696,1.0747692738830006,0.042349655787016806,0.06838331432551749,1.0545114666795028,0.9829405030936795,1.7632977477721348,0.2741542220010476,1.002235653138843,1.0669205789633902,1.0331634349650365,1.0224516156934564,1.0569000775032928,1.0512756573862703,1.1114470963861491,1.073800805690569,1.0934472880790873,1.1232550548042228,1.0796326854689509,1.0576160619491757,0.9830981570380843,8.188288391484036e-10
25,2.0836400230085697,4.849082967224959,0.761744073194809,0.660288830176581,0.5227897884714517,0.15541405630130642,-0.6706041177405233,0.722534569877247,1.0493993029975486,1.063979154977187,2.123203471869967,2.034001634788821,2.132092574332524,1.96905719179701,0.44606329164707414,0.2088907122848981,0.01698930343409631,0.027585640809869628,0.9737240223316653,1.0817490129515022,0.04428869506087753,0.06882061799931324,1.066046287166262,0.9894267481169057,1.7809413170419535,0.2745317182412141,1.0006364412307462,1.0669160157830115,1.032265731022855,1.0207758871050217,1.0566152382519192,1.0514014755766403,1.1167283211011783,1.074682860061549,1.0966637977446414,1.1283595625449672,1.0812173157107763,1.0582277015806754,0.9831969945955819,1.7907447064659276e-11
26,2.1829279399706287,5.178540496698321,0.7533527393168751,0.6603314018770287,0.5237975946136448,0.1559537479700157,-0.6689113487633278,0.7240754941862045,1.049723470440308,1.0642763586042614,2.145231312676429,2.0474332719354496,2.1561814630031013,1.9820504789509124,0.4301446521185982,0.19686907944221524,0.016202532598802506,0.025999767042863622,0.9852938907735175,1.0887525539908849,0.046319111434883174,0.06925805355165447,1.0780907315015507,0.9959557133036924,1.7992378567994955,0.2748085880057475,0.9990018626718756,1.066911167391283,1.0313404369273724,1.0190438171858731,1.0563204567982536,1.0515437406409844,1.1222317997586584,1.0756383400175369,1.1000438821546639,1.1337037766248397,1.082904764695055,1.0588790026598112,0.9833051307701618,2.044619892866013e-11
27,2.2906105793031113,5.530338014865631,0.744748624440456,0.6603818179718284,0.52489853313017,0.15653175724773094,-0.6670593060420545,0.7257053512412195,1.0500745871456207,1.0645991956209875,2.168226296013425,2.0609551799950987,2.1813343134541583,1.9951292735633295,0.41428827744729174,0.1855367942707098,0.015427031237533823,0.024505025100231292,0.9974184496026968,1.0957763519468868,0.048445338400667615,0.06969516543527647,1.0906671567270791,1.0025276449248572,1.8182068334163053,0.27498796823563115,0.9973323846038429,1.0669062557179252,1.030387032825956,1.017254266503815,1.0560157354139108,1.0517042123230953,1.1279672256336475,1.076672853328882,1.1035971941094864,1.139299947168364,1.0847020515626664,1.0595727153353014,0.9834230247830817,3.901041617066154e-11
28,2.407546879550784,5.905978683387622,0.7359327885315826,0.6604412080925117,0.5260976193159869,0.1571481582129502,-0.6650383591301382,0.7274179654846918,1.0504546806483215,1.0649498657789132,2.1922303560443894,2.07456813632279,2.20759772675967,2.0082940391210493,0.3985189572840871,0.1748541846793392,0.014664158375838838,0.023096181793930786,1.010125091505406,1.1028165475581593,0.050672019454270016,0.07013146014085946,1.103798863379835,1.0091427758767462,1.837867448291672,0.2750741909649091,0.9956285725993499,1.0669015232578158,1.0294049935947711,1.0154061442564748,1.0557011103314355,1.0518847631252863,1.1339447147635844,1.0777923215876704,1.107333961956414,1.1451608658660493,1.0866165667545147,1.0603117611350585,0.9835511527608766,7.252899793154146e-11
29,2.5346977177432772,6.307064080740118,0.7269068717493375,0.6605107688713444,0.5274001099448763,0.15780287515198244,-0.6628381890010353,0.7292059704039261,1.0508658950283323,1.065330709129372,2.217287162455168,2.0882729098855,2.2350202585778565,2.021545209375505,0.3828616233475161,0.16478388929872778,0.013915237247020798,0.02176830668366264,1.0234424991250028,1.1098689539537308,0.05300401621456756,0.07056640467306872,1.1175101292889282,1.0158013241140598,1.8582385195771143,0.2750729338258738,0.993891084998683,1.066897241230121,1.0283937864070078,1.0134984146254147,1.0553766598730052,1.0520873832171815,1.140174860163375,1.0790029888902553,1.1112650405252325,1.1512999007436078,1.0886560860555805,1.061099253135806,0.9836900068421085,1.2300641161987625e-10
30,2.673139423524942,6.735300147830043,0.7176731271342245,0.6605917625812451,0.5288115008275287,0.15849567398886863,-0.6604477683342469,0.7310606992362715,1.0513104887687512,1.0657442051957784,2.2434421817666848,2.102070257435739,2.263652487779872,2.0348831845619295,0.3673412085403007,0.15529072247723236,0.013181545692919145,0.02051675441474998,1.0374006819022998,1.1169290522263864,0.05544641546792474,0.07099942616884924,1.131826243889936,1.0225034907500243,1.8793383608091774,0.2749913738307831,0.9921206785775829,1.0668937073426132,1.0273528697799574,1.0115301137842063,1.0550425057523107,1.0523141748067482,1.1466687233057489,1.0803114212605696,1.1154019257459464,1.15773097226687,1.090828766572303,1.0619385067686253,0.9838400933548126,1.956450765516025e-10
31,2.824079242360546,7.192503418162297,0.7082344499356785,0.6606855164729243,0.5303375237593946,0.15922615835922135,-0.657855350373679,0.7329720748158395,1.051790837590917,1.066192977144451,2.270742739166179,2.1159609198589595,2.2935470858145623,2.048308327674004,0.35198250238821743,0.1463415465649104,0.012464306698295138,0.019337148054736866,1.05203101513414,1.1239919851835247,0.05800453646545395,0.07142991129624969,1.1467735429072812,1.0292494581844498,1.901184653775816,0.274838347315915,0.9903182079353943,1.066891249835892,1.0262816924076577,1.0095003647653915,1.054698818540196,1.052567349710278,1.1534378631801745,1.0817245080729958,1.1197567912410151,1.1644685574929816,1.0931431501097624,1.0628330598043914,0.9840019306412515,9.033761444973753e-10
32,2.9888730490750572,7.68060753468239,0.6985944052615313,0.6607934205116115,0.5319841377352212,0.15999376866106665,-0.6550484748080609,0.734928507852742,1.0523094292656214,1.0666797876108238,2.2992380814713616,2.1299456177011256,2.324758886749695,2.0618209603623328,0.33681000184351484,0.13790515208682874,0.011764679146200272,0.018225363430725915,1.067366274878429,1.131052556539183,0.06068393770942694,0.07185720634956522,1.1623794433748476,1.0360393880427643,1.9237943249057843,0.27462450651182757,0.9884846270685341,1.066890223655703,1.0251796899616623,1.0074083956086635,1.0543458167736026,1.052849217540952,1.1604943118589566,1.083249457209177,1.1243424946045226,1.1715276441905194,1.0956081526142716,1.0637866864717194,0.9841760459758362,1.6762022774646662e-11
33,3.169045660865907,8.201670056728862,0.6887572524581906,0.6609169262997739,0.5337575195201596,0.16079778919228882,-0.6520139835422761,0.7369167955734189,1.0528688690331338,1.0672075452618444,2.328979440849195,2.1440250470919944,2.3573449578255428,2.0754213590073993,0.321847760116844,0.12995214420975518,0.011083748948395013,0.017177514343435275,1.0834406711450817,1.1381052269278482,0.06349042348738604,0.0722806169549884,1.1786724789127714,1.0428734192027231,1.947183417180337,0.2743624809351576,0.9866209911043231,1.066891018407563,1.0240462877423702,1.0052535616990084,1.0539837754787975,1.053162182193495,1.1678506367062522,1.0848937948290023,1.1291726329766294,1.1789237540646975,1.0982330716012383,1.0648034288110073,0.9843629720946445,1.8557001791640457e-11
34,3.3663141565805774,8.757879555191007,0.6787279653606751,0.6610575428529628,0.5356640449620103,0.16163736001744902,-0.6487380647863297,0.7389220419958429,1.0534718727125958,1.067779298477838,2.360020099188919,2.1581998741753354,2.3913646704627407,2.0891097501464673,0.3071192353834406,0.1224548367780063,0.010422520687746444,0.016189938702185894,1.1002898800417154,1.1451441205831543,0.06643005021223657,0.07269940913080118,1.1956823352313704,1.0497516654964836,1.971366979488569,0.27406702123928495,0.9847284511209472,1.066894056031839,1.0228808957485203,1.0030353645529226,1.0536130245698057,1.0535087243512447,1.1755199089605008,1.0866653532682131,1.134261543983646,1.186672878978751,1.101027569075838,1.0658876168105769,0.984563242386719,3.664498013480953e-11
35,3.5826146762445386,9.351562998357855,0.6685122501793493,0.6612168327164887,0.5377102662886837,0.16251149846979077,-0.6452063155851256,0.7409275894990087,1.054121264941845,1.0683982340916833,2.3924154537518416,2.172470729614755,2.4268797714804378,2.102886305988754,0.2926471390953268,0.11538715204811753,0.009781909873258296,0.015259185442686436,1.1179510670861275,1.152163031923974,0.06950913160223281,0.07311281034490626,1.2134398857402189,1.0566742134570357,1.9963589636027013,0.2737551355945532,0.9828082543380269,1.0668997942575074,1.021682909934778,1.0007534784170258,1.0532339520965603,1.0538913866641486,1.1835157277588562,1.0885722600870675,1.139624337371236,1.1947914597046114,1.1040016652883282,1.0670439004963628,0.9847773853230712,6.704032045412649e-11
36,3.8201332517450863,9.985193424684848,0.6581165582356296,0.6613964062635977,0.5399028805354291,0.1634191285961982,-0.6414038386687437,0.7429149812569805,1.0548199676112906,1.069067665720107,2.4262230833419767,2.1868382022294997,2.4639544543407568,2.1167511396160785,0.2784532879369721,0.10872452655310885,0.00916273597432374,0.014382002226987461,1.1364629076770312,1.1591554390973726,0.07273424337125506,0.07352001145729711,1.2319772271703784,1.0636411199065867,2.022172149829934,0.27344619724703106,0.980861748599607,1.066908720503402,1.0204517125111918,0.9984077817616417,1.0528469993365424,1.0543127470253975,1.1918521743880564,1.0906229187199508,1.1452768854496185,1.203296299785265,1.1071657154696743,1.0682772751805805,0.9850059175608742,1.1002818028732647e-10
37,4.081341312566112,10.661397900235123,0.6475480911821462,0.6615979175733225,0.542248696485827,0.16435912472611836,-0.6373153602884493,0.7448639413336978,1.0555710009677963,1.0697910347964767,2.4615028145293865,2.201302833285857,2.502655430592407,2.1307043005598323,0.2645584625380388,0.10244382169215854,0.008565716371129515,0.013555323819956973,1.1558656109057068,1.1661145136659121,0.07611222816023525,0.07392016818507169,1.2513277152962035,1.070652409734045,2.0488180890091257,0.2731620360211231,0.978890370969663,1.0669213612356985,1.0191866715135842,0.9959983794786196,1.0524526647267993,1.0547754009496721,1.200543859931624,1.0928259957692985,1.1512358671995568,1.2122045558889978,1.1105304096403852,1.0695931278831512,0.9852493365359951,1.6842161242455898e-10
