T_report,model_T,terminal_rule,gate_source_terminal_rule,cutoff_t,cutoff_model_t,t,model_t,evaluation_date,bound_status,lower_bound_certified,hkt_gate_passed,prefix_stable,finite_prefix_product,omitted_tail_bound,bubble_share_lower,log_bubble_share_lower,log10_bubble_share_lower,bubble_share_lower_scientific,lower_bound_float64_underflow,bubble_share_upper,relative_interval_width_bound,leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,Q_US,NFA,B_agg_lower,B_agg_upper,V_agg_lower,V_agg_upper,NFA_bubble_lower,NFA_bubble_upper,NFA_fund_lower,NFA_fund_upper
30,29,local_loglinear,local_loglinear,22,21,22,21,false,diagnostic_only_hkt_gate_failed,false,false,true,1.0,9095.621897212277,0.0,-9095.621897212277,-3950.178399437678,6.63132881e-3951,true,1.0,1.0,0.2994284305585081,0.03110370931229858,0.8049741637386287,0.04847425363944183,40.78120858841449,2.0050109279849306,0.03393671098238471,0.0,2.0050109279849306,0.0,2.0050109279849306,-2.0050109279849306,-0.0,0.03393671098238471,2.0389476389673153
45,44,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.0030194673401212325,9095.689672794493,0.0,-9101.492347635089,-3952.7279036625914,1.87109715e-3953,true,0.0030194673401212325,1.0,0.0,0.0,0.0,0.052131056567304775,41.58402662560187,1.0681534236050094,0.14218193688193836,0.0,0.003225254376814006,1.0649281692281953,1.0681534236050094,-0.003225254376814006,-0.0,0.14218193688193836,0.14540719125875237
45,44,local_loglinear,local_loglinear,22,21,2,1,false,diagnostic_only_hkt_gate_failed,false,false,true,0.004011109857515142,9095.689672794493,0.0,-9101.208360098004,-3952.6045694423065,2.48559609e-3953,true,0.004011109857515142,1.0,0.32841637470869073,0.034768048914073375,0.8809449773838521,0.05211354649355129,41.580282308060404,1.0880550532784021,0.12497592416244663,0.0,0.004364308349724162,1.083690744928678,1.0880550532784021,-0.004364308349724162,-0.0,0.12497592416244663,0.12934023251217078
45,44,local_loglinear,local_loglinear,22,21,3,2,false,diagnostic_only_hkt_gate_failed,false,false,true,0.005328078523550573,9095.689672794493,0.0,-9100.924437402442,-3952.4812633823367,3.30169246e-3953,true,0.005328078523550573,1.0,0.3283302409601129,0.03448801604974626,0.8815266747310999,0.05207478034210855,41.571989357972036,1.1103198549605557,0.10901088926692504,0.0,0.005915871373487124,1.1044039835870687,1.1103198549605557,-0.005915871373487124,-0.0,0.10901088926692504,0.11492676064041216
45,44,local_loglinear,local_loglinear,22,21,4,3,false,diagnostic_only_hkt_gate_failed,false,false,true,0.0070763830901676514,9095.689672794493,0.0,-9100.640665159275,-3952.358022663012,4.38507814e-3953,true,0.0070763830901676514,1.0,0.3281304055278882,0.034218051916325314,0.8817370608346887,0.05201548132586455,41.559295220019834,1.1349030306302932,0.09427326942143299,0.0,0.008031008614932228,1.126872022015361,1.1349030306302932,-0.008031008614932228,-0.0,0.09427326942143299,0.10230427803636521
45,44,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395954962459267,9095.689672794493,0.0,-9100.357148799958,-3952.234893072631,5.82246555e-3953,true,0.009395954962459267,1.0,0.3277906018845377,0.03395902344500268,0.8814947353186051,0.05193648836884213,41.54236873674607,1.1617768929211354,0.08074330875104807,0.0,0.01091600336231285,1.1508608895588226,1.1617768929211354,-0.01091600336231285,-0.0,0.08074330875104807,0.09165931211336092
45,44,local_loglinear,local_loglinear,22,21,6,5,false,diagnostic_only_hkt_gate_failed,false,false,true,0.012471211584467935,9095.689672794493,0.0,-9100.074005158562,-3952.111925351587,7.72813408e-3953,true,0.012471211584467935,1.0,0.3272958027465646,0.03371143494370142,0.8807531034085896,0.051838718419750233,41.52139263482657,1.1909289976239965,0.06839980607326979,0.0,0.014852327511447171,1.1760766701125493,1.1909289976239965,-0.014852327511447171,-0.0,0.06839980607326979,0.08325213358471696
45,44,local_loglinear,local_loglinear,22,21,7,6,false,diagnostic_only_hkt_gate_failed,false,false,true,0.01654478737500757,9095.689672794493,0.0,-9099.791356983498,-3951.989172808837,1.02524389e-3952,true,0.01654478737500757,1.0,0.32663833525308844,0.03347550553787406,0.8794884891456433,0.05172313622926398,41.49655761189641,1.2223608253321285,0.057223198722044843,0.0,0.02022369995065883,1.2021371253814697,1.2223608253321285,-0.02022369995065883,-0.0,0.057223198722044843,0.07744689867270367
45,44,local_loglinear,local_loglinear,22,21,8,7,false,diagnostic_only_hkt_gate_failed,false,false,true,0.021935334374063992,9095.689672794493,0.0,-9099.509329295113,-3951.8666897400276,1.35928417e-3952,true,0.021935334374063992,1.0,0.3258154291664901,0.033251231333434855,0.8776925934991658,0.05159073016358252,41.46805768926218,1.256086828825368,0.04719757198108154,0.0,0.027552684593142127,1.2285341442322257,1.256086828825368,-0.027552684593142127,-0.0,0.04719757198108154,0.07475025657422367
45,44,local_loglinear,local_loglinear,22,21,9,8,false,diagnostic_only_hkt_gate_failed,false,false,true,0.02906053691235975,9095.689672794493,0.0,-9099.22804693951,-3951.744530365132,1.80081722e-3952,true,0.02906053691235975,1.0,0.32482762363178275,0.03303843606322753,0.8753675627056655,0.05144249298763884,41.43608658357779,1.2921337236225294,0.03831198840894601,0.0,0.03755009977103737,1.254583623851492,1.2921337236225294,-0.03755009977103737,-0.0,0.03831198840894601,0.07586208817998338
45,44,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.03846678488454253,9095.689672794493,0.0,-9098.94763293482,-3951.622748110247,2.38370161e-3952,true,0.03846678488454253,1.0,0.3236777076951458,0.03283681216872436,0.8725226865792642,0.051279406791511266,41.40083490999718,1.3305399895566343,0.030561350118731845,0.0,0.051181595558556524,1.2793583939980777,1.3305399895566343,-0.051181595558556524,-0.0,0.030561350118731845,0.08174294567728838
45,44,local_loglinear,local_loglinear,22,21,11,10,false,diagnostic_only_hkt_gate_failed,false,false,true,0.05086732270114229,9095.689672794493,0.0,-9098.668207346238,-3951.501395119023,3.15213552e-3952,true,0.05086732270114229,1.0,0.32237000970629004,0.032645954275050945,0.8691721662937172,0.051102431351847055,41.362488060533245,1.3713555332037308,0.023946973463493393,0.0,0.06975718444547123,1.3015983487582596,1.3713555332037308,-0.06975718444547123,-0.0,0.023946973463493393,0.09370415790896462
45,44,local_loglinear,local_loglinear,22,21,12,11,false,diagnostic_only_hkt_gate_failed,false,false,true,0.06719115111681172,9095.689672794493,0.0,-9098.389886514426,-3951.3805219175683,4.16368708e-3952,true,0.06719115111681172,1.0,0.32090991915528644,0.032465386600429934,0.8653335976645695,0.050912495346765216,41.32122463270919,1.4146414696613998,0.018477005230123966,0.0,0.09505138876412773,1.319590080897272,1.4146414696613998,-0.09505138876412773,-0.0,0.018477005230123966,0.1135283939942517
45,44,local_loglinear,local_loglinear,22,21,13,12,false,diagnostic_only_hkt_gate_failed,false,false,true,0.08864552436322048,9095.689672794493,0.0,-9098.112782528826,-3951.260177185709,5.49316715e-3952,true,0.08864552436322048,1.0,0.31930355247390174,0.032294584626046195,0.8610269035435668,0.05071048994470308,41.27721530838337,1.4604700682560636,0.014166693309390688,0.0,0.12946413501734716,1.3310059332387165,1.4604700682560636,-0.12946413501734716,-0.0,0.014166693309390688,0.14363082832673785
45,44,local_loglinear,local_loglinear,22,21,14,13,false,diagnostic_only_hkt_gate_failed,false,false,true,0.11679557824534174,9095.689672794493,0.0,-9097.837002861286,-3951.1404075978753,7.23756375e-3952,true,0.11679557824534174,1.0,0.3175575313512485,0.032132992880469044,0.8562736154123384,0.05049726430761889,41.23062208857919,1.5089247783660478,0.011038646817863818,0.0,0.17623574201798667,1.3326890363480612,1.5089247783660478,-0.17623574201798667,-0.0,0.011038646817863818,0.18727438883585049
45,44,local_loglinear,local_loglinear,22,21,15,14,true,diagnostic_only_hkt_gate_failed,false,false,true,0.15366546910244624,9095.689672794493,0.0,-9097.562650112437,-3951.021257712955,9.52230937e-3952,true,0.15366546910244624,1.0,0.3156788245840553,0.03198003900293784,0.8510963567433526,0.05027362268113042,41.181597819686196,1.5601003695895717,0.009123075944505565,0.0,0.2397335551398813,1.3203668144496903,1.5601003695895717,-0.2397335551398813,-0.0,0.009123075944505565,0.24885663108438685
45,44,local_loglinear,local_loglinear,22,21,16,15,false,diagnostic_only_hkt_gate_failed,false,false,true,0.20186642885620434,9095.689672794493,0.0,-9097.289821838078,-3950.902769898894,1.25092163e-3951,true,0.20186642885620434,1.0,0.31367463383477057,0.03183514477293918,0.8455184671854942,0.05004032275760444,41.13028594965977,1.6141031791209495,0.008458043212505872,0.0,0.3258332445745924,1.288269934546357,1.6141031791209495,-0.3258332445745924,-0.0,0.008458043212505872,0.33429128778709827
45,44,local_loglinear,local_loglinear,22,21,17,16,false,diagnostic_only_hkt_gate_failed,false,false,true,0.2647583813136539,9095.689672794493,0.0,-9097.018610432031,-3950.784984281818,1.64064915e-3951,true,0.2647583813136539,1.0,0.3115523111683392,0.03169773481508449,0.8395637290597642,0.04979807505082047,41.07682046415871,1.6710514465513018,0.009089764571097225,0.0,0.44242487608076253,1.2286265704705392,1.6710514465513018,-0.44242487608076253,-0.0,0.009089764571097225,0.45151464065185976
45,44,local_loglinear,local_loglinear,22,21,18,17,false,diagnostic_only_hkt_gate_failed,false,false,true,0.34665325640750055,9095.689672794493,0.0,-9096.749103054197,-3950.667938714793,2.14813359e-3951,true,0.34665325640750055,1.0,0.30931929213159604,0.031567243402640346,0.8332561461868672,0.049547543075295575,41.02132596407713,1.7310757318684034,0.011072976899256792,0.0,0.6000830395401793,1.130992692328224,1.7310757318684034,-0.6000830395401793,-0.0,0.011072976899256792,0.6111560164394361
45,44,local_loglinear,local_loglinear,22,21,19,18,false,diagnostic_only_hkt_gate_failed,false,false,true,0.45306992722066375,9095.689672794493,0.0,-9096.48138159518,-3950.551668762455,2.80757417e-3951,true,0.45306992722066375,1.0,0.30698304096721774,0.03144311959411473,0.8266197641193092,0.04928934415775165,40.963917852940995,1.7943194268698963,0.014471372033415308,0.0,0.812952172142567,0.9813672547273293,1.7943194268698963,-0.812952172142567,-0.0,0.014471372033415308,0.8274235441759823
45,44,local_loglinear,local_loglinear,22,21,20,19,false,diagnostic_only_hkt_gate_failed,false,false,true,0.5910528266881476,9095.689672794493,0.0,-9096.215522674805,-3950.436207700371,3.66262369e-3951,true,0.5910528266881476,1.0,0.3045510001379554,0.03132483098431482,0.8196785074609219,0.04902405072959618,40.904702606689206,1.8609393644442627,0.01935810449593367,0.0,1.0999134716500263,0.7610258927942363,1.8609393644442627,-1.0999134716500263,-0.0,0.01935810449593367,1.11927157614596
45,44,local_loglinear,local_loglinear,22,21,21,20,false,diagnostic_only_hkt_gate_failed,false,false,true,0.7695688320931683,9095.689672794493,0.0,-9095.951597673784,-3950.321586528791,4.76884790e-3951,true,0.7695688320931683,1.0,0.3020305416781463,0.031211866508331656,0.8124560255094441,0.048752191973947846,40.84377810307556,1.931106507166231,0.0258164038705746,0.0,1.4861193793674339,0.4449871277987971,1.931106507166231,-1.4861193793674339,-0.0,0.0258164038705746,1.5119357832380085
