switch_index,G_N_US,G_N_W,nu_b_eff,nu_b_common_growth_implied,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
45,1.0643067113466342,1.03174980126255,1.0,0.5015145313967325,true,4.4704281781530675e-10,1.0643067113466342,1.03174980126255,0.032556910084084345,0.031067414894792617
46,1.0647815760174086,1.0316966783732882,1.0,0.4971302223407728,true,4.162472168533959e-10,1.0647815760174086,1.0316966783732882,0.03308489764412048,0.03156497763299959
47,1.065249133104748,1.0316448101548645,1.0,0.4928820210916211,true,3.8818546539557265e-10,1.065249133104748,1.0316448101548645,0.03360432294988347,0.03205426799181259
48,1.0657096213767525,1.0315941463683953,1.0,0.4887631435543931,true,3.6252444772177076e-10,1.0657096213767525,1.0315941463683953,0.03411547500835721,0.03253556774059575
49,1.0661632545777533,1.0315446410490647,1.0,0.4847673799083114,true,3.389783313409821e-10,1.0661632545777533,1.0315446410490647,0.03461861352868856,0.03300913051018464
50,1.06661022315806,1.0314962521407047,1.0,0.48088903905623737,true,3.1730090076482837e-10,1.06661022315806,1.0314962521407047,0.03511397101735536,0.03347518383256965
51,1.067050695886146,1.0314489411629633,1.0,0.4771228990508799,true,2.972803604479078e-10,1.067050695886146,1.0314489411629633,0.03560175472318283,0.03393393103214652
52,1.0674848213631374,1.031402672906719,1.0,0.4734641626898226,true,2.787330738975491e-10,1.0674848213631374,1.031402672906719,0.03608214845641844,0.034385552992023075
53,1.0679127294346615,1.0313574151563558,1.0,0.4699084177766753,true,2.6150090032164717e-10,1.0679127294346615,1.0313574151563558,0.03655531427830572,0.034830209792662575
54,1.0683345325389595,1.0313131384330785,1.0,0.4664516012522717,true,2.4544569944801947e-10,1.0683345325389595,1.0313131384330785,0.03702139410588101,0.03526804226546132
55,1.068750327001334,1.03126981575684,1.0,0.46308996672390973,true,2.3044873713544638e-10,1.068750327001334,1.03126981575684,0.03748051124449403,0.035699173473444035
56,1.0691601942455204,1.0312274224287108,1.0,0.4598200552887888,true,2.1640587273288306e-10,1.0691601942455204,1.0312274224287108,0.03793277181680965,0.03612371009014351
57,1.0695642019606364,1.0311859358284872,1.0,0.45663866903067296,true,2.0322718551258199e-10,1.0695642019606364,1.0311859358284872,0.03837826613214923,0.03654174371825146
58,1.069962405269479,1.0311453352219426,1.0,0.4535428465809655,true,1.9083420112035844e-10,1.069962405269479,1.0311453352219426,0.03881707004753632,0.03695335219652539
59,1.070354847834495,1.031105601583502,1.0,0.4505298410338448,true,1.7915891709193326e-10,1.070354847834495,1.031105601583502,0.03924924625099302,0.0373586008300138
60,1.0707415629459238,1.0310667174289851,1.0,0.4475970996637184,true,1.6814252691409312e-10,1.0707415629459238,1.0310667174289851,0.03967484551693867,0.037757543590646536
61,1.071122574630815,1.0310286666539452,1.0,0.44474224499151377,true,1.5773267576860424e-10,1.071122574630815,1.0310286666539452,0.04009390797686985,0.03815022432884269
62,1.0714978987664305,1.030991434378841,1.0,0.44196305719656626,true,1.4788552314507598e-10,1.0714978987664305,1.030991434378841,0.040506464387589425,0.038536677979623554
63,1.0718675441827172,1.0309550068020998,1.0,0.43925745786307924,true,1.385622374781806e-10,1.0718675441827172,1.0309550068020998,0.0409125373806174,0.03891693174803883
64,1.0722315138171807,1.0309193710544065,1.0,0.43662349448596705,true,1.2972912482554356e-10,1.0722315138171807,1.0309193710544065,0.041312142762774284,0.039291006339578695
65,1.0725898058721286,1.0308845150588863,1.0,0.43405932601883834,true,1.2135769288420473e-10,1.0725898058721286,1.0308845150588863,0.04170529081324226,0.03965891718440988
