t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
27,false,5.813397924517388,0.07394875696199166,0.012720401720673659,-0.013057513402059821,0.003054455259277257,-0.019028335400241667,-0.01597388014096441,0.07191459804319507,-0.031043090416661406,-0.007427320643963925,0.033444186982569735,6.938893903907228e-18,-0.005227380484730371,-0.056110442928200555,-0.061337823412930904,0.15333433928581136,-0.08739596700036577,-0.01765806227457445,0.04828031001087112,-2.775128855113357e-17
28,false,6.109052220788392,0.09415543997326004,0.015412446410731284,-0.009117918178875162,0.0034726695380540456,-0.01983566817271584,-0.016362998634661792,0.07678569052589126,-0.032461906864470105,-0.007754102015490927,0.03656968164593023,-6.245004513516506e-17,-0.004405949130856598,-0.05664184690675509,-0.06104779603761167,0.1584827212628288,-0.08848008177049593,-0.018072761633596317,0.05192987785873655,-3.6630776806836445e-17
29,false,6.426031442093596,0.117341845371977,0.018260390791637198,-0.005059955463011817,0.003921740035925398,-0.020696009695126867,-0.01677426965920147,0.08200488271134213,-0.03395148791442865,-0.008092719738995335,0.03996067505791814,3.0184188481996443e-16,-0.003578325673290391,-0.05706850544306032,-0.060646831116350705,0.163426542876744,-0.08939902226230782,-0.018440644961097312,0.05558687565333888,1.214786406235255e-17
30,false,6.765903092648078,0.14377765462239722,0.021250327214799747,-0.0008985679468411508,0.0044056451800161215,-0.021613240276233386,-0.017207595096217262,0.0876032304255767,-0.03551565418795004,-0.008444171890989283,0.04364340434663738,9.71445146547012e-17,-0.002747421571378623,-0.05739621825630359,-0.0601436398276822,0.16816488764973975,-0.09015745182646732,-0.018762363942431408,0.05924507188084102,2.5895592750070553e-17
31,false,7.130380371744274,0.17376154961470536,0.024369183767990042,0.003352453879816451,0.004928745142763288,-0.022591532208887495,-0.017662787066124206,0.09361473228652742,-0.03715854023062518,-0.008809509997469489,0.04764668205843275,-4.0592529337857286e-16,-0.0019157523514406543,-0.057630695894417244,-0.05954644824585789,0.172697948988868,-0.09076025241698008,-0.01903879444621354,0.06289890212567437,-3.2357070769911216e-17
32,false,7.521336286883438,0.20762422094580457,0.027604698557074668,0.0076804095003252205,0.005495845433882867,-0.0236353772438672,-0.018139531809984333,0.10007665352082525,-0.03888461237124876,-0.009189838008493267,0.05200220314108322,3.2959746043559335e-16,-0.0010854716793065311,-0.057777520308090156,-0.05886299198739668,0.17702688304916345,-0.0912124798802353,-0.019271001681206237,0.06654340148772189,1.3146498754897434e-17
33,false,7.940819418713957,0.24573173604281662,0.0309453877598206,0.012073622722610611,0.006112261560525936,-0.02474962819808689,-0.018637366637560954,0.10702989686340167,-0.0406986879526959,-0.009586327176132614,0.05674488173457315,-1.491862189340054e-16,-0.000258403555254112,-0.057842114779114016,-0.05810051833436812,0.18115367448160868,-0.09151932368337788,-0.019460209741252052,0.07017414105697874,-6.3352379837236994e-18
34,false,8.391071541286967,0.28848930811466666,0.03438050869846595,0.01652137383880772,0.006783889437887291,-0.02593954761050996,-0.01915565817262267,0.11451942134650663,-0.04260595637603656,-0.01000023472599737,0.06191323024447269,2.42861286636753e-17,0.0005639271987108999,-0.05782972216127181,-0.057265794962560894,0.18508101495738868,-0.09168607075784445,-0.019607775398175622,0.07378716880136862,-3.1010165998014123e-18
35,false,8.874547338970153,0.3363455631105925,0.037900024673216036,0.021013836279716022,0.007517297702154039,-0.027210837911983476,-0.019693540209829438,0.12259469549759303,-0.04461200563857461,-0.010432894653263136,0.06754979520575527,-3.469446951953614e-18,0.0013802677142557467,-0.05774538736523687,-0.056365119650981114,0.18881219164621554,-0.09171807345405428,-0.019715162261464133,0.07737895593069716,-3.323020089386094e-18
36,false,9.39393646444229,0.3897973035157456,0.04149456460464655,0.02554201065241146,0.008319813905844832,-0.028569706731977965,-0.020249892826133133,0.13131022999945155,-0.04672284822673633,-0.010885748541429041,0.07370163323128617,6.245004513516506e-17,0.002189610836130001,-0.057593947176442006,-0.05540433634031199,0.19235098829740407,-0.09162072111001664,-0.019783920194664004,0.08094634699272346,3.508619221379429e-18
37,false,9.952188260355907,0.4493949139707014,0.04515538715850521,0.03009766574563424,0.009199646605521115,-0.03002289842924463,-0.020823251823723514,0.14072614722790272,-0.04894495611103326,-0.01136032883819027,0.0804208622786792,1.3183898417423734e-16,0.002991172484202597,-0.0573800217602359,-0.05438884927603328,0.19570159438450446,-0.09139941540981121,-0.019815663953025753,0.08448651502166753,1.6559044695151616e-17
