sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,rebased_nfa_current_Y,cum_va_current_Y,cum_va_asset_current_Y,cum_va_liability_current_Y,cum_ca_current_Y,cum_ca_asset_current_Y,cum_ca_liability_current_Y,cum_ca_bond_current_Y,q_us_index,q_row_index,row_equity_asset_current_Y,us_equity_liability_current_Y
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,6,5,-0.026092505226113887,-0.022564118554299743,-0.00876677555750469,-0.013797342996795053,-0.003528386671814131,0.019732108153360135,-0.024305615327571174,0.0010451205023969102,1.0819049743962503,0.9677479203618311,0.27691700036544487,0.1970296955759013
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,7,6,-0.029586335143732486,-0.026444441419938836,-0.00976830854557547,-0.016676132874363363,-0.0031418937237936476,0.02493608934920218,-0.028944644791791718,0.0008666617187958985,1.099132290806346,0.9637185865398513,0.27705918885647435,0.20212119499803216
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,8,7,-0.032494377746752484,-0.030085137422302753,-0.01055968137098394,-0.019525456051318814,-0.0024092403244497175,0.03045761480296916,-0.033476463300034384,0.0006096081726155096,1.1165329289103716,0.9603065230001977,0.27717094750981225,0.20674248827939148
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,9,8,-0.03482776135971893,-0.033479790892192,-0.011158176016177046,-0.02232161487601496,-0.0013479704675269087,0.036250828786701834,-0.03788842828813641,0.00028962903390767096,1.1340789189386906,0.9574488235426056,0.2772512482103688,0.21089435050191727
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,10,9,-0.03660306607851008,-0.0366248513414229,-0.011580644637447651,-0.025044206703975246,2.1785262912826024e-5,0.042270460313163775,-0.04216900991046613,-7.966513978481144e-5,1.1517494984781478,0.9550901420128766,0.2773001645595336,0.2145820165518916
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,11,10,-0.03784118364978887,-0.03951945417160168,-0.011843363917017027,-0.027676090254584652,0.0016782705218127978,0.04847260078460112,-0.046307865462279885,-0.00048646480050843264,1.1695302053069603,0.9531817998557738,0.2773186145263197,0.21781451637176313
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,12,11,-0.038566294744149125,-0.04216518190494546,-0.011961921662424511,-0.030203260242520954,0.0035988871607963414,0.05481532539475222,-0.05029587770589038,-0.0009205605280654976,1.1874120647716844,0.951680976001025,0.2773081534114307,0.2206040250962027
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,13,12,-0.03880498229616015,-0.04456579678452654,-0.011951135217893365,-0.03261466156663318,0.0057608144883664085,0.061259170120835,-0.054125164067108024,-0.001373191565360561,1.2053909042285644,0.9505499721430444,0.27727081001754833,0.22296525474124979
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,14,13,-0.038585449548255345,-0.04672694401749555,-0.011824991937082764,-0.034901952080412794,0.008141494469240208,0.0677674621159028,-0.057789064612643715,-0.0018369030340188632,1.223466722822721,0.9497555731520464,0.27720894790761413,0.22491488903606613
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,15,14,-0.03793685378117612,-0.04865585025660089,-0.011596611799508159,-0.03705923845709273,0.010718996475424784,0.07430652664207943,-0.06128211215890074,-0.0023054180077538887,1.2416431432213355,0.9492684858906241,0.27712515104460517,0.22647107505949243
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,16,15,-0.03688874551018647,-0.050361028075336274,-0.011278228753532531,-0.039082799321803745,0.013472282565149773,0.08084578752032417,-0.06459998795080006,-0.0027735170043743282,1.2599269348982003,0.9490628504390747,0.2770221284314453,0.22765297389045472
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,17,16,-0.03547059985600105,-0.05185199190180139,-0.010881186750440619,-0.04097080515136078,0.016381392045800365,0.08735777747394442,-0.06773946624721404,-0.0032369191809300093,1.2783275898002857,0.94911581996005,0.2769026334955216,0.2284803683681855
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,18,17,-0.033711431971627924,-0.053138992101569256,-0.010415947936104026,-0.042723044165465233,0.01942756012994135,0.0938180766562208,-0.07069835035271682,-0.003692166173562619,1.2968569443820817,0.9494072011388102,0.27676939662798916,0.22897332633184536
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,19,18,-0.031639490657574466,-0.05423277403769299,-0.009892111449098635,-0.04434066258859436,0.022593283380118536,0.10020519732503028,-0.07347540216862086,-0.004136511776290886,1.3155288515732637,0.949919144873522,0.27662507011836035,0.22915191767678245
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,20,19,-0.029282021184306176,-0.05514436501055902,-0.009318440806886884,-0.045825924203672125,0.025862343826252833,0.10650042956228518,-0.07607026723020686,-0.00456781850582548,1.3343589001027292,0.9506358798029613,0.2764721841610117,0.22903598121587215
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,21,20,-0.026665084218335675,-0.05588488631544953,-0.008702896726278256,-0.047181989589171275,0.029219802097113848,0.11268765906918532,-0.07848339737336484,-0.004984459598706631,1.3533641628720217,0.9515434868090451,0.27631311221700255,0.22864493437849198
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,22,21,-0.023813429130352518,-0.05646539569979933,-0.008052675525595495,-0.04841272017420384,0.032651966569446855,0.11875317023293218,-0.08071597224945933,-0.005385231414026003,1.3725629913061324,0.9526297027215245,0.27615004587439806,0.22799762438874646
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,23,22,-0.020750407228351093,-0.05689675298394957,-0.007374249577354009,-0.04952250340659557,0.03614634575559849,0.12468544049868296,-0.08276982170331025,-0.005769273039774227,1.3919748290010114,0.9538837556902049,0.2759849772974714,0.22711221237586912
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,24,23,-0.01749792615738245,-0.057189514492211956,-0.006673411037274631,-0.050516103454937324,0.03969158833482949,0.13047493608617994,-0.08464734959244419,-0.006135998158906275,1.4116200701271677,0.9552962195623268,0.275819689551208,0.2260060903202908
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,25,24,-0.014076430731881685,-0.05735384660925655,-0.005955315267066395,-0.05139853134219015,0.04327741587737483,0.13611391100530215,-0.08635146075475046,-0.006485034373176872,1.4315199305221096,0.956858892613764,0.275655752659274,0.2246958218514975
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,26,25,-0.010504916787750737,-0.05739946657622043,-0.005224526538856557,-0.052174940037363865,0.04689454978846969,0.1415962175652577,-0.08788549135115502,-0.006816176425633029,1.4516963722868779,0.9585646855316208,0.27549452597034474,0.22319710964383394
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,27,26,-0.0068009545897504435,-0.05733559364455665,-0.004485060706363746,-0.0528505329381929,0.05053463905480621,0.1469171248888165,-0.08925314334307387,-0.007129342490936438,1.4721720198363917,0.96040753236671,0.2753371636585678,0.22152477561473335
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,28,27,-0.0029807372708046866,-0.057170922014502155,-0.0037404285979671056,-0.053430493416535045,0.054190184743697516,0.1520731527245172,-0.090458424302745,-0.007424543678074709,1.4929701242061382,0.9623823073591604,0.27518462477567546,0.21969276152817613
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,29,28,0.0009408623274260536,-0.056913605578737377,-0.0029936774975665445,-0.053919928081170826,0.057854467906163456,0.1570619181858683,-0.09150559168683059,-0.007701858592874255,1.5141145417970974,0.9644847535017836,0.2750376854203532,0.21771414017646937
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,30,29,0.004950226640634161,-0.05657125299680181,-0.0022474304889390736,-0.05432382250786274,0.061521479637436,0.16188199600036493,-0.09239910240705089,-0.007961413955878044,1.5356297293737586,0.966711421212527,0.2748969527296009,0.21560113606521134
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,31,30,0.009034922480341406,-0.05615093175973156,-0.0015039237105323744,-0.054647008049199176,0.06518585424007296,0.1665327921919962,-0.0931435676004216,-0.00820337035150164,1.5575407564257957,0.9690596150532897,0.2747628799814858,0.21336515376555876
gamma,0.25,pi_0p750_gamma_0p25,γ = 0.25 (AHP),0.75,0.25,105,32,31,0.013183623777885959,-0.055659181592552134,-0.0007650420955205173,-0.05489413949703161,0.06884280537043813,0.1710144314070515,-0.09374371256709864,-0.008427913469514747,1.5798733447294508,0.9715273449062412,0.2746357823120483,0.21101681359559724
