sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,t,model_t,bound_status,bubble_share_upper,log10_bubble_share_upper,bubble_share_lower,log10_bubble_share_lower,a_t,dividend_yield_d_over_q,switch_term_raw,switch_contribution_weighted
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,78,77,diagnostic_only_hkt_gate_failed,0.4459912664493006,-0.350673645704928,0.22500596209451845,-0.6478059740199947,0.04674740494249476,0.023123064881916837,0.21261906054520138,0.023624340060577925
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,79,78,diagnostic_only_hkt_gate_failed,0.4663242836643671,-0.33131196823233194,0.2352641228365081,-0.6284442965473988,0.04559061745075208,0.022863633472909824,0.2045428558005804,0.02272698397784226
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,80,79,diagnostic_only_hkt_gate_failed,0.4870480860384084,-0.31242815896977205,0.24571943764244925,-0.6095604872848388,0.044440753141127526,0.02259704011890605,0.19659341719999335,0.021843713022221475
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,81,80,diagnostic_only_hkt_gate_failed,0.5081365211577566,-0.29401959003894984,0.2563587124221409,-0.5911519183540166,0.04329846625798084,0.022323273039416957,0.18877673896707498,0.02097519321856388
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,82,81,diagnostic_only_hkt_gate_failed,0.5295618147074818,-0.27608333825815634,0.26716793482394635,-0.5732156665732231,0.0421644433289483,0.022042346555995414,0.18109887095657604,0.020122096772952888
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,83,82,diagnostic_only_hkt_gate_failed,0.5512947128579357,-0.2586161725626938,0.27813234606988047,-0.5557485008777606,0.04103939813420791,0.021754302874105663,0.17356585734092034,0.019285095260102254
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,84,83,diagnostic_only_hkt_gate_failed,0.5733046396066717,-0.2416145435778061,0.2892365203357955,-0.5387468718928728,0.039924066448298476,0.021459213628516334,0.16618367537803932,0.018464852819782142
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,85,84,diagnostic_only_hkt_gate_failed,0.5955598672307197,-0.22507457557312588,0.30046445074584244,-0.5222069038881927,0.038819200275994364,0.021157181248116528,0.15895817125090053,0.017662019027877833
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,86,85,diagnostic_only_hkt_gate_failed,0.6180276976874798,-0.20899206102237572,0.3117996408905905,-0.5061243893374425,0.037725561598421165,0.020848340004137822,0.15189499434855014,0.016877221594283343
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,87,86,diagnostic_only_hkt_gate_failed,0.6406746523229488,-0.19336245811214603,0.323225200536261,-0.49049478642721284,0.03664391534587987,0.020532856711276578,0.14499952771142974,0.016111058634603298
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,88,87,diagnostic_only_hkt_gate_failed,0.6634666679550254,-0.17818089086559907,0.33472394455023535,-0.4753132191806658,0.03557502321878604,0.020210931166675373,0.13827682846899603,0.015364092052110666
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,89,88,diagnostic_only_hkt_gate_failed,0.6863692960175694,-0.1634421524151659,0.34627849337073646,-0.46057448073023277,0.03451963628125533,0.019882796052654833,0.13173156205740455,0.014636840228600501
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,90,89,diagnostic_only_hkt_gate_failed,0.7093479025226261,-0.14914071109636426,0.35787137388928236,-0.44627303941143104,0.033478488385746054,0.019548716532433622,0.1253679466798119,0.01392977185331243
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,91,90,diagnostic_only_hkt_gate_failed,0.7323678660017525,-0.13527071942806942,0.36948511931357825,-0.4324030477431362,0.03245228948624697,0.0192089892971411,0.11918970170195285,0.013243300189105868
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,92,91,diagnostic_only_hkt_gate_failed,0.7553947709327394,-0.12182602581365243,0.3811023667527604,-0.4189583541287192,0.0314417193871417,0.01886394114491545,0.1132000041800363,0.01257777824222625
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,93,92,diagnostic_only_hkt_gate_failed,0.7783945938720084,-0.10880018900346139,0.3927059511225949,-0.40593251731852814,0.03044742143352342,0.018513926988397367,0.10740145000613453,0.011933494445126055
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,94,93,diagnostic_only_hkt_gate_failed,0.8013338801896621,-0.09618649501216565,0.4042789943096458,-0.39331882332723245,0.029469996963295483,0.01815932721718513,0.10179602771499321,0.011310669746110353
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,95,94,diagnostic_only_hkt_gate_failed,0.824179908124017,-0.08397797692284571,0.4158049879380258,-0.3811103052379125,0.028509998764744134,0.01780054413905104,0.09638509163123789,0.010709454625693095
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,96,95,diagnostic_only_hkt_gate_failed,0.846900837468588,-0.07216743767562307,0.4272678683831027,-0.3692997659906898,0.02756792433376339,0.017437997408987153,0.09116934232298617,0.010129926924776237
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,97,96,diagnostic_only_hkt_gate_failed,0.8694658386913369,-0.060747476754193064,0.4386520819131355,-0.3578798050692598,0.026644207000900262,0.0170721176880917,0.0861488038152771,0.009572089312808564
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,98,97,diagnostic_only_hkt_gate_failed,0.8918451972646068,-0.04971052209044103,0.4499426373245142,-0.34684285040550783,0.02573920397718433,0.016703337902425907,0.08132279467282583,0.009035866074758422
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,99,98,diagnostic_only_hkt_gate_failed,0.9140103852649937,-0.039048869651664986,0.46112514206443583,-0.3361811979667318,0.024853178632760656,0.01633208074690238,0.0766898809727245,0.008521097885858276
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,100,99,diagnostic_only_hkt_gate_failed,0.9359340890891964,-0.028754734331072153,0.47218581621375966,-0.325887062646139,0.02398627431114631,0.015958740425212354,0.0722478049734056,0.008027533885933953
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,101,100,diagnostic_only_hkt_gate_failed,0.9575901754168296,-0.018820318307729383,0.48311147531499,-0.3159526466227962,0.023138473723836442,0.0155836554673098,0.06799336430873978,0.007554818256526641
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,102,101,diagnostic_only_hkt_gate_failed,0.9789535688295729,-0.009237906030671558,0.4938894686302121,-0.30637023434573835,0.02230953696182605,0.015207067732271729,0.06392222306598892,0.007102469229554323
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,103,102,diagnostic_only_hkt_gate_failed,1.0,0.0,0.5045075521004551,-0.2971323283150668,0.021498906424734832,0.014829060062003633,0.0600286172645808,0.0066698463627311985
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,104,103,diagnostic_only_hkt_gate_failed,,,,,0.020705561804200228,0.014449461102140562,0.056304906318537,0.006256100702059664
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,105,104,diagnostic_only_hkt_gate_failed,,,,,0.01992780035563014,0.014067700060483532,0.05274090265631948,0.005860100295146607
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,1,0,diagnostic_only_hkt_gate_failed,0.007790081358774946,-2.1084580065787186,0.004482831485960729,-2.348447586383573,0.0,0.0,0.0,0.0
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,2,1,diagnostic_only_hkt_gate_failed,0.008406372145227237,-2.075391387939768,0.004837478326574764,-2.3153809677446224,0.07911224004844122,0.03414456560853789,0.8543858143581625,0.044967674439903335
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,3,2,diagnostic_only_hkt_gate_failed,0.009069198719514882,-2.042431081965874,0.005218904360540526,-2.2824206617707286,0.07884811222210376,0.033890987077672255,0.8541853777441978,0.04495712514443151
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,4,3,diagnostic_only_hkt_gate_failed,0.009781701248928592,-2.009585605461076,0.005628916608883042,-2.2495751852659303,0.07856289750058801,0.03364596629585248,0.8534216928899742,0.04491693120473553
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,5,4,diagnostic_only_hkt_gate_failed,0.010547171107569081,-1.9768640083395295,0.006069409105152314,-2.216853588144384,0.07825528905049493,0.03340987828932897,0.8520628044621525,0.044845410761165966
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,6,5,diagnostic_only_hkt_gate_failed,0.01136905567029893,-1.9442756069226657,0.006542365654120864,-2.18426518672752,0.0779246448500325,0.033182915166966205,0.8500928639782588,0.0447417296830663
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,7,6,diagnostic_only_hkt_gate_failed,0.012250962044299927,-1.9118298056565546,0.007049861979122383,-2.151819385461409,0.07757076749170383,0.03296511751774125,0.8475073495052879,0.04460564997396257
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,8,7,diagnostic_only_hkt_gate_failed,0.013196659883966982,-1.8795359761821433,0.007594067341892972,-2.1195255559869977,0.0771937612937974,0.032756402333279026,0.844309820249848,0.04443735896051836
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,9,8,diagnostic_only_hkt_gate_failed,0.014210083372088086,-1.8474033740126017,0.008177245682648562,-2.087392953817456,0.07679393854442976,0.032556587310757286,0.8405096734397758,0.04423735123367245
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,10,9,diagnostic_only_hkt_gate_failed,0.015295332432743579,-1.815441079507207,0.008801756318052351,-2.0554306593120613,0.07637175885872538,0.03236541193268718,0.8361205915947252,0.04400634692603821
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,11,10,diagnostic_only_hkt_gate_failed,0.016456673227061427,-1.7836579543701325,0.009470054226499021,-2.023647534174987,0.0759277903520232,0.03218255546669632,0.8311594628212097,0.04374523488532687
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,12,11,diagnostic_only_hkt_gate_failed,0.017698537978859077,-1.7520626078720198,0.010184689947779702,-1.9920521876768744,0.07546268523795688,0.03200765213196877,0.8256456290137735,0.04345503310598812
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,13,12,diagnostic_only_hkt_gate_failed,0.019025524185388082,-1.7206633688446207,0.010948309128902003,-1.9606529486494748,0.07497716523896478,0.03184030390289237,0.8196003653853751,0.04313686133607241
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,14,13,diagnostic_only_hkt_gate_failed,0.020442393269525908,-1.6894682610371237,0.01176365174848874,-1.929457840841978,0.07447201298274891,0.03168009109264482,0.8130465159119769,0.042791921890104084
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,15,14,diagnostic_only_hkt_gate_failed,0.02195406871688161,-1.6584849807731035,0.01263355104476844,-1.8984745605779576,0.07394806603242474,0.03152658094002639,0.8060082167555677,0.04242148509239834
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,16,15,diagnostic_only_hkt_gate_failed,0.023565633764776443,-1.62772087600432,0.013560932185690551,-1.8677104558091742,0.07340621315699977,0.031379334641375496,0.7985106917968605,0.04202687851562428
