switch_index,G_N_US,G_N_W,nu_b_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
52,1.1062067813643204,1.0306785580196705,0.2993691809649491,true,2.220446049250313e-16,1.0306785603425028,1.0306785580196705,2.3228323708934795e-9,2.253692347325975e-9
53,1.1080441813545376,1.030645301822718,0.29421204315920074,true,1.4890985400935337e-16,1.030645304019091,1.030645301822718,2.196373083407366e-9,2.1310658515627523e-9
54,1.1098796998716223,1.0306151687600875,0.28926048369337093,true,1.4211163294185355e-16,1.0306151708367723,1.0306151687600875,2.076684824103836e-9,2.0149954205184173e-9
55,1.1117127470768025,1.0305880634349238,0.2845047468186554,true,5.42241810727515e-16,1.0305880653984818,1.0305880634349238,1.963557982875841e-9,1.9052791878915176e-9
56,1.113542758824923,1.0305638907806964,0.27993557798093205,true,2.220446049250313e-16,1.030563893333864,1.0305638907806964,2.5531674552325967e-9,2.4774469628563445e-9
57,1.1153691972277495,1.0305425563861064,0.2755441729861493,true,1.2317205039943335e-16,1.030542558802821,1.0305425563861064,2.416714606212622e-9,2.345089525346289e-9
58,1.117191547858541,1.0305239666339432,0.2713221986395963,true,2.220446049250313e-16,1.0305239689219297,1.0305239666339432,2.2879864669533845e-9,2.220216562681676e-9
59,1.1190093202770481,1.030508028965602,0.2672617420129642,true,2.220446049250313e-16,1.030508031132223,1.030508028965602,2.166621104748856e-9,2.1024785662460133e-9
60,1.1208220464797083,1.0304946520211156,0.26335530407865837,true,3.1882696682043562e-16,1.0304946548527285,1.0304946520211156,2.8316129441208204e-9,2.747819059095713e-9
61,1.122629281519492,1.0304837458670102,0.2595957500823588,true,5.053385542858841e-16,1.0304837485522123,1.0304837458670102,2.685202060703773e-9,2.605768555791199e-9
62,1.124430600327684,1.0304752220055986,0.25597633486844396,true,2.220446049250313e-16,1.0304752245527793,1.0304752220055986,2.547180688594608e-9,2.4718505055310036e-9
63,1.1262255983282197,1.030468993559085,0.25249065377811003,true,1.8250271507394897e-16,1.030468995976175,1.030468993559085,2.4170900836395504e-9,2.345621353400107e-9
64,1.1280138901032561,1.0304649753354258,0.2491326324726884,true,2.220446049250313e-16,1.0304649776299064,1.0304649753354258,2.294480605513627e-9,2.22664589891175e-9
65,1.1297951080071351,1.0304630838724733,0.2458965170614521,true,1.643903797577063e-16,1.0304630868912315,1.0304630838724733,3.0187581323559698e-9,2.9295160186570968e-9
66,1.1315689027555333,1.0304632375831517,0.24277682858772026,true,2.220446049250313e-16,1.0304632404532872,1.0304632375831517,2.870135462629264e-9,2.7852866020527944e-9
67,1.1333349399258648,1.0304653566481965,0.23976839211957718,true,2.9541557511296733e-16,1.0304653593780921,1.0304653566481965,2.729895642872293e-9,2.64918728273833e-9
68,1.135092900502414,1.0304693631328476,0.23686629188717168,true,4.1962620407223437e-16,1.0304693657303934,1.0304693631328476,2.5975457340621233e-9,2.5207404774629794e-9
69,1.1368424793099305,1.0304751809704025,0.23406586505275773,true,2.647365016379051e-16,1.0304751834430126,1.0304751809704025,2.472610116655005e-9,2.3994853430575613e-9
70,1.138583383804057,1.0304827359574211,0.2313626885683413,true,3.0531133177191805e-16,1.0304827383120596,1.0304827359574211,2.354638484192151e-9,2.2849857700402154e-9
71,1.140315332384886,1.0304919557101149,0.22875257369416901,true,2.220446049250313e-16,1.0304919588323893,1.0304919557101149,3.1222744389935997e-9,3.0298873410217197e-9
