t,n,n_next,phi,rd_share,G,e,D_agg,d_per,C_old,young_saving,q,V,B,bubble_share,fundamental_share,PD_pv,PD_agg,dividend_yield,market_value,market_fundamental,market_bubble,cond_2_15a,cond_2_15b,mc_resid,mc_resid_abs
34,22.66068619187428,25.699175642368306,0.329568084398173,0.670431915601827,1.1340863831203654,209.10150837060667,6.076537429967124,0.2681532844378765,110.62729161527045,104.55075418530333,4.068253224937624,3.4710874407441548,0.5971657841934697,0.1467867782990882,0.8532132217009119,15.171371976538753,17.205646371846502,0.0659136168796346,104.5507541853033,89.20408580970272,15.346668375600585,0.029060227624935205,0.09115597064004918,-1.4210854715202004e-14,1.4210854715202004e-14
35,25.699175642368306,29.195970560813755,0.31966788213226904,0.680332117867731,1.1360664235735463,253.46309764595614,7.131978372206689,0.2775177877864973,133.86352719518476,126.73154882297807,4.340720530560977,3.648053863438372,0.6926666671226046,0.15957412191037493,0.8404258780896251,15.641233541038536,17.769480249246243,0.06393357642645381,126.73154882297814,106.5084732012096,20.223075621768544,0.028138133079115217,0.08282804920074119,5.684341886080802e-14,5.684341886080802e-14
36,29.195970560813755,33.22545455099794,0.3099246380950126,0.6900753619049874,1.1380150723809974,308.0212469864183,8.388586040262904,0.28731999242121087,162.39920953347206,154.01062349320915,4.635320286042055,3.834241072127546,0.801079213914509,0.17282068217092367,0.8271793178290764,16.1329542263341,18.35954507160092,0.061984927619002525,154.01062349320907,127.39440247954339,26.616221013665673,0.027233790273671562,0.0751644691000443,-5.684341886080802e-14,5.684341886080802e-14
37,33.22545455099794,37.8747295388802,0.3003444120311327,0.6996555879688673,1.1399311175937734,375.2616681975568,9.88724172479181,0.29758032985269856,197.5180758235702,187.6308340987784,4.953984790998081,4.030096978770821,0.9238878122272601,0.18649387335747636,0.8135061266425236,16.64755460634878,18.977065527618535,0.06006888240622655,187.6308340987783,152.63883308640308,34.99200101237521,0.026347593060282042,0.06812411889632385,-1.1368683772161603e-13,1.1368683772161603e-13
38,37.8747295388802,43.24587567665249,0.29093274022477855,0.7090672597752214,1.1418134519550442,458.3044263366288,11.677543506162014,0.30832018204049383,240.8297566744764,229.1522131683144,5.2988223635861935,4.236092337839353,1.0627300257468406,0.20055966266202493,0.7994403373379751,17.18610286397101,19.623323436765208,0.05818654804495571,229.1522131683144,183.19352259702086,45.958690571293566,0.02547988375216946,0.061667011344206116,0.0,0.0
39,43.24587567665249,49.45862460548911,0.28169463195876987,0.7183053680412301,1.143661073608246,561.0718675293468,13.81973531086871,0.3195619257243919,294.35566907554215,280.5359337646734,5.672133748206542,4.452721599169674,1.219412149036867,0.21498296816827178,0.7850170318317281,17.74971700820988,20.299660409851857,0.056338926391753974,280.53593376467325,220.22548604608608,60.31044771858715,0.024630953912772806,0.055754431405376725,-1.7053025658242404e-13,1.7053025658242404e-13
40,49.45862460548911,56.653523364877756,0.2726345691192019,0.7273654308807981,1.1454730861761595,688.5023460011173,16.38707558517939,0.33132897883619444,360.63824858573804,344.25117300055865,6.076430070966715,4.680503763231909,1.3959263077348067,0.2297280296871293,0.7702719703128708,18.33956719484787,21.00748063381744,0.05452691382384039,344.2511730005586,265.1670293096572,79.08414369090141,0.023801045385476137,0.05034905895504406,0.0,0.0
41,56.653523364877756,64.99568093107905,0.26375650879879853,0.7362434912012015,1.1472486982402403,846.8225509329894,19.46874814055411,0.3436458490880679,442.8800236070488,423.4112754664947,6.5144524897812355,4.9199832476922465,1.5944692420889892,0.24475874904147682,0.7552412509585232,18.95687815542839,21.74825378651407,0.05275130175975971,423.4112754664947,319.7776613532593,103.63361411323538,0.022990351543076354,0.04541506725227922,-5.684341886080802e-14,5.684341886080802e-14
42,64.99568093107905,74.67920689152199,0.25506388872890784,0.7449361112710922,1.1489872222542183,1043.8948846482226,23.173442101489194,0.3565381848381917,545.1208844256005,521.9474423241113,6.989193699958343,5.171730774338544,1.8174629256197994,0.2600389978647511,0.739961002135249,19.60293173964034,22.523518087568405,0.05101277774578157,521.9474423241112,386.2207524840793,135.72668984003184,0.022199018734820514,0.04091819849646608,-1.1368683772161603e-13,1.1368683772161603e-13
43,74.67920689152199,85.9324726659414,0.24655963535032277,0.7534403646496772,1.1506880729299356,1289.6610534632646,27.633758144182753,0.37003282833899376,672.464284875815,644.8305267316323,7.503921471437018,5.4363442854039405,2.0675771860330783,0.2755328922221693,0.7244671077778307,20.27906957639591,23.334883491675093,0.04931192707006456,644.8305267316324,467.15850670812085,177.67202002351155,0.02142714790833985,0.03682581799290545,0.0,0.0
