t,N_US,N_W,phi_US,phi_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,q_US,d_US,Q_US,Q_W,Y_US,Y_W,e_US,e_W,I_US,I_W,R_US,R_W,R_A,G_N_US,G_N_W,Psi,converged,resnorm
28,11.01535859891617,5.665996865196946,0.663194882361504,0.7259969781740858,0.6005244583664211,0.17174615939520352,0.7535596596932038,-0.7446466758236368,1.07298519112791,1.0872707984745422,0.09480939346061067,0.01257542090857505,1.1147085901769747,0.9194139529508277,2.1143973959164724,2.090807181721438,2.0462237477388205,2.012011331890453,0.07034912266261051,0.04776679125417293,1.0668263454783233,1.0915101464991444,1.0794434005542164,1.0673610235276991,1.0548006043651827,0.9883115177049443,true,2.9336722005864433e-15
29,12.285906112039097,6.088374401703106,0.6632405386316292,0.7260015630037242,0.6006933850873616,0.17186647234494706,0.7544570251251091,-0.7442415444515763,1.073003544379635,1.0872721782625538,0.08575610106619229,0.011375384532417963,1.1245527811269005,0.9260371157717754,2.1333627296566764,2.1058955039055984,2.064567198196174,2.0265303550288847,0.07096137489312604,0.048110124671655256,1.0668433271503066,1.0915118744679044,1.0794399646867254,1.0673518922736742,1.0547996873992551,0.9883303954379021,true,2.8695069840208494e-15
30,13.72553801563049,6.547190737844546,0.6632877030751003,0.7260062641371137,0.6008679053258645,0.17199090825663615,0.7553863686008221,-0.7438233827651783,1.073022495019715,1.0872735929024873,0.0774500420924904,0.010274332104519559,1.1346314605773942,0.9327782850666402,2.152787871604592,2.1212532564222752,2.0833550992435317,2.0413086277274735,0.07158796352473569,0.04845955832660276,1.0668608700678321,1.0915136462730752,1.0794364330655197,1.0673424593849798,1.0547987471725773,0.9883498809077865,true,3.718805361021548e-15
31,15.358979281273426,7.045954071272891,0.6633363423056804,0.7260110747617555,0.6010478971386942,0.17211939391861292,0.7563472681367428,-0.7433925204522241,1.0730420287702307,1.0872750403281481,0.0698431641758913,0.009265901811898174,1.1449488598680535,0.9396399085724548,2.172681085414797,2.1368859907571958,2.102595439815499,2.0563514926245876,0.07222914835196063,0.04881521980994665,1.0668789618404226,1.0915154593473118,1.0794328098556347,1.0673327315388639,1.0547977850476489,0.9883699588333886,true,3.7946760388486736e-15
32,17.214830948740335,7.588540557396031,0.6633864208495058,0.726015987840741,0.6012332309152582,0.17225185070643867,0.7573392625403108,-0.7429493056378608,1.0730621305134616,1.0872765184055004,0.06288903066256939,0.008343945792387347,1.155509221402134,0.9466244733480188,2.193050650999754,2.152799346101933,2.122296224754207,2.071664376801797,0.07288519001585449,0.04917723880430374,1.0668975893010895,1.0915173110386782,1.0794290993691278,1.0673227158300989,1.0547968024318517,0.9883906130793005,true,4.542012734785257e-15
33,19.326211178326346,8.179235661475596,0.6634379012134238,0.726020996135115,0.6014237696263885,0.17238819469849725,0.7583618517602982,-0.7424941041147258,1.0730827843233726,1.0872780249394567,0.056542921806611836,0.0075025434743706595,1.1663167974087474,0.9537345058371178,2.2139048618954864,2.1689990495521583,2.1424654722697984,2.0872527919732917,0.07355634993457325,0.04954574708570766,1.0669167385316174,1.091519198619076,1.0794253060515095,1.0673124197573152,1.054795800772977,0.988411826691698,true,5.027303358217603e-15
34,21.73150687515123,8.822780431665253,0.6634907439608682,0.7260260922272778,0.6016193691004728,0.1725283368100758,0.759414497360371,-0.7420272985054446,1.0731039735001744,1.0872795576809786,0.050761917474497764,0.0067360124780069435,1.1773758488345765,0.9609725719349135,2.235252022887069,2.1854909163210454,2.163111211651826,2.103122334689676,0.07424289024166915,0.04992087852527874,1.066936394890653,1.091521119293061,1.0794214344676223,1.0673018512078263,1.0547947815545444,0.9884335819372282,true,5.529442768734158e-15
35,24.475255600917254,9.52442330849208,0.6635449077944646,0.7260312685452363,0.6018198783239544,0.1726721829442126,0.7604966231062555,-0.7415492873658127,1.0731256806076037,1.0872811143344432,0.04550496177827508,0.006038917133471235,1.1886906443654364,0.9683412770685217,2.257100447892853,2.2022808499922903,2.1842414812305697,2.1192786865797144,0.07494507373218354,0.050302769091422006,1.0669565430442969,1.0915230702069831,1.0794174892870934,1.067291018441107,1.0547937462909527,0.9884558603446142,true,6.163525253278624e-15
36,27.609181098189357,10.289978166806893,0.663600349644649,0.7260365173875374,0.6020251397635282,0.17281963415783486,0.7616076156586725,-0.7410604842363158,1.0731478875126057,1.0872826925652082,0.04073291025058312,0.005406074696866214,1.2002654595814533,0.975843266302778,2.279458458113494,2.219374842837236,2.205864326594186,2.135727614653587,0.07566316381681021,0.05069155685313924,1.0669771669989323,1.0915250484583807,1.0794134752694649,1.0672799300710702,1.0547926965224925,0.9884786427486207,true,7.12986744852659e-15
37,31.19341003586183,11.12588937765956,0.6636570247635846,0.7260418309486958,0.6022349897074304,0.1729705868417321,0.762746825364383,-0.7405613166493462,1.073170575427107,1.0872842900073394,0.036408560348466595,0.004832559367357752,1.2121045762495315,0.9834812244814989,2.3023343804517284,2.236778976218903,2.2279877990674857,2.1524749716896245,0.0763974244843924,0.05108738198500966,1.0669982501360271,1.0915270511055655,1.0794093972491354,1.067268595047283,1.0547916338102608,0.9885019093360333,true,7.964167299690258e-15
