date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2003-10-01,2002M01-2007M12,Taiwan,48.000000,0.0330601281,1451.900000,Stable panel of economies reported in every month
2003-10-01,2002M01-2007M12,Hong Kong,43.900000,0.0302362422,1451.900000,Stable panel of economies reported in every month
2003-10-01,2002M01-2007M12,United Kingdom,77.000000,0.0530339555,1451.900000,Stable panel of economies reported in every month
2003-10-01,2002M01-2007M12,Mainland China,151.500000,0.1043460293,1451.900000,Stable panel of economies reported in every month
2003-10-01,2002M01-2007M12,Japan,507.700000,0.3496797300,1451.900000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,All other foreign,551.300000,0.3679503437,1498.300000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,South Korea,63.300000,0.0422478809,1498.300000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,Singapore,22.500000,0.0150170193,1498.300000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,Taiwan,50.500000,0.0337048655,1498.300000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,Hong Kong,47.500000,0.0317025963,1498.300000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,United Kingdom,77.900000,0.0519922579,1498.300000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,Mainland China,154.200000,0.1029166389,1498.300000,Stable panel of economies reported in every month
2003-11-01,2002M01-2007M12,Japan,531.100000,0.3544683975,1498.300000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,All other foreign,545.900000,0.3584137614,1523.100000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,South Korea,63.100000,0.0414286652,1523.100000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,Singapore,21.200000,0.0139189810,1523.100000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,Taiwan,50.900000,0.0334186856,1523.100000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,Hong Kong,50.000000,0.0328277854,1523.100000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,United Kingdom,82.200000,0.0539688793,1523.100000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,Mainland China,159.000000,0.1043923577,1523.100000,Stable panel of economies reported in every month
2003-12-01,2002M01-2007M12,Japan,550.800000,0.3616308844,1523.100000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,All other foreign,554.300000,0.3444568730,1609.200000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,South Korea,57.300000,0.0356077554,1609.200000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,Singapore,25.600000,0.0159085260,1609.200000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,Taiwan,55.300000,0.0343649018,1609.200000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,Hong Kong,54.000000,0.0335570470,1609.200000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,United Kingdom,94.500000,0.0587248322,1609.200000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,Mainland China,155.000000,0.0963211534,1609.200000,Stable panel of economies reported in every month
2004-02-01,2002M01-2007M12,Japan,613.200000,0.3810589113,1609.200000,Stable panel of economies reported in every month
2004-03-01,2002M01-2007M12,All other foreign,575.600000,0.3446706587,1670.000000,Stable panel of economies reported in every month
2004-03-01,2002M01-2007M12,South Korea,59.100000,0.0353892216,1670.000000,Stable panel of economies reported in every month
2004-03-01,2002M01-2007M12,Singapore,26.600000,0.0159281437,1670.000000,Stable panel of economies reported in every month
