date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2003-04-01,2002M01-2007M12,Financial/offshore centres,227.000000,0.1776212833,1278.000000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,Other East Asian exporters,72.500000,0.0567292645,1278.000000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,United Kingdom,77.800000,0.0608763693,1278.000000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,Mainland China,134.000000,0.1048513302,1278.000000,Economic-function and custody-role grouping
2003-04-01,2002M01-2007M12,Japan,401.800000,0.3143974961,1278.000000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,All other foreign,201.100000,0.1514193208,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,Canada & other advanced,26.000000,0.0195768391,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,Commodity exporters,39.500000,0.0297417363,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,Core EU-27 (identifiable),94.900000,0.0714554627,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,Financial/offshore centres,235.800000,0.1775468715,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,Other East Asian exporters,74.600000,0.0561704691,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,United Kingdom,79.000000,0.0594834726,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,Mainland China,135.800000,0.1022513365,1328.100000,Economic-function and custody-role grouping
2003-05-01,2002M01-2007M12,Japan,441.400000,0.3323544914,1328.100000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,All other foreign,207.900000,0.1517629024,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,Canada & other advanced,31.900000,0.0232863713,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,Commodity exporters,39.800000,0.0290532156,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,Core EU-27 (identifiable),98.700000,0.0720490547,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,Financial/offshore centres,234.300000,0.1710343821,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,Other East Asian exporters,77.500000,0.0565734725,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,United Kingdom,89.500000,0.0653332360,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,Mainland China,137.200000,0.1001532959,1369.900000,Economic-function and custody-role grouping
2003-06-01,2002M01-2007M12,Japan,453.100000,0.3307540696,1369.900000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,All other foreign,205.100000,0.1445384073,1419.000000,Economic-function and custody-role grouping
2003-07-01,2002M01-2007M12,Canada & other advanced,38.600000,0.0272022551,1419.000000,Economic-function and custody-role grouping
