date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,TIC_classification_vintage
2004-06-01,2002M01-2007M12,Canada,31.300000,0.0171940233,1820.400000,pre-2012 TIC classification
2004-06-01,2002M01-2007M12,United Kingdom,119.300000,0.0655350472,1820.400000,pre-2012 TIC classification
2004-06-01,2002M01-2007M12,Mainland China,166.600000,0.0915183476,1820.400000,pre-2012 TIC classification
2004-06-01,2002M01-2007M12,Japan,688.400000,0.3781586465,1820.400000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,All other foreign,330.200000,0.1884810777,1751.900000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,EU-27 (identifiable),197.400000,0.1126776643,1751.900000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,Middle East (reported/bridge),84.700000,0.0483475084,1751.900000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,Four Asian dragons,184.600000,0.1053713111,1751.900000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,Canada,25.900000,0.0147839489,1751.900000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,United Kingdom,57.300000,0.0327073463,1751.900000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,Mainland China,196.400000,0.1121068554,1751.900000,pre-2012 TIC classification
2004-07-01,2002M01-2007M12,Japan,675.400000,0.3855242879,1751.900000,pre-2012 TIC classification
2004-08-01,2002M01-2007M12,All other foreign,330.300000,0.1865996271,1770.100000,pre-2012 TIC classification
2004-08-01,2002M01-2007M12,EU-27 (identifiable),188.200000,0.1063216767,1770.100000,pre-2012 TIC classification
2004-08-01,2002M01-2007M12,Middle East (reported/bridge),79.600000,0.0449692108,1770.100000,pre-2012 TIC classification
2004-08-01,2002M01-2007M12,Four Asian dragons,183.900000,0.1038924355,1770.100000,pre-2012 TIC classification
2004-08-01,2002M01-2007M12,Canada,25.700000,0.0145189537,1770.100000,pre-2012 TIC classification
