survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Commodity exporters,299.75,0.29975,6.924295904790065e-05,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),900284.25,900.28425,0.2079677913401833,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Financial/offshore centres,1100902.0,1100.902,0.2543109661442933,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Other East Asian exporters,188383.0,188.383,0.0435169186132466,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,673978.0,673.978,0.15569051227084565,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,73912.0,73.912,0.017073846836191602,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,543506.0,543.506,0.12555117164399762,4328960.0,4328.96,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,589131.75,589.13175,0.11215274452920754,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada & other advanced,607068.0,607.068,0.11556726032140852,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Commodity exporters,2183.0,2.183,0.0004155767216879078,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),1137120.25,1137.12025,0.2164730671827458,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Financial/offshore centres,1366514.0,1366.514,0.2601426515165504,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Other East Asian exporters,210306.0,210.306,0.04003585800792356,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,715494.0,715.494,0.13620826885358125,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,95693.0,95.693,0.018217033086798423,5252941.0,5252.941,Economic-function and location-role grouping,Final historical survey
