survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada,298137.0,298.137,0.06887035223240685,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,673978.0,673.978,0.15569051227084565,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,73912.0,73.912,0.017073846836191602,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2006-12-31,2006,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,543506.0,543.506,0.12555117164399762,4328960.0,4328.96,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,3147181.0,3147.181,0.5991274221431385,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,South Korea,129272.0,129.272,0.024609452114539264,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Singapore,55598.0,55.598,0.010584166089053732,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Taiwan,81034.0,81.034,0.015426405893384296,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Hong Kong,119583.0,119.583,0.022764961571051342,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada,379655.0,379.655,0.07227475046835669,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,715494.0,715.494,0.13620826885358125,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,95693.0,95.693,0.018217033086798423,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2007-12-31,2007,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,529431.0,529.431,0.10078753978009652,5252941.0,5252.941,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,All other foreign,1618530.0,1618.53,0.5888929962873323,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,South Korea,45287.0,45.287,0.016477419091931823,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Singapore,24028.0,24.028,0.008742452048953074,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Taiwan,41195.0,41.195,0.014988568010513646,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Hong Kong,61483.0,61.483,0.022370242189353334,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Canada,180175.0,180.175,0.06555565581488763,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,United Kingdom,376861.0,376.861,0.13711874569754057,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
2008-12-31,2008,2008Q1-2023Q3,U.S. portfolio equity assets abroad,Mainland China,53269.0,53.269,0.019381624696008046,2748428.0,2748.428,Stable panel of separately reported economies,Final historical survey
