t,home_equity,foreign_liability,bond_position,nfa_sum,NFA,A_US,Q_US,V_agg,B_agg,NFA_fund,NFA_bubble,NFA_b_cf,DeltaNFA,DeltaA,DeltaV,DeltaB,e_US
44.0,0.9861560160173984,-0.04710213460332959,-0.8467536281074022,0.09230025330666669,0.09230025351191351,1.412631975550681,1.3203317220387676,1.320331722048015,-9.247491661312779e-12,0.09230025350266602,9.247491661312779e-12,0.1496232904807846,-0.05732303696887109,-0.32849904607702207,0.2711760090989035,9.247491661312779e-12,2.825263951101362
45.0,0.9920812793521161,-0.0475952202366879,-0.8531297148394069,0.09135634427602124,0.0913563445772394,1.4398512834981483,1.3484949389209089,1.3484949389423562,-2.1447288389708774e-11,0.09135634455579211,2.1447288389708774e-11,0.15368116804253407,-0.062324823465294665,-0.35345251572426406,0.2911276922375221,2.1447288389708774e-11,2.8797025669962966
46.0,0.9976481525282874,-0.04815581468324969,-0.8592265066292432,0.09026583121579457,0.09026583163968716,1.4682464801442499,1.3779806485045627,1.3779806485445454,-3.998268383043069e-11,0.09026583159970447,3.998268383043069e-11,0.15793413496666653,-0.06766830332697937,-0.38027205840451894,0.3126037550375569,3.998268383043069e-11,2.9364929602884997
47.0,1.0028177614223137,-0.048793123720837155,-0.8650036556998745,0.08902098200160213,0.08902098258071534,1.4978654816559955,1.4088444990752802,1.4088444991434195,-6.813927200255421e-11,0.08902098251257606,6.813927200255421e-11,0.16238934602346133,-0.073368363442746,-0.4090947952335344,0.33572643172264915,6.813927200255421e-11,2.995730963311991
48.0,1.0075519917933855,-0.04951693213821219,-0.8704208540454578,0.08761420560971556,0.08761420638339246,1.5287578652075473,1.4411436588241548,1.4411436589352014,-1.1104650532445248e-10,0.08761420627234595,1.1104650532445248e-10,0.16705385865897915,-0.07943965227558669,-0.44006652487984277,0.36062687249320957,1.1104650532445248e-10,3.0575157304150946
49.0,1.0118140313973971,-0.050337575924738864,-0.8754383611526269,0.0860380943200314,0.08603809533547313,1.5609749103241062,1.474936814988633,1.474936815165376,-1.767428425836215e-10,0.08603809515873029,1.767428425836215e-10,0.17193458480706236,-0.08589648947158923,-0.47334211730493214,0.38744562765660007,1.767428425836215e-10,3.1219498206482124
50.0,1.0155688383005657,-0.051265930427742884,-0.8800174643952932,0.08428544347752964,0.08428544347752998,1.5945696428873348,1.5102841994098049,1.510284199400282,9.522826971419818e-12,0.0842854434870528,-9.522826971419818e-12,0.17703823283185205,-0.09275278935432207,-0.5090857547498264,0.4163329654050272,-9.522826971419818e-12,3.1891392857746697
51.0,1.0187836538688881,-0.05231339195997444,-0.8841209732586843,0.08234928865022939,0.08234928868292934,1.629596880913344,1.5472475922304147,1.5472475922220206,8.394174244585884e-12,0.08234928869132352,-8.394174244585884e-12,0.18237126263771186,-0.10002197395478252,-0.5474714914916914,0.44744951754530304,-8.394174244585884e-12,3.259193761826688
52.0,1.0214284353627616,-0.05349187479037933,-0.8877136425176304,0.0802229180547519,0.080222918128942,1.666113284046181,1.585890365917239,1.5858903659103674,6.871614388614944e-12,0.08022291813581361,-6.871614388614944e-12,0.18793982557404876,-0.10771690744510676,-0.58868352333337,0.4809666158951349,-6.871614388614944e-12,3.332226568092362
53.0,1.0234762444120633,-0.05481381888121539,-0.8907625417986861,0.07789988373216183,0.07789988385826319,1.7041774060154207,1.6262775221571575,1.6262775221522963,4.8612225356237104e-12,0.07789988386312441,-4.8612225356237104e-12,0.19374971150523068,-0.1158498276469675,-0.6329166235441297,0.5170667959020234,-4.8612225356237104e-12,3.4083548120308413
