t,N_US,N_W,phi_US,phi_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,q_US,d_US,Q_US,Q_W,Y_US,Y_W,e_US,e_W,I_US,I_W,Psi,resnorm
39,35.297902670711515,12.039304781433849,0.3333550813508487,0.585170066564561,0.5674867949138241,0.13629270537817806,0.6699163916024121,-0.36301616106513296,0.9340761210178334,0.948088337103781,0.03965492834077246,0.0026438343726000553,1.5863611528224324,1.4792725524605719,3.883177331625964,2.190654346147713,3.9764808751002523,2.1441192773426025,0.18662535183580678,0.11332701894863816,0.9879347956825371,2.777195912698372e-10
40,40.00413616159194,13.038157581652081,0.32470104232489555,0.5808070601079315,0.5681188863609722,0.13397819240845513,0.6610980827848976,-0.35112223526170794,0.9297330160098238,0.9438689473424844,0.03564263326742695,0.002314640034627506,1.6184281301550905,1.511499940539579,3.988436936833011,2.2057660818943643,4.088417137489956,2.16068930832197,0.19257537576725628,0.11691964297069155,0.9879077695759677,3.4315428708104235e-10
41,45.40708645211514,14.13125830313784,0.31613353717247306,0.5764213694968601,0.5687709349715155,0.1316222411058286,0.6521467130505842,-0.33943956559755334,0.9253670158306716,0.9396326611036113,0.03199796437710466,0.002023125932170577,1.6516569476098846,1.544789773113879,4.097621409186925,2.2211139138123315,4.2044797679283334,2.177579945527205,0.19872261284699294,0.1206472665171134,0.9878752790243083,4.1880606469510693e-10
42,51.61756317197748,15.328398111003688,0.3076582325272924,0.5720143617288386,0.5694375319766715,0.12923108063673752,0.6430896180751656,-0.3279841618648194,0.9209789263635912,0.9353800113301174,0.028692160891389273,0.0017654759014467055,1.6860937489506638,1.579178628705644,4.21088165784859,2.236701614141008,4.324826415575897,2.194798945791914,0.20507432159883632,0.1245150260872888,0.9878373949799363,5.056971614039041e-10
43,58.76496215580168,16.640464960846163,0.299280575265416,0.5675874168341779,0.5701135928765602,0.12681076212876305,0.6339525449168366,-0.3167697756508932,0.9165695739245161,0.9311115556028239,0.02569811007147745,0.0015381890330851502,1.7217865386734799,1.6147043223412383,4.328374279289761,2.252532977998887,4.449620731819526,2.2123542572455284,0.21163807284748165,0.1285282471431313,0.9877942309373565,6.048621393006231e-10
44,67.00051225107427,18.079574248606132,0.29100577870522654,0.5631419236063916,0.5707943862774271,0.12436710694492184,0.6247595327887425,-0.3058079707671147,0.9121398031409144,0.9268278761410943,0.022990323944457314,0.0013380634244284431,1.758785242455002,1.6514059567473367,4.450261761564525,2.268611821623416,4.579032588061616,2.2302540247860017,0.2184217613582234,0.13269245205093325,0.9877459376801206,1.23863770829339e-9
45,76.50110745303454,19.65921585425843,0.28283880968565167,0.5586792754896868,0.571475554055308,0.12190566669068613,0.615532843565365,-0.2951082227669804,0.9076904745913268,0.9225295791570076,0.020544907213470454,0.0011621794202720285,1.797141772510457,1.689323975918194,4.576712695490485,2.284941980650594,4.713238300940679,2.248506595936837,0.22543361816012972,0.1370133683954007,0.987692698079963,2.9598566955524856e-14
46,87.47383250931135,21.394419731079626,0.2747843780417753,0.5542008670609179,0.5721531226089579,0.11943169428816791,0.6062929370586055,-0.2846780411429864,0.903222462561093,0.918217293904157,0.01833951723755241,0.0010078825675414514,1.8369100800649703,1.728500218777947,4.707901993994144,2.301527308701473,4.852420864017651,2.267120527149033,0.232682220925682,0.14149693736506794,0.9876347219933918,1.025811774721226e-11
47,100.16131047897332,23.301942484249643,0.26684692496632506,0.5497080901829656,0.5728235083837623,0.11695012473287668,0.5970584798710987,-0.27452310524747936,0.8987366523553946,0.9138916709859873,0.016353317687577248,0.0008727665075854805,1.8781462391781343,1.7689779779210535,4.844011117496241,2.31837167569076,4.996770189265746,2.28610459043619,0.24017650891142361,0.14614932287710938,0.987572241562467,2.1909393269948768e-11
48,114.8480250343857,25.400477720985535,0.2590306149648204,0.5452023310712856,0.5734835155759223,0.11446556469436876,0.5878463863108667,-0.2646474108892778,0.8942339380498568,0.9095533807253458,0.01456692625464089,0.0007546559731773637,1.920908505300634,1.8108020567955307,4.985228308985669,2.3354789666446316,5.146483355019433,2.3054677805131716,0.24792579413358695,0.15097692055802103,0.9875055067130357,3.503683471691383e-11
49,131.86779913083242,27.71089333242153,0.2513393280310807,0.5406849673858007,0.5741303292185764,0.11198228936328171,0.5786718808579229,-0.2550534204314756,0.8897152201405009,0.9052031111853389,0.012962357957361639,0.0006515900677403212,1.965257390291548,1.8540188299963303,5.131748836619939,2.352853080461133,5.301764863359748,2.3252193223136604,0.25593977490823616,0.1559863672053607,0.9874347810932683,4.973062081992732e-11
50,151.61264615250272,30.256499307371488,0.2437766534161372,0.5361573656869566,0.5747615037262934,0.10950424536409582,0.5695485777996998,-0.24574221307006158,0.8851814033558167,0.9008415661137072,0.011522964824521607,0.0005618059604707488,2.0112557379902976,1.898676304819484,5.283775245247841,2.37049792883392,5.46282690637899,2.345368678938109,0.26422854942236745,0.16118455048549388,0.9873603383932453,6.607543116465228e-11
51,174.54325068407886,33.06335017613588,0.23634588479610186,0.5316208791867442,0.5753749479405202,0.10703505848993006,0.5604885725829599,-0.236713631886296,0.8806333946185518,0.8964694628452267,0.010233372911399136,0.0004837231150386179,2.0589688031717324,1.944824184370474,5.4415176170740045,2.388417435297818,5.629889641897867,2.3659255600218803,0.27280262975373126,0.1665786189082532,0.9872824590615568,8.415086830553137e-11
52,201.20138501727132,36.16058675346375,0.22905001685084875,0.5270768457761651,0.5759689075006958,0.10457804514054961,0.5515025404606793,-0.22796642520147342,0.876072101170441,0.8920875302140157,0.009079417507731872,0.0004159281466283753,2.1084643340775617,1.9925139322526182,5.605193841872643,2.4066155343880213,5.803181479075194,2.3868999305214382,0.2816729563718471,0.17217599208360926,0.9872014274092926,1.0402839197156288e-10
53,232.2246258950016,39.58082250267028,0.22189174325262984,0.5225265863073133,0.576541945277523,0.10213622647312526,0.5425998387840056,-0.21949838046805104,0.8714984288642987,0.8876965065150927,0.008048077323188027,0.00035716038141483003,2.1598126587030873,2.0417988388832105,5.775029897172608,2.425096170902691,5.982939374365736,2.4083020199164737,0.2908509131517021,0.17798437126837466,0.9871175290828116,1.2577076261219467e-10
54,268.36380566079555,43.360580590093136,0.21487345605077765,0.517971403106459,0.5770929205109654,0.09971234441261421,0.5337886100147571,-0.21130644953048439,0.8669132806210282,0.8832971375434525,0.007127408360328467,0.00030629817341379676,2.213086775007305,2.0927340895037596,5.951260138850005,2.4438632992572993,6.169409138296716,2.430142331826224,0.3003483429309868,0.18401175021348928,0.9870310488807881,1.4943138783455493e-10
