t,N_US,e_US,A,q_US,v,B_per,Q_US,V_agg,B_agg,bubble_share,NFA,NFA_fund,NFA_bubble,NFA_b_cf,dNFA,dA,dV,dB
21,4.8819637657503785,2.5183599848907057,1.2591799924453528,0.21679122425759415,0.21679122426726202,-9.667877609587094e-12,1.1649255023544574,1.1649255024064078,-5.1950443946680025e-11,-4.459550747380996e-11,0.09425449009089548,0.09425449003894504,5.1950443946680025e-11,-0.0866431697308887,0.18089765982178418,0.3018288213504936,-0.12093116158065986,5.1950443946680025e-11
22,5.373490123245385,2.5772764008020075,1.2886382004010037,0.1995519399023514,0.199551939914546,-1.2194606435755873e-11,1.182202493510794,1.1822024935830384,-7.224443265840819e-11,-6.111003238020879e-11,0.10643570689020976,0.10643570681796533,7.224443265840819e-11,-0.08722718048279687,0.19366288737300663,0.32373396417051126,-0.13007107686974906,7.224443265840819e-11
23,5.924284645337409,2.6382973212156133,1.3191486606078067,0.18343016581365543,0.18343016582853888,-1.488345557909554e-11,1.2000658019450237,1.2000658020423964,-9.737277650856413e-11,-8.11395311413306e-11,0.11908285866278301,0.11908285856541023,9.737277650856413e-11,-0.08782176940818998,0.20690462807097298,0.34649837468466904,-0.13959374671106883,9.737277650856413e-11
24,6.542357941082366,2.701502683912031,1.3507513419560155,0.16837846693569714,0.1683784669532044,-1.7507273408767787e-11,1.2185378217005463,1.2185378218272447,-1.2669842952561794e-10,-1.039757874308754e-10,0.13221352025546929,0.13221352012877086,1.2669842952561794e-10,-0.08842715320398631,0.2206406734594556,0.3701579439292103,-0.14951727059645314,1.2669842952561794e-10
25,7.236898184646731,2.7669755262238116,1.3834877631119058,0.15434915175642358,0.1543491517761154,-1.9691831498747092e-11,1.2376418509896687,1.2376418511475666,-1.578979169636341e-10,-1.2757965225349523e-10,0.14584591212223708,0.14584591196433916,1.578979169636341e-10,-0.08904354694968453,0.2348894590719216,0.3947501184119572,-0.1598606594979335,1.578979169636341e-10
26,8.018455799114307,2.834802102819561,1.4174010514097806,0.14129449546026762,0.14129449548112294,-2.085531747297864e-11,1.257402128144654,1.2574021283302486,-1.8559465075895787e-10,-1.4760166744175154e-10,0.15999892326512666,0.159998923079532,1.8559465075895787e-10,-0.08967117292098903,0.2496700961861157,0.4203138892388075,-0.1706437932382865,1.8559465075895787e-10
27,8.899158626446553,2.9050720078771946,1.4525360039385973,0.1291669545358444,0.1291669545559683,-2.0123902544355587e-11,1.277843880079163,1.277843880278248,-1.9908497073117815e-10,-1.5579756951126514e-10,0.17469212385943433,0.17469212366034936,1.9908497073117815e-10,-0.09031025489599953,0.26500237875543387,0.4468899008784304,-0.1818875223220815,1.9908497073117815e-10
28,9.892962829936163,2.977878301864936,1.488939150932468,0.11791936897367108,0.11791936898988908,-1.621799916584621e-11,1.298993366013999,1.2989933661926556,-1.7865664503347034e-10,-1.3753468624838612e-10,0.18994578491846914,0.1899457847398125,1.7865664503347034e-10,-0.09096102116849258,0.2809068060869617,0.4745204889294592,-0.19361368302115411,1.7865664503347034e-10
29,11.015945703576797,3.0533176434696365,1.5266588217348183,0.10750515340614836,0.10750515340877047,-2.622110861771887e-12,1.3208779430042041,1.320877943036421,-3.221689581778264e-11,-2.4390516919760618e-11,0.20578087873061413,0.20578087869839723,3.221689581778264e-11,-0.09162369828363315,0.2974045770142473,0.5032498107432408,-0.20584523376121044,3.221689581778264e-11
30,12.286647673660838,3.1314904260934013,1.5657452130467007,0.09787847112967285,0.09787847113299587,-3.323022412793364e-12,1.3435260998052483,1.3435260998508616,-4.561329092211963e-11,-3.395043157608292e-11,0.22221911324145238,0.2222191131958391,4.561329092211963e-11,-0.09229852024723884,0.3145176334886912,0.5331238241661034,-0.21860619072302545,4.561329092211963e-11
