comparison_type,T_report,n_buffer,terminal_rule,T_solve,t,periods_to_terminal,n,phi,G,q,d,dividend_yield,free_entry_resid,clearing_resid,pricing_identity_resid,terminal_phi,terminal_q,terminal_mc_resid
unreduced_equilibrium,45,20,local_loglinear,65,23,42,6.4187815229846645,0.4466098195447701,1.110678036091046,2.1161855977487325,0.1890218535867606,0.08932196390895403,-4.440892098500626e-16,-1.0658141036401503e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,24,41,7.1291996560461,0.43551916573847227,1.1128961668523056,2.2351153751536486,0.19468711670322997,0.08710383314769449,-4.440892098500626e-16,-1.7763568394002505e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,25,40,7.93405896993848,0.42448861537048865,1.1151022769259022,2.36304582459289,0.2006172100276903,0.08489772307409782,-2.220446049250313e-15,-2.4868995751603507e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,26,39,8.847287222642779,0.4135288019183259,1.1172942396163348,2.5007269723090353,0.20682452575675972,0.08270576038366524,-1.7763568394002505e-15,-7.105427357601002e-15,-4.440892098500626e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,27,38,9.885023050089977,0.4026500912423031,1.1194699817515394,2.6489753401340415,0.21332203248071654,0.08053001824846062,0.0,0.0,-4.440892098500626e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,28,37,11.065986573497772,0.39186254337155885,1.1216274913256883,2.8086800542839097,0.2201233019177321,0.07837250867431175,8.881784197001252e-16,-1.4210854715202004e-14,-4.440892098500626e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,29,36,12.411914759476057,0.38117587674466125,1.1237648246510679,2.98080952613487,0.2272425369066596,0.07623517534893229,-1.3322676295501878e-15,-2.842170943040401e-14,8.881784197001252e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,30,35,13.948073213266612,0.37059943516086824,1.1258801129678264,3.166418759058839,0.23469460071799664,0.07411988703217365,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,31,34,15.703858245036127,0.3601421576614276,1.1279715684677145,3.366657340533132,0.24249504774525726,0.07202843153228555,-1.3322676295501878e-15,-4.973799150320701e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,32,33,17.71350561564805,0.34981255152149016,1.130037489695702,3.5827781843659783,0.250660155641719,0.06996251030429805,-4.440892098500626e-16,-4.263256414560601e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
unreduced_equilibrium,45,20,local_loglinear,65,33,32,20.016925419617642,0.33961866849300826,1.1320762663013983,3.8161470940415536,0.25920695897037105,0.06792373369860165,-4.440892098500626e-16,-2.842170943040401e-14,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
