t,n,phi_u,phi_b,q_u,q_b,e_u,e_b,G_u,G_b
32,17.71350561564804,0.3498125515214902,0.6933034373659253,3.582778184365978,0.1887726499981614,143.4324074229738,7.097866693625392,1.130037489695702,1.061339312526815
33,20.01692541961763,0.3396186684930083,0.6933034373659253,3.816147094041554,0.1775794255061716,172.9530235202172,7.545260951656747,1.132076266301398,1.061339312526815
34,22.66068619187428,0.329568084398173,0.6933034373659253,4.068253224937624,0.1668994109307682,209.1015083706067,8.028087682377464,1.134086383120365,1.061339312526815
35,25.69917564236831,0.319667882132269,0.6933034373659253,4.340720530560977,0.1567226389603068,253.4630976459561,8.549390911090436,1.136066423573546,1.061339312526815
36,29.19597056081376,0.3099246380950126,0.6933034373659253,4.635320286042055,0.1470380971029357,308.0212469864183,9.112489426133925,1.138015072380997,1.061339312526815
37,33.22545455099794,0.3003444120311327,0.6933034373659253,4.953984790998081,0.1378338434901428,375.2616681975568,9.72100226737982,1.139931117593773,1.061339312526815
38,37.8747295388802,0.2909327402247786,0.6933034373659253,5.298822363586194,0.1290971224558169,458.3044263366288,10.37887661320975,1.141813451955044,1.061339312526815
39,43.24587567665249,0.2816946319587699,0.6933034373659253,5.672133748206542,0.1208144787378836,561.0718675293468,11.09041829329359,1.143661073608246,1.061339312526815
40,49.45862460548911,0.2726345691192019,0.6933034373659253,6.076430070966715,0.1129718692525766,688.5023460011173,11.86032517611719,1.14547308617616,1.061339312526815
41,56.65352336487776,0.2637565087987985,0.6933034373659253,6.514452489781235,0.1055547715032512,846.8225509329894,12.69372370388849,1.14724869824024,1.061339312526815
42,64.99568093107905,0.2550638887289078,0.6933034373659253,6.989193699958343,0.09854828780335211,1043.894884648223,13.59620887339027,1.148987222254218,1.061339312526815
43,74.67920689152199,0.2465596353503228,0.6933034373659253,7.503921471437018,0.09193724461385319,1289.661053463265,14.57388798975882,1.150688072929936,1.061339312526815
44,85.9324726659414,0.2382461743172204,0.6933034373659253,8.06220441060756,0.08570628641655562,1596.709112759837,15.63342855128691,1.152350765136556,1.061339312526815
