t,evidence_window,Y_US,e_US,q_US,q_W,n_W,n_US_star,bond,asset_position,liability_position,foreign_liability_exposure_Y,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
21,false,4.363966455917596,4.3487175826769295,1.4436593185989322,2.2122705254098483,0.5450604434593854,0.6911594809516967,-0.18220592789723705,1.2058211536320196,0.9977988253139181,0.2286449346925868,0.025816400420864527,0.005915810921474236,-0.026665084999537875,0.0011071753231890345,-0.01368316549159348,-0.012575990168404445,0.04504767973156184,-0.023421153526524074,-0.0025922403819486073,0.019034285823089157,2.0816681711721685e-16,-0.008702896819838086,-0.047181989896264265,-0.05588488671610237,0.11268765939108326,-0.0784833974356063,-0.004984460238912499,0.029219801716564454,3.458343319878902e-17
22,false,4.545404524391273,4.530993373839707,1.4641390747171705,2.2147958993830077,0.5667401085496955,0.7078162534787784,-0.184931968409324,1.2552136684317463,1.036341434438193,0.22799762460679585,0.03394026558422936,0.007466940599478258,-0.023813429748214935,0.001376481457711074,-0.014154777608698972,-0.012778296150987897,0.048016033342015645,-0.024387831515575865,-0.0027260405120869413,0.020902161314352838,-1.1102230246251565e-16,-0.00805267565008994,-0.04841272050894288,-0.05646539615903284,0.11875317059769475,-0.08071597220934804,-0.005385231977528827,0.03265196641081789,8.777797384889488e-18
23,false,4.739504588442987,4.725949071355309,1.4848460533984642,2.2177114819125148,0.5898116493790967,0.7249232150292505,-0.1877974108220386,1.308032066993781,1.0763993748531089,0.22711221284136904,0.04383528131863357,0.009248916316174355,-0.02075040834947569,0.0016523775592584364,-0.014656736071058225,-0.013004358511799789,0.05116602100277646,-0.02540120434385775,-0.0028654424127146083,0.0228993742462041,-9.8879238130678e-17,-0.007374249802255728,-0.04952250399394687,-0.05689675379620262,0.12468544104047037,-0.08276982167533722,-0.005769273918406213,0.03614634544672694,-1.2444464834369458e-17
24,false,4.947008414574759,4.934332726177107,1.5058020058476498,2.2209953597706944,0.6143562253500634,0.7424973721244363,-0.19080874936323367,1.36448232574873,1.118054032281585,0.2260060906683726,0.05561954410391112,0.011243066403535142,-0.017497927139986272,0.0019368694158924224,-0.015191456423463706,-0.013254587007571284,0.05451338933905635,-0.02646320100501254,-0.0030113385411950633,0.025038849792848743,9.540979117872439e-17,-0.006673411199576704,-0.050516103954402224,-0.05718951515397894,0.13047493660224277,-0.08464734957518294,-0.0061359990130671815,0.03969158801399266,7.36388337003554e-18
25,false,5.168727382916313,5.1569623775754465,1.5270295728799832,2.22462845941934,0.6404617511340533,0.7605559678935896,-0.19397329625101797,1.4247894387423619,1.1613914548038704,0.224695823316684,0.06942468768747356,0.01343167912413724,-0.014076433873460435,0.0022320173864625245,-0.01576141273810288,-0.013529395351640355,0.05807509560716941,-0.02757600978418236,-0.0031645468877843086,0.027334538935202744,5.204170427930421e-17,-0.005955315823678303,-0.05139853282843672,-0.05735384865211503,0.13611391213916602,-0.08635146087976409,-0.00648503648074735,0.04327741477865458,1.7116572556569982e-17
26,false,5.405547839221789,5.394731452022255,1.5485521759331677,2.2285943020070027,0.668223391248286,0.7791165750141021,-0.19729909676650617,1.4891988422037261,1.206502667543685,0.22319711219453,0.0853970778935349,0.01579804312782275,-0.010504922109371139,0.00253997048841649,-0.016369144196704294,-0.013829173708287804,0.06186943297294793,-0.028742068543110358,-0.0033258005154881976,0.029801563914349377,-2.3592239273284576e-16,-0.005224527526780738,-0.05217494260662604,-0.05739947013340677,0.14159621940423198,-0.0878854915500234,-0.006816179830172901,0.046894548024035664,-2.7277807882513624e-17
27,false,5.658437064418902,5.648614788806104,1.5703939588227267,2.2328787802470913,0.6977441097657826,0.7981971813196236,-0.2007948830828612,1.5579780167384132,1.2534840314936655,0.2215247809992905,0.10369910216188649,0.018326456754986627,-0.0068009654084762354,0.00286298857932149,-0.017017295077114795,-0.014154306497793305,0.06591618595536554,-0.029964068872865696,-0.0034957863163550262,0.03245633076614482,7.632783294297951e-17,-0.0044850626798707965,-0.05285053804457122,-0.05733560072444201,0.14691712823411232,-0.08925314394601369,-0.007129348972132845,0.05053463531596579,-1.2569489013544977e-17
28,false,5.928449943047029,5.919675367019991,1.5925797302615647,2.237469974215033,0.7291352731269917,0.8178162620084825,-0.20447001632926343,1.631418280762721,1.3024376019529902,0.219692772050898,0.1245106624804675,0.02100222885857295,-0.0029807579708582836,0.0032034785479235265,-0.017708620227881933,-0.014505141679958406,0.07023678547638433,-0.031244950231442734,-0.003675133246402229,0.03531670199853937,3.9898639947466563e-17,-0.0037404324181072785,-0.05343050318663241,-0.05717093560473968,0.1520731587405289,-0.09045842559241593,-0.007424555514231547,0.054190177633881405,-5.2669792049444015e-18
29,false,6.216736376383212,6.2090717888143745,1.615134956808783,2.242357979115816,0.7625173196369371,0.8379928483101826,-0.20833447060850616,1.7098367959018912,1.3534715428615358,0.21771416076178574,0.1480307824318492,0.023811655098357396,0.0009408225111537845,0.0035640167883785713,-0.018446031063600477,-0.014882014275221907,0.07485449835079151,-0.032587909844945175,-0.0038644542792427294,0.03840213422660361,0.0,-0.0029936848598602333,-0.05391994679246517,-0.056913631652325394,0.15706192904276273,-0.09150559448804933,-0.007701880391234206,0.05785445416347919,-5.02273551218987e-18
30,false,6.52454954355095,6.518066615460343,1.6380857567906448,2.247534762776235,0.7980204953805824,0.8587465854895896,-0.21239880857572915,1.7935788047757708,1.4067005503830965,0.21560117537516735,0.1744794458169452,0.026741991098742687,0.004950151531277695,0.003947387201082873,-0.019232606247797733,-0.01528521904671486,0.07979462167279672,-0.03399640127376303,-0.004064337967222997,0.04173388243181069,1.6306400674181987e-16,-0.0022474444049753284,-0.054323857688459196,-0.05657130209343452,0.1618820153403301,-0.09239910819070672,-0.007961453524911165,0.061521453624712195,2.0206603274941902e-17
