nu_b,t,e_W_over_e_US,Q_W_over_beta_e_US,Q_W_over_beta_e_W,Q_US_over_beta_e_W,zeta,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b
0.1,61,1.0642185454272903,1.3684702715878374,1.2858921482507975,0.654008866169605,0.6960083642515685,1.0464776812131196,0.9980208346240252,1.0485529408886027
0.1,62,1.0275082342710575,1.3391241809698757,1.3032734301344915,0.6701991758202467,0.6886351717569795,1.0457069840840005,1.0031620627211544,1.0424108157035363
0.1,63,0.9912307848680849,1.3100962269721146,1.3216863791679603,0.6874048110957824,0.68137681042457,1.0449278374422457,1.008501419036989,1.0361193526530088
0.1,64,0.9554143064026981,1.281409950201853,1.3412086689664358,0.705702071553658,0.6742378552203853,1.0441402247241331,1.0140368114522083,1.0296867065691764
0.1,65,0.9200864234632141,1.2530885068486195,1.3619247875998237,0.7251740323109471,0.6672227817773766,1.0433441309995966,1.019765637231271,1.0231214829245892
0.1,66,0.885274246874182,1.2251546347487015,1.3839266634882967,0.7459111925565459,0.6603359692255192,1.0425395333232574,1.0256843032800322,1.0164331558836612
0.1,67,0.8510043332643485,1.197630603013776,1.4073143416553608,0.7680122021819132,0.6535817120567031,1.041726410678791,1.031788106877547,1.0096321170354636
0.1,68,0.8173026319983616,1.1705381553283474,1.4321967279932775,0.7915846550810407,0.6469642220472498,1.0409047253814994,1.0380711100575992,1.002729692885628
0.1,69,0.7841944220211831,1.143898430453005,1.4586923833310632,0.8167459848498217,0.640487645527428,1.0400744104595085,1.0445260213918317,0.9957381521942447
0.1,70,0.7517042365947195,1.1177318617799221,1.4869303741632973,0.8436244703416604,0.6341560884508025,1.039235339336225,1.051144087844693,0.9886706792663543
0.1,71,0.719855776112876,1.0920580440124543,1.5170511653173364,0.8723603853119452,0.6279736622188579,1.0383872753685295,1.0579150116145344,0.981541299601938
0.1,72,0.6886718077085446,1.0668955529613515,1.5492075340085307,0.9031073391572414,0.6219445638122713,1.0375297867180096,1.0648269121645568,0.974364729953098
0.1,73,0.6581740495920395,1.0422616927243986,1.583565461704895,0.9360338850741305,0.6160732126946102,1.0366621046025428,1.0718663687995154,0.9671561071214492
0.1,74,0.6283830365032812,1.0181721301585456,1.6203049271098984,0.9713255234186373,0.6103644818389422,1.0357828881504942,1.0790186005246323,0.959930521723058
0.1,75,0.5993179602337776,0.9946403497679204,1.6596204615325367,1.0091873153696922,0.604824083341166,1.0348898358150629,1.0862678781539958,0.9527022354502052
0.1,76,0.5709964753137224,0.9716768204432755,1.7017212232516976,1.0498474741389048,0.5994592073503291,1.033979044654028,1.0935983258277737,0.9454833829151866
0.1,77,0.5434344539391472,0.9492876971980767,1.7468301656566958,1.0935625647978084,0.5942795752491905,1.0330439558036622,1.100995372975269,0.9382818322042727
0.1,78,0.5166456648654048,0.9274727702904542,1.7951815593615346,1.1406254024827809,0.5892991694280862,1.0320736219693256,1.1084482901701114,0.9310976715124305
0.1,79,0.49064133655297065,0.9062221943834149,1.84701558321631,1.1913775374132514,0.5845390672956244,1.031049866932303,1.1159545278418825,0.9239174547068915
