nu_b,t,bubble_share_upper,log10_bubble_share_upper,a_t,dividend_leakage,switch_leakage,state_price_SDF_factor,physical_payoff_crash_factor
0.1,64,0.5195566653942267,-0.2843670792406552,0.05657185214073808,0.025443250612821704,0.031128601527916376,0.7497082025377513,0.041520956316799675
0.1,65,0.5478778244476247,-0.2613162774352128,0.05451024101848169,0.025253315214379703,0.02925692580410199,0.7637317748426562,0.038307854626225935
0.1,66,0.576651003619761,-0.23908694777680367,0.05251751008748286,0.025057594945901818,0.02745991514158104,0.7783299708448352,0.03528055730884265
0.1,67,0.6058252652273661,-0.21765261888690796,0.05059257926279859,0.024855936685803524,0.02573664257699506,0.7935389432061284,0.03243274044372861
0.1,68,0.6353497551390364,-0.1969871331170973,0.04873433249864506,0.024648193806144136,0.024086138692500925,0.8093975985005578,0.029758104962408438
0.1,69,0.6651740984115105,-0.17706467036046272,0.04694161449066363,0.02443422695307002,0.022507387537593612,0.8259478289824732,0.027250374355147343
0.1,70,0.6952487660506862,-0.1578597732625853,0.04521322720021173,0.02421390472283096,0.020999322477380768,0.8432347671012872,0.02490329300530179
0.1,71,0.7255254076587,-0.139347374111485,0.0435479257014697,0.02398710398237766,0.019560821719092045,0.8613070645193057,0.022710624961620293
0.1,72,0.7559571450259164,-0.12150282381929843,0.041944413036368984,0.02375370956674253,0.018190703469626455,0.8802172005958904,0.020666153146418512
0.1,73,0.7864988217436991,-0.10430192365810445,0.04040133348661659,0.023513612916592038,0.016887720570024557,0.9000218264545065,0.01876367891715589
0.1,74,0.8171072034486953,-0.08772096083366934,0.03891726326701439,0.023266708941279007,0.01565055432573538,0.9207821538235509,0.016997021782781525
0.1,75,0.8477411220777948,-0.0717367496511009,0.03749069705885058,0.023012889967430502,0.014477807091420077,0.9425644027454962,0.015360018953876469
0.1,76,0.8783615550209127,-0.056326681099427484,0.03612002785481011,0.02275203494007884,0.013367992914731269,0.965440330094627,0.013846524221151
0.1,77,0.9089316255591278,-0.04146878538005318,0.03480351611869799,0.022483990936261664,0.012319525182436324,0.9894878738252018,0.012450405415087112
0.1,78,0.939416503288809,-0.027141814576118185,0.03353924197645617,0.022208542281535605,0.011330699694920567,1.0147919691557408,0.011165539380792674
0.1,79,0.9697831705156824,-0.013325356842056928,0.032325030612686295,0.021925359743238077,0.01039967086944822,1.0414456279631958,0.00998580299365925
0.1,80,1.0,0.0,0.031158335598100523,0.021633917817557757,0.009524417780542764,1.0695514305506428,0.008905058240761043
0.5,1,1.658789664221423e-8,-7.780208679351898,0.0,0.0,0.0,NaN,NaN
0.5,2,2.195372353499576e-8,-7.658491809200614,0.32347843783437263,0.03458152920161178,0.28889690863276085,0.3484337049760609,0.8291302032695416
