nu_b,t,model_switch_index,xi_W_seed,xi_W_eff,G_N_US_b,G_N_W_b,common_growth_log_gap,fixed_nu_b_error,bgp_residual_norm
1.0,3,2,1.0,0.6646288311610389,1.0251371294802725,1.0380601842000765,2.102800572556518e-12,0.0,4.924586894804139e-15
1.0,4,3,1.0,0.6985046308629995,1.0262592683526894,1.0378055509729636,-1.871892200272507e-9,0.0,7.461081810181601e-10
1.0,5,4,1.0,0.7349820655378114,1.0274581824984381,1.037542854578869,-6.284462533701074e-12,0.0,4.865376551384493e-14
1.0,6,5,1.0,0.7750318359262237,1.0287639813183618,1.0372671838346061,-1.4014469792988926e-10,0.0,1.1657202419559993e-12
1.0,7,6,1.0,0.820102141515411,1.0302211949224012,1.0369717260350655,-9.275624157645268e-10,0.0,8.375991043632517e-12
1.0,8,7,1.0,0.8724635358056283,1.0318990567421396,1.0366465378239698,-3.913243812325717e-9,0.0,3.8278618266579334e-11
1.0,9,8,1.0,0.9359097147283479,1.0339122963319352,1.036276218658426,-1.002711941255896e-10,0.0,1.905135800396983e-15
1.0,10,9,1.0,1.0173335204319833,1.0364675090968245,1.0358351678779891,-2.1065911515183444e-10,0.0,3.4116707768313114e-14
1.0,11,10,1.0,1.1307741210357112,1.039981330686126,1.035276934063627,-1.1223461951481717e-9,0.0,4.841159493762791e-13
1.0,12,11,1.0,1.3101023132685636,1.045447601711685,1.0345069396479951,-3.840499251950291e-9,0.0,2.6620850999649733e-12
1.0,13,12,1.0,1.6623059765744412,1.0559710647234297,1.0333047845833851,-7.841959998033943e-9,0.0,8.07742937856435e-11
1.3,1,0,1.0,0.7828245318713171,1.023044362929157,1.0385592433125344,2.947066014835631e-9,0.0,1.3267784995118692e-13
1.3,2,1,1.0,0.8363770415641951,1.0244282875212047,1.0382255970784147,2.6168607558663126e-10,0.0,9.925693962975387e-13
1.3,3,2,1.0,0.8957503257795013,1.0259465804722454,1.0378756353388705,1.4757590982572566e-11,0.0,6.160909890308364e-14
1.3,4,3,1.0,0.9633797041539326,1.027657084294235,1.0375001744739587,-1.1507086949968937e-11,0.0,8.10426662188254e-16
1.3,5,4,1.0,1.043213368231675,1.0296526600028,1.037085515784909,-2.134360119199208e-10,0.0,2.0631294116109456e-12
1.3,6,5,1.0,1.1421042109479669,1.0320928355711538,1.0366099728420823,-4.620363897034352e-9,0.0,4.796181080916849e-11
1.3,7,6,1.0,1.2731022283780389,1.0352779968591128,1.0360366143793043,-2.5087646543520137e-10,0.0,4.945594965159707e-15
1.3,8,7,1.0,1.4645878814193962,1.0398530755106243,1.035296388665493,-2.088422608459428e-9,0.0,6.549077771292518e-13
1.3,9,8,1.0,1.7923651793804734,1.0475169081976594,1.0342434423265319,-2.521706177205374e-10,0.0,1.6597783791634532e-14
