nu_b,path,t,regime,phi_US,phi_W,e_US,e_W,Q_US,Q_W,q_US,q_W,N_US,N_W
0.5,realized_switch_tau_5,2,u,0.9798099940456669,0.7519902441614963,2.69905525708338,5.318222017140892,1.1010335832623623,2.507326077582956,1.0942853789728426,2.2960402969325155,1.00212020562793,1.045355311746499
0.5,all_u,3,u,0.9707103955037963,0.7554288812318913,2.718170195876936,5.557474183587832,1.1279484849345596,2.5967026857447975,1.1145066282891043,2.277618237857617,1.0061667682116469,1.0920218085600308
0.5,realized_switch_tau_5,3,u,0.9707103955037963,0.7554288812318913,2.718170195876936,5.557474183587832,1.1279484849345596,2.5967026857447975,1.1145066282891043,2.277618237857617,1.0061667682116469,1.0920218085600308
0.5,all_u,4,u,0.9620969366853803,0.7584005187952503,2.746423168724856,5.803789707349704,1.1573343083729377,2.6908997749670154,1.1349387275168386,2.261876074418847,1.0120608135512752,1.1400956677389968
0.5,realized_switch_tau_5,4,u,0.9620969366853803,0.7584005187952503,2.746423168724856,5.803789707349704,1.1573343083729377,2.6908997749670154,1.1349387275168386,2.261876074418847,1.0120608135512752,1.1400956677389968
0.5,all_u,5,u,0.9539595082784706,0.7609566558304789,2.7835908552998205,6.0576758632030305,1.1891940200567106,2.790042214372303,1.1555415812704068,2.2484652193493444,1.019732854570131,1.1896760416719112
0.5,realized_switch_tau_5,5,b,0.8755671474876737,0.7882319909602475,1.8071891614885736,5.405096831805487,0.9243226607387895,2.321800478007428,0.8844257650569405,1.879963243716493,1.019732854570131,1.1896760416719112
0.5,all_u,6,u,0.9462828924098979,0.7631424448400752,2.8295247827858643,6.319655714042437,1.223546963599414,2.8942792830028248,1.1762850608869024,2.2370917832911297,1.0291226549799326,1.2408651867782412
0.5,realized_switch_tau_5,6,b,0.8755671479076286,0.7882319910253033,1.8295383376559515,5.471940608999849,0.9357535882928518,2.3505137308106314,0.873621843545523,1.8333291001822654,1.0451105081490706,1.235024400486399
0.5,all_u,7,u,0.9390482119328036,0.7649973940247269,2.8841470195850123,6.590268994197407,1.26042786370437,3.003784126955999,1.1971477052030235,2.227507379472714,1.0401789534561263,1.2937686797744454
0.5,realized_switch_tau_5,7,b,0.8755671461838385,0.7882319912982788,1.8521639018764928,5.539611191543483,0.9473258845366893,2.3795821428865813,0.8629499038353383,1.7878518088788042,1.0711197244052097,1.28210135898511
0.5,all_u,8,u,0.9322341235627202,0.7665560228025788,2.947446365172315,6.870073397301575,1.2998859841507169,3.1187534659248453,1.2181154861866856,2.2195015848332704,1.0528591068807294,1.3484957018041583
0.5,realized_switch_tau_5,8,b,0.8755671480197377,0.7882319910140229,1.875069272645992,5.60811843679518,0.9590412857821452,2.4090099531404965,0.8524083234314284,1.743502558203281,1.0977762212225137,1.3309728082993983
0.5,all_u,9,u,0.9258177771381001,0.7678484621407323,3.019475111714213,7.159646188847389,1.3419844505190157,3.2394075382558967,1.2391806752287047,2.2128957422670537,1.0671286909092783,1.4051593777794606
0.5,realized_switch_tau_5,9,b,0.8755671476799888,0.788231991083136,1.898257909563088,5.6774730217647065,0.9709015737626756,2.4388017424878132,0.8419955202461147,1.7002534658499773,1.1250961064310805,1.3817071513924453
0.5,all_u,10,u,0.919775576927228,0.7689009938290601,3.1003464174421382,7.459586082223484,1.3867997179239329,3.3659902970888904,1.2603408109078515,2.2075378655467675,1.0829610865835504,1.4638771616674577
0.5,realized_switch_tau_5,10,b,0.8755671465286675,0.7882319913300676,1.9217333161432408,5.7476853359971365,0.9829085375766478,2.4689619748498366,0.8317099185712185,1.6580772137651256,1.153095889962552,1.4343753984166276
0.5,all_u,11,u,0.9140837873314899,0.769736525576927,3.1902322991144296,7.770515336376989,1.4344211346068332,3.4987698871341517,1.2815977411406954,2.203298462112586,1.100337072259836,1.5247712619666414
0.5,realized_switch_tau_5,11,b,0.8755671432764868,0.7882319920525684,1.9454990389541016,5.818766037317284,0.9950639941415995,2.4994952264583135,0.8215499666187479,1.6169472014722972,1.1817924923453733,1.489051266342037
0.5,all_u,12,u,0.908719017149798,0.7703750029552522,3.289362219178461,8.093082053645508,1.484950553849721,3.6380394298216,1.3029567162827294,2.2000671187334224,1.1192444310413003,1.587969105093202
0.5,realized_switch_tau_5,12,b,0.8755671351861307,0.7882319938954742,1.9695586686584536,5.890725969840815,1.007369786357029,2.530406151259039,0.8115141337873351,1.5768375002987902,1.2112032555207604,1.5458112820149106
0.5,all_u,13,u,0.9036586099436569,0.7708337615086868,3.3980222224540655,8.427962672901971,1.5385019460612275,3.784118147364905,1.3244255122790565,2.1977497217697235,1.1396775773843133,1.6536038372847541
0.5,realized_switch_tau_5,13,b,0.8755671479422709,0.7882319910185994,1.9939158412193208,5.963574982117641,1.0198277153459079,2.561699017231355,0.8016008610923236,1.537722554220962,1.241345953712027,1.6047348891560225
0.5,all_u,14,u,0.8988809931306464,0.7711278145249152,3.516554563549214,8.775864659538792,1.5952008527611052,3.9373529496150574,1.3460134820520258,2.1962662520635936,1.1616372017885632,1.721814868126917
0.5,realized_switch_tau_5,14,b,0.8755671467570525,0.7882319912972154,2.018574231801845,6.03732546277228,1.0324397399385006,2.5933790956262186,0.7918087103055276,1.499578019710686,1.2722387971941689,1.665904561391543
0.5,all_u,15,u,0.8943660182296436,0.7712700764226876,3.6453577140516757,9.13752942140828,1.65518352799471,4.098120609916426,1.367730461350361,2.1955490932736588,1.185129921826034,1.7927484638602234
0.5,realized_switch_tau_5,15,b,0.8755671440496439,0.788231991941351,2.0435375683838837,6.1119880598010665,1.045207738847345,2.625450978085876,0.7821361802747602,1.4623797057815653,1.303900457902418,1.729405913889402
0.5,all_u,16,u,0.890095368331447,0.7712715068047481,3.7848865970220564,9.513735488602089,1.7185953887908971,4.266830851383388,1.389585313647969,2.1955418843349217,1.210167920337569,1.8665584033040001
0.5,realized_switch_tau_5,16,b,0.8755671381886831,0.7882319933495187,2.0688096224684123,6.187574114568585,1.0581336451027743,2.6579195336181254,0.772581812155194,1.4261041525729408,1.336350069472773,1.795327826081059
0.5,all_u,17,u,0.8860531313051971,0.7711411510701116,3.9356527753915977,9.905302033216419,1.785588155659109,4.443930873414379,1.4115837899327468,2.196199006061293,1.2367685322459288,1.9434067196927587
0.5,realized_switch_tau_5,17,b,0.8755671260384486,0.7882319962926706,2.0943942125245925,6.264095165405043,1.0712194195805724,2.6907897131773013,0.7631441670655578,1.3907284922236016,1.3696072421780228,1.863762565183458
0.5,all_u,18,u,0.882226693662302,0.7708860326842949,4.098224122867488,10.313092857939937,1.8563145949160436,4.629912259818996,1.4337251541168665,2.1974859088027423,1.264953712555867,2.0234645681696275
0.5,realized_switch_tau_5,18,b,0.875567147949244,0.7882319910041446,2.1202952054827455,6.341561257855631,1.0844669421504225,2.7240658986037887,0.7538217560985087,1.3562301054934807,1.403692075246576,1.9348059151898613
0.5,all_u,19,u,0.878608248984721,0.7705108056233813,4.2732231516031876,10.73802106037157,1.930918762668389,4.8253220787352245,1.4559965130214003,2.1993807362602897,1.2947492687742372,2.1069132872581258
0.5,realized_switch_tau_5,19,b,0.8755671452970912,0.7882319916544389,2.146516506404614,6.41998627875107,1.0978783519653956,2.757753958633982,0.7446132648593818,1.3225876570077055,1.4386251569113713,2.0085573145514304
0.5,all_u,20,u,0.8751973876280079,0.7700170156348574,4.461322468695563,11.181054754466432,2.009518067677946,5.030781352472438,1.4783630837691712,2.20187802163555,1.3261836449466884,2.1939457771826927
0.5,realized_switch_tau_5,20,b,0.8755671397217009,0.7882319930287018,2.1730620818565916,6.4993812781505484,1.111455625882992,2.7918586751034504,0.7355172663806373,1.2897797579254888,1.4744276039357516,2.0851199873385142
0.5,all_u,21,u,0.8720056220130402,0.769401691551142,4.663234595840267,11.643224502740885,2.0921702643061217,5.247016828650978,1.500751144152541,2.2049959084474318,1.3592858816215598,2.284768412709613
0.5,realized_switch_tau_5,21,b,0.8755671282828389,0.7882319958612245,2.1999359426827754,6.579758363816869,1.1252008230515758,2.8263852435690984,0.7265323905489479,1.257785724478388,1.5111210527419527,2.1646010940611595
0.5,all_u,22,u,0.8690643283712367,0.7686547861542243,4.8796910372221385,12.125633646174872,2.1788128386978842,5.47491682165389,1.5230179368699526,2.2087894324501702,1.3940820718064815,2.3796038843198923
0.5,realized_switch_tau_5,22,b,0.8755671200945978,0.7882319979064399,2.2271421501548367,6.661129341815171,1.1391159978724805,2.8613387512289514,0.7176572658959749,1.22658530945999,1.5487276791629412,2.247111879681429
0.5,all_u,23,u,0.8664387190187828,0.7677546371358127,5.111401159439116,12.629473678621908,2.2691519124685615,5.715630728970683,1.5448983792404525,2.2133743019188885,1.4305890862820014,2.4786956788274126
0.5,realized_switch_tau_5,23,b,0.8755671358580195,0.788231993999405,2.2546848139776205,6.743505720010125,1.1532031982933475,2.8967241793040093,0.7088905220082761,1.1961587033948173,1.5872702082244319,2.33276783046478
0.5,all_u,24,u,0.8642525412134658,0.7666600251063416,5.358973454144359,13.15604855521584,2.3624588630574,5.970747917006212,1.5659105332873722,2.2189689205337033,1.468803348466316,2.5823154827520622
0.5,realized_switch_tau_5,24,b,0.8755671477708835,0.788231991031298,2.2825680893734064,6.826900968405988,1.167464620363242,2.932547264582443,0.700230877347318,1.1664868792297112,1.6267719238597524,2.421688837010355
0.5,all_u,25,u,0.8627317676103676,0.7652965379964539,5.6227668785406895,13.706815160796953,2.457200357150331,6.242619008360223,1.585188899374438,2.225967490675594,1.508680612868607,2.690775820136379
0.5,realized_switch_tau_5,25,b,0.8755671249648044,0.7882319967490986,2.3107961889648503,6.911328866038048,1.1819025012065623,2.968813867710958,0.6916770669625573,1.1375512857839343,1.6672566979421755,2.5139993572143293
