nu_b,t,s_W,A_t,B_t,zeta,m_t,mu_t,zeta_from_A_B,zeta_from_m_mu
0.1,71,0.4501099780043991,0.7200317056722362,1.0920580440124543,0.6279736622188579,0.719855776112876,0.6826730243928014,0.627973661659782,0.627973661659782
0.1,72,0.4501099780043991,0.6888401160443174,1.0668955529613515,0.6219445638122713,0.6886718077085446,0.6971433903038389,0.6219445630829659,0.6219445630829659
0.1,73,0.4501099780043991,0.658334904410976,1.0422616927243986,0.6160732126946102,0.6581740495920395,0.7126044577672029,0.6160732116865772,0.6160732116865772
0.1,74,0.4501099780043991,0.628536610530732,1.0181721301585456,0.6103644818389422,0.6283830365032812,0.7291372171994542,0.6103644803721864,0.6103644803721865
0.1,75,0.4501099780043991,0.5994644308854822,0.9946403497679204,0.604824083341166,0.5993179602337776,0.7468292076896414,0.6048240811175618,0.6048240811175618
0.1,76,0.4501099780043991,0.571136024320109,0.9716768204432755,0.5994592073503291,0.5709964753137224,0.7657745504632639,0.5994592038768336,0.5994592038768335
0.1,77,0.4501099780043991,0.5435672669097383,0.9492876971980767,0.5942795752491905,0.5434344539391472,0.7860735745455132,0.5942795697116615,0.5942795697116615
0.1,78,0.4501099780043991,0.5167719307747455,0.9274727702904542,0.5892991694280862,0.5166456648654048,0.8078317017126906,0.5892991604842914,0.5892991604842914
0.1,79,0.4501099780043991,0.4907612471197924,0.9062221943834149,0.5845390672956244,0.49064133655297065,0.8311570124473395,0.5845390527363775,0.5845390527363775
0.1,80,0.4501099780043991,0.4655432915605966,0.8855112386658127,0.5800320766989503,0.4654295426444001,0.8561554884023864,0.5800320528947839,0.580032052894784
0.5,1,0.4501099780043991,1.891432999096715,2.0018402973718485,0.8895927017248672,1.8909708542057762,0.4763839335829886,0.8895927017248662,0.8895927017248668
0.5,2,0.4501099780043991,1.9708828683876762,2.064365193465173,0.9065176749225025,1.9704013110453336,0.47145945947756984,0.9065176749225028,0.906517674922503
0.5,3,0.4501099780043991,2.045064144277895,2.122917255703539,0.9221468885743564,2.044564461790399,0.4672451189091085,0.922146888574356,0.9221468885743559
0.5,4,0.4501099780043991,2.1137340355716603,2.177296399840978,0.9364376356468844,2.1132175745678556,0.46364529224057854,0.9364376357306825,0.9364376357306825
0.5,5,0.4501099780043991,2.1767409965382933,2.2273725313874895,0.9493684651508028,2.1762091406750788,0.4605796476038341,0.9493684651508039,0.9493684651508036
0.5,6,0.4501099780043991,2.2340147887482744,2.2730784261496337,0.9609363625244887,2.2334689388443154,0.4579805315298525,0.9609363625986407,0.9609363625986405
0.5,7,0.4501099780043991,2.285556035095051,2.3144020718612484,0.9711539630996169,2.2849975918168184,0.45579082274194993,0.9711539632338027,0.9711539632338025
0.5,8,0.4501099780043991,2.3314257704471024,2.351378922277892,0.9800468481692116,2.3308561195480597,0.4539621755933245,0.9800468481692106,0.980046848169211
0.5,9,0.4501099780043991,2.3717353876646543,2.3840843696372147,0.9876510179701369,2.3711558876809957,0.45245357840474515,0.9876510180274396,0.9876510180274399
0.5,10,0.4501099780043991,2.4066372486649517,2.4126266651668162,0.994010583334947,2.4060492209053934,0.4512301701444522,0.9940105834981354,0.9940105834981353
0.5,11,0.4501099780043991,2.4363161322211764,2.437140453938012,0.999175678283164,2.4357208528463556,0.45026227163531435,0.9991756782831644,0.9991756782831647
0.5,12,0.4501099780043991,2.4609816212430005,2.4577810309651413,1.0032005902014085,2.4603803152049357,0.44952459467315725,1.0032005902778591,1.0032005902778591
0.5,13,0.4501099780043991,2.48086147697875,2.4747193773546172,1.0061420996241326,2.4802553135792214,0.44899559884523466,1.0061420996241326,1.0061420996241324
0.5,14,0.4501099780043991,2.4961960018854357,2.4881380519618213,1.008057949863219,2.4955860917117185,0.4486569816611075,1.0080579499236144,1.0080579499236144
0.5,15,0.4501099780043991,2.5072333938165037,2.498227993812206,1.0090053998233988,2.50662078681224,0.4484932875088704,1.0090054000042978,1.0090054000042978
0.5,16,0.4501099780043991,2.514226082982899,2.5051863756942767,1.009039707288624,2.513611767413978,0.4484916420574501,1.0090397072886224,1.0090397072886224
0.5,17,0.4501099780043991,2.5174280889453686,2.509215752636674,1.0082123362236017,2.5168129910115966,0.44864163238153776,1.0082123363086946,1.0082123363086943
0.5,18,0.4501099780043991,2.5170935075365115,2.5105249498921935,1.0065685576443173,2.516478491352973,0.448935379870499,1.006568557644318,1.006568557644318
0.5,19,0.4501099780043991,2.5134763629345183,2.509332551173231,1.0041438117028127,2.5128622305490835,0.44936790974856333,1.004143811761287,1.004143811761287
0.5,20,0.4501099780043991,2.5068323200439164,2.5058744789354295,1.000957840928427,2.5062198110363534,0.44993799448686367,1.000957841108487,1.0009578411084867
0.5,21,0.4501099780043991,2.497423154641228,2.500418359265744,0.9970047953754841,2.496812944630099,0.45064980301769486,0.9970047953754841,0.9970047953754846
0.5,22,0.4501099780043991,2.4855256213453374,2.4932893769486575,0.9922362443204632,2.4849183183281274,0.45151593569553344,0.9922362443966799,0.99223624439668
0.5,23,0.4501099780043991,2.471447626968811,2.4849158232238224,0.9865318037449876,2.4708437637103335,0.4525628600537498,0.9865318037449886,0.9865318037449886
0.5,24,0.4501099780043991,2.4555568240337724,2.4759086451897225,0.9796481787966287,2.4549568434681492,0.4538405199666926,0.9796481788440499,0.97964817884405
0.5,25,0.4501099780043991,2.4383306905292415,2.467199331736362,0.9711313586468711,2.437734918925603,0.4554390597032943,0.9711313587928796,0.9711313587928797
0.5,26,0.4501099780043991,2.4204439876541404,2.4602783316886163,0.9601656559655246,2.419852586413265,0.45751764197375006,0.9601656559655241,0.960165655965524
0.5,27,0.4501099780043991,2.402922403332404,2.4576044145971707,0.9453179886830338,2.4023352832427407,0.4603528884094487,0.9453179887352334,0.9453179887352336
0.5,28,0.4501099780043991,2.3874152810941554,2.463299868145184,0.9241154127812341,2.386831949950396,0.4644168353320265,0.9241154129489715,0.9241154129489713
0.5,29,0.4501099780043991,2.37668943749202,2.4842959343242166,0.8923935028442065,2.3761087270563825,0.4704890637857458,0.8923935031678036,0.8923935031678034
0.5,30,0.4501099780043991,2.3755548250689427,2.5319857418132936,0.8435690832556484,2.3749743918597965,0.47974983971248003,0.843569083255649,0.843569083255649
0.5,31,0.4501099780043991,2.3928227267511093,2.6205412594347353,0.7722814671905026,2.3922380743745153,0.4929457395472484,0.772281467316374,0.772281467316374
0.5,32,0.4501099780043991,2.44706788314764,2.700742665695245,0.7463252170616584,2.446469976734609,0.4967705351467301,0.7463252174523949,0.7463252174523948
0.5,33,0.4501099780043991,2.515748919267909,2.7857069070551512,0.730042012212756,2.515134231615489,0.4984100221838428,0.7300420122127576,0.7300420122127573
0.5,34,0.4501099780043991,2.594498943477214,2.8750161502940044,0.7194827929874823,2.5938650143706337,0.49877586553832864,0.7194827931832095,0.7194827931832094
0.5,35,0.4501099780043991,2.680640600775698,2.9676904205151042,0.7129501802605945,2.679985624173998,0.4983089003111354,0.7129501802605938,0.7129501802605941
0.5,36,0.4501099780043991,2.772090465338422,3.062658712315481,0.7094317528714945,2.7714131442562646,0.49729013640505726,0.7094317530229408,0.7094317530229409
0.5,37,0.4501099780043991,2.8670629354609822,3.158843614562674,0.7082193208983063,2.866362409199541,0.49591762088108216,0.7082193208983081,0.7082193208983081
0.5,38,0.4501099780043991,2.9639637002771986,3.2551928667275387,0.7087708335496592,2.96323949768495,0.494336279997552,0.7087708335496599,0.7087708335496596
0.5,39,0.4501099780043991,3.0613499392446952,3.35070021114131,0.7106497279452719,3.060601941702899,0.49265311978945264,0.7106497281033852,0.7106497281033854
0.5,40,0.4501099780043991,3.157917354736805,3.4444232509968886,0.713494103739916,3.157145762313391,0.4909467536946562,0.7134941037399161,0.7134941037399165
0.5,41,0.4501099780043991,3.252498340957621,3.5354984995183587,0.7169998413080141,3.2517036390084755,0.4892740856508032,0.7169998414392618,0.7169998414392625
0.5,42,0.4501099780043991,3.3440635175474966,3.623153299410841,0.7209102178611231,3.3432464429430317,0.4876753815670359,0.7209102181366558,0.7209102181366558
0.5,43,0.4501099780043991,3.4317230352905583,3.706714616055437,0.725008418800005,3.4308845423232506,0.4861782891986895,0.7250084192351207,0.725008419235121
0.5,44,0.4501099780043991,3.5147262261866845,3.7856175004589416,0.7291087243873254,3.513867452564116,0.48480140420875495,0.7291087257277433,0.7291087257277425
1.0,1,0.4501099780043991,1.8911923455757567,2.0056361955531044,0.8855561500226524,1.8907302594851008,0.47734798947190016,0.8855561500226523,0.8855561500226524
1.0,2,0.4501099780043991,1.9723644503873603,2.071654733472285,0.9007097170395904,1.9718825310414196,0.4727688467173435,0.9007097169150753,0.9007097169150756
1.0,3,0.4501099780043991,2.049228871471446,2.1347694829793546,0.9144593888222858,2.0487281713917884,0.4688988420987552,0.9144593884920913,0.9144593884920911
1.0,4,0.4501099780043991,2.12165472212903,2.194990821931298,0.9266639008728265,2.121136325817537,0.4656682636786125,0.9266639001977319,0.9266639001977319
