nu_b,t,Y_US,delta_NFA,VA,CA,VA_asset,VA_liability,CA_asset,CA_liability,CA_bond,adding_up_residual,n_W,n_US_star,bond,q_W,q_US,NFA
0.1,70,164.9015001224648,3.17909407034961,0.237352749639625,2.9417413207099887,0.6432411227430163,-0.40588837310339126,3.3343561572653346,-0.3743147387653486,-0.018300097789997305,-3.9968028886505635e-15,12.760496808530434,2.7642450200108706,-0.6038476453643208,3.154168609001795,4.418237266911383,27.43182046108373
0.1,71,183.61252132072272,3.6378507124557373,0.30193933952245494,3.335911372933288,0.7479699561475922,-0.44603061662513727,3.7575417364567567,-0.4024681952337354,-0.019162168289733494,-5.773159728050814e-15,13.930055970399446,2.8521279548719045,-0.6230098136540543,3.2127846619165665,4.579594387353399,31.06967117353947
0.1,72,204.87781533535943,4.170655917736738,0.3807607764394734,3.7898951412972566,0.871590675216188,-0.4908298987767146,4.243295462315024,-0.43332578397226135,-0.020074537045506546,7.993605777301127e-15,15.225578777097542,2.9433220491058587,-0.6430843506995608,3.2753537339338124,4.751686911441702,35.24032709127621
0.1,73,229.10153594162517,4.7907418784145435,0.47689498116189155,4.313846897252661,1.0177979181915564,-0.5409029370296649,4.802108247565663,-0.4672193328391308,-0.021042017473871133,-9.769962616701378e-15,16.66238863424845,3.0379878648964196,-0.664126368173432,3.342201630693083,4.935459848281551,40.03106896969075
0.1,74,256.75996173849,5.513898510810051,0.5940842015070499,4.919814309302987,1.1910480644575279,-0.596963862950478,5.446420485630665,-0.5045357890457514,-0.022070387281926784,1.4210854715202004e-14,18.257856258220574,3.1363003670034746,-0.6861967554553587,3.413682862502153,5.1319596005841595,45.5449674805008
0.1,75,288.4157415043864,6.358980947061525,0.736867043612997,5.622113903448537,1.396713733524078,-0.659846689911081,6.191012756286258,-0.5457320912087932,-0.02316676162892739,-8.881784197001252e-15,20.03169281415345,3.238452438127135,-0.7093635170842861,3.490182190450099,5.342349745881856,51.90394842756233
0.1,76,324.7352288216949,7.348501337353092,0.9107227877416958,6.437778549611398,1.641260088750057,-0.7305373010083612,7.05347593436884,-0.5913572182237806,-0.024340166533661556,-1.7763568394002505e-15,22.006286359719226,3.344660132743031,-0.7337036836179477,3.572115360251426,5.567931969170844,59.25244976491542
0.1,77,366.50965188039623,8.509298230787216,1.122213779689426,7.387084451097783,1.9324349695497003,-0.8102211898602742,8.054773212615036,-0.6420863282636395,-0.02560243325361311,7.105427357601002e-15,24.20708722936828,3.455170798777504,-0.7593061168715608,3.659928221447619,5.810175174071843,67.76174799570263
0.1,78,414.68107797730073,9.873251230128531,1.3790925713525735,8.494158658775971,2.2794505342472324,-0.900357962894659,9.219903978072523,-0.6987757091303806,-0.02696961016617172,-1.4210854715202004e-14,26.663047812123803,3.570275982686473,-0.7862757270377325,3.7540928151737814,6.070757939824905,77.63499922583117
0.1,79,470.37442808156936,11.477954886450618,1.6903022472274316,9.787652639223175,2.6931044770865666,-1.002802229859135,10.578670987337189,-0.7625541348425032,-0.028464213271510497,1.0658141036401503e-14,29.407121024143493,3.690332369709619,-0.814739940309243,3.855097940171607,6.351633209614153,89.11295411228178
0.1,80,534.9372208036689,13.367156622298552,2.0657227961665656,11.301433826131996,3.1857289397641457,-1.1200061435975799,12.166883262532227,-0.8348591897174077,-0.030590246682823174,-8.881784197001252e-15,32.476907494488,3.8157783216081067,-0.8453301869920662,3.9634298281231217,6.655130572830169,102.48011073458034
0.5,1,2.724618796465638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3262789642219217,0.4194760136929503,-0.1718985392197065,2.3175566953967315,1.074326436183813,0.13361728802457912
0.5,2,2.732549457553141,-0.020076005599420244,-0.015392645963358337,-0.004683359636061887,-0.007020348204690522,-0.008372297758667815,0.011072488092174898,-0.013039337779893348,-0.0027165099483434374,-1.9081958235744878e-17,0.33110139181910614,0.4313918612684089,-0.17461504916804993,2.2960402969325155,1.0942853789728426,0.11354128242515887
0.5,3,2.750020117490619,-0.018313179215096898,-0.014822851779587344,-0.0034903274355096246,-0.0060995693998726775,-0.008723282379714667,0.012497325382388624,-0.013249747553745509,-0.00273790526415274,7.112366251504909e-17,0.33658840679583196,0.4432803033982555,-0.17735295443220267,2.277618237857617,1.1145066282891043,0.09522810321006198
0.5,4,2.776719067413855,-0.016671985547160484,-0.014355776856108492,-0.002316208691052042,-0.005298629711375189,-0.009057147144733303,0.013972713320293415,-0.013519425339251039,-0.002769496672094418,5.0306980803327406e-17,0.34276589524372736,0.4551923344281866,-0.1801224511042971,2.261876074418847,1.1349387275168386,0.07855611766290149
0.5,5,2.8124143925279914,-0.01513425283469294,-0.013975044839851243,-0.0011592079948415848,-0.004596783743881966,-0.009378261095969278,0.015497226967299526,-0.013845963785359374,-0.002810471176781737,-1.1275702593849246e-16,0.3496582531214196,0.467174563375878,-0.18293292228107882,2.2484652193493444,1.1555415812704068,0.06342186482820855
0.5,6,2.8569493585740307,-0.013682676059649568,-0.013667641816836277,-1.5034242813254453e-5,-0.003976815784103526,-0.00969082603273275,0.017071790718553876,-0.014226982334441534,-0.002859842626925596,-3.642919299551295e-17,0.3572894959904263,0.47926940569557436,-0.18579276490800442,2.2370917832911297,1.1762850608869024,0.049739188768558984
0.5,7,2.9102381005732814,-0.012300893435523208,-0.013423233952276011,0.0011223405167526592,-0.003424406809650518,-0.009998827142625493,0.018699197782479998,-0.01466023003535564,-0.002916627230371699,1.43982048506075e-16,0.3656841697656065,0.49151537164584064,-0.18870939213837612,2.227507379472714,1.1971477052030235,0.037438295333035776
0.5,8,2.9722617983479687,-0.010973415156211086,-0.01323357902881209,0.002260163872600994,-0.0029275923660388023,-0.010305986662773289,0.020383714404992103,-0.015143666769618303,-0.002979883762772806,1.0408340855860843e-17,0.3748680849942696,0.5039474168347788,-0.19168927590114893,2.2195015848332704,1.2181154861866856,0.02646488017682469
