T_report,n_buffer,terminal_rule,solved_t,is_reported_period,periods_to_extended_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_Q_US,Q_US_over_beta_e_US,abs_US_funding_gap,omega_times_one_minus_theta,omega_star_S_star_over_beta_e_US,omega_US,theta_US,omega_star,S_star_over_beta_e_US,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
50,0,local_loglinear,48,true,2,0.013422965669458123,0.009286235014822834,0.09389010072950243,0.926500509124497,0.073499490875503,0.9206693005248896,0.005831214992955449,0.9196582697116752,-0.0010993548870402473,0.4706239424265132,0.012390391706146524,0.24588357643824788,0.236071710361766,0.040722541059842854,0.1987869198874475,7.601415890556223,0.49667856142111144,7.98322535189118e-9
50,0,local_loglinear,49,true,1,0.011874346565463951,0.007990986088008436,0.08531370079491633,0.9323879446839001,0.06761205531609993,0.9270809546114201,0.005306997041172941,0.9262344658725886,-0.0009139033042070647,0.4815996729326905,0.011019519612328848,0.23678507518519282,0.22809748139992087,0.037379786353366695,0.19158937568571155,8.21851547286276,0.48415093896273836,8.556661954577698e-9
50,0,local_loglinear,50,true,0,0.010495613875300127,0.006861729845943636,0.07739734620955141,0.9379527632667939,0.06204723673320611,0.9331346624951662,0.004818108330148907,0.9324260614247515,-0.0007599541665877105,0.4922526592016268,0.009787876693166645,0.22797407389307006,0.22030160362321666,0.03423437844158306,0.18460119417626122,8.88921931201414,0.4715275594104889,5.182306690443079e-7
51,0,local_loglinear,44,true,7,0.021690944840500343,0.016565729246317475,0.135032408350436,0.9002376012715254,0.09976239872847459,0.8919667282611644,0.00827087676726328,0.8899229399810783,-0.002296590174571221,0.4240981611874119,0.019502269814389326,0.2851471983171337,0.2696647800942039,0.055825899835762804,0.23012086347723024,5.590888702620817,0.5441627277574965,5.077897040959177e-9
51,0,local_loglinear,45,true,6,0.019264318151305627,0.014383968706401521,0.12356439373912509,0.907255657308627,0.092744342691373,0.8996423549030129,0.007613306589085105,0.8979266832612892,-0.0019107034835986797,0.43630621679326115,0.017449457046569167,0.2748858623927379,0.2610201702074646,0.05175828084153489,0.22201431886696185,6.032746150970503,0.5323852482404844,5.532843395274618e-9
51,0,local_loglinear,46,true,5,0.01708954365462539,0.012460885413934752,0.11284277719907934,0.9140325825895942,0.08596741741040581,0.9070458152498001,0.0069867719714091095,0.9056069281501317,-0.001588864942329421,0.4482808844504789,0.015585701317542864,0.2649133936860053,0.252535208303427,0.047852278470739584,0.2141617887277466,6.513304010387567,0.5203151005648032,6.001013522004073e-9
51,0,local_loglinear,47,true,4,0.015143868636478415,0.01077066589253055,0.10285258253406021,0.9205393523089161,0.07946064769108385,0.9141462520095232,0.00639310539875226,0.9129404604937492,-0.0013207778250091996,0.4599874817302873,0.013898433441501446,0.2552321458354949,0.2442156238604603,0.044121967440603926,0.2065552893931498,7.035828604512767,0.507992597412888,6.48059181959555e-9
51,0,local_loglinear,48,true,3,0.013406060963754086,0.009289244575389653,0.09357404680012912,0.9267527433096546,0.07324725669034537,0.9209191983531023,0.005833550541054912,0.9199094086354186,-0.0010977056090572357,0.47139603602201985,0.012375052175412045,0.24584252727611416,0.23606644215129324,0.040577897994238166,0.19918557572247692,7.60387840058199,0.4954619154749171,6.969722138445341e-9
51,0,local_loglinear,49,true,2,0.011856396671494913,0.007994328528761082,0.08498337326252109,0.9326551891060922,0.06734481089390776,0.9273463953668046,0.005308799823961941,0.9265011860259045,-0.0009122593188741436,0.48248112359849654,0.011003124400737661,0.23674327240955767,0.22809198902614058,0.03722730700268162,0.1920423260883102,8.221334292147205,0.48277024925637946,7.466534122507423e-9
51,0,local_loglinear,50,true,1,0.010476629124052571,0.006865392548183102,0.07705346667753334,0.938234518266062,0.06176548173393803,0.9334154820862156,0.004819042777228163,0.9327082948156227,-0.0007582084071983604,0.49322157980540376,0.009770543249809699,0.22793170299943763,0.2202959036570668,0.03407437658202905,0.1851143318003804,8.892432785481663,0.4699669097698668,7.969160286101078e-9
51,0,local_loglinear,51,true,0,0.009249943283279664,0.005883648342103455,0.0697546379782795,0.9434835944841061,0.056516405515893875,0.9391193189320736,0.0043642826720784005,0.938527670991755,-0.0006304001028476378,0.5036352252509807,0.0086655627987568,0.2194039741022969,0.21268115796444603,0.031120527925047714,0.1783896844929205,9.621802267193516,0.4571024109412885,5.179269896608014e-7
52,0,local_loglinear,45,true,7,0.01925277566822994,0.01438562480748294,0.12333845883986902,0.9074278064374851,0.09257219356251489,0.899811467715669,0.007616342418238579,0.8980966801070418,-0.001909357474100495,0.436736836754028,0.017439203147702732,0.2748542828867574,0.2610163869173613,0.05165788634276325,0.22223844271536636,6.0340860639576,0.5317049159527866,4.886713926898006e-9
52,0,local_loglinear,46,true,6,0.017077139504792938,0.01246283141444635,0.11260356054302724,0.9142179019266324,0.08578209807336756,0.9072284030597061,0.006989502962582694,0.9057904623572222,-0.0015874981712016788,0.44877569653900057,0.015574602226649935,0.26488073641672233,0.25253120490787784,0.04774484855196559,0.21441892184356798,6.5148582598334155,0.5195331000429511,5.304772271061115e-9
52,0,local_loglinear,47,true,5,0.015130593422418919,0.01077290183558333,0.10260046173630386,0.9207377441392798,0.07926225586072022,0.9143422685707484,0.006395480080851919,0.9131374752391458,-0.0013193997226837088,0.46055476662451195,0.013886470283926347,0.255198556351141,0.24421140945647113,0.044007612167221266,0.2068493549363141,7.03762315254383,0.5070977123222553,5.732794134100164e-9
52,0,local_loglinear,48,true,4,0.013391911609053718,0.009291766683852233,0.09330948842875403,0.9269639932689616,0.07303600673103838,0.9211284756816827,0.005835522531723793,0.9201197256709507,-0.0010963247309977839,0.4720451255964825,0.012362213303971626,0.24580815748211143,0.2360620276558167,0.04045678451714285,0.19952084585264332,7.605941159137428,0.49444223936649195,6.169121271123859e-9
52,0,local_loglinear,49,true,3,0.011841376495287615,0.00799712945275984,0.08470692311043222,0.9328789721103715,0.06712102788962848,0.9275686489573661,0.005310328542913759,0.9267245110865793,-0.0009108832891417351,0.4832225482859898,0.01098940552701796,0.23670827767156524,0.22808738697451675,0.037099655333084014,0.19242344333791175,8.223695175264131,0.4816131820632877,6.612085840297646e-9
52,0,local_loglinear,50,true,2,0.010460747736125625,0.006868461695767915,0.076765738920213,0.9384704070801496,0.061529592919850384,0.9336503190167181,0.004820093909915441,0.93294422587311,-0.000756843897015706,0.4940672322184355,0.009755947360185173,0.22789623936079645,0.22029112797832606,0.03394045430341963,0.18554633126659648,8.895123772562599,0.46865914925540836,7.060027226633551e-9
52,0,local_loglinear,51,true,1,0.009233216310266868,0.005886972271430865,0.0694563036188773,0.9437310704498776,0.056268929550122415,0.9393665093273019,0.0043645674344605185,0.9387760506513043,-0.0006289664884272455,0.5045634073942012,0.00865018622139319,0.21936819569957897,0.21267622374146838,0.03098064409489565,0.17887801665091074,9.62485748142203,0.45562993745991265,7.511306229744719e-9
52,0,local_loglinear,52,true,0,0.008143347165037557,0.00503555477269687,0.06274704289164651,0.9486583444402326,0.05134165555976744,0.9447150081356228,0.003943343088400987,0.9442212546246802,-0.0005229214111886932,0.5147335875456674,0.007660939918849052,0.21111935713332844,0.2052450047071922,0.028219236726339858,0.17240650937865576,10.417958360146784,0.44257563780643755,5.291998165578317e-7
53,0,local_loglinear,46,true,7,0.01706679624960497,0.012464455238918419,0.1124040930966193,0.91437248856553,0.08562751143447,0.9073807036047681,0.0069917886316365665,0.90594355266791,-0.0015863581485024369,0.4491893686173089,0.015565347535180171,0.26485350076208036,0.25252786432036023,0.04765524943706856,0.21463396476695776,6.51615491338116,0.51888048462171,4.7384706015692024e-9
53,0,local_loglinear,47,true,6,0.01511952578997205,0.010774767524778016,0.10239026399265563,0.9209032165596017,0.07909678344039828,0.9145057506255161,0.006397469973442835,0.913301790111734,-0.0013182504696883828,0.4610291809566562,0.013876496841626812,0.2551705466112952,0.24420789295962453,0.04391224898864832,0.20709536130082132,7.0391201334013935,0.5063509292546657,5.11535409715598e-9
53,0,local_loglinear,48,true,5,0.013380117560848438,0.009293871065991737,0.09308895548430847,0.9271401677036293,0.07285983229637072,0.9213029938350823,0.005837178289946008,0.9202951110913108,-0.0010951734195092575,0.47258816100753936,0.012351511890398131,0.2457795008434267,0.23605834438732792,0.04035579949487311,0.19980142281981605,7.607661688877663,0.49359136958309596,5.499594881463647e-9
53,0,local_loglinear,49,true,4,0.011828859396938562,0.007999466377910333,0.08447651657096639,0.9330655718809948,0.06693442811900518,0.9277539599924424,0.005311616703672893,0.926910715655563,-0.0009097363129338188,0.48384311387973505,0.010977973130755684,0.2366791041985425,0.2280835474230506,0.03699323503882801,0.19274251867698777,8.225664127695797,0.4806477321866934,5.889712297059803e-9
