T_report,n_buffer,t,terminal_contaminated,bubble_share_LL,bubble_share_HKT_scalar,bubble_share_difference,abs_bubble_share_difference,fundamental_share_LL,fundamental_share_HKT_scalar,q_US_LL,q_US_HKT_scalar,phi_US_LL,phi_US_HKT_scalar
105,0,47,false,0.31375302583469067,0.3137530490256342,2.319094355440754e-8,2.319094355440754e-8,0.6862469741653093,0.6862469509743658,7.043884056408393,7.043884647015563,0.25508147029889067,0.2550814592480129
105,0,48,false,0.3310449924372267,0.33104501626299665,2.3825769968066624e-8,2.3825769968066624e-8,0.6689550075627733,0.6689549837370034,7.613135884618598,7.613136566826332,0.24568839022188366,0.2456883788605388
105,0,49,false,0.34844807824645696,0.3484481026054153,2.435895835040114e-8,2.435895835040114e-8,0.651551921753543,0.6515518973945847,8.231927268167507,8.231928052250975,0.2365863759682636,0.23658636435347463
105,0,50,false,0.3659289749866769,0.36592899977705434,2.4790377417538423e-8,2.4790377417538423e-8,0.6340710250133231,0.6340710002229456,8.904503764780229,8.904504661683815,0.22777275217851387,0.22777274036779893
105,0,51,false,0.3834558082693247,0.3834558333905107,2.512118602027158e-8,2.512118602027158e-8,0.6165441917306753,0.6165441666094893,9.635503123052846,9.63550414440746,0.21924366511358903,0.21924365316395342
105,0,52,false,0.40099814210691687,0.40099816731632804,2.5209411169679896e-8,2.5209411169679896e-8,0.5990018578930831,0.599001832683672,10.429994913876671,10.4299960693417,0.2109943101597013,0.21099429815487605
105,0,53,false,0.4185269730742956,0.418526998290504,2.521620839912586e-8,2.521620839912586e-8,0.5814730269257045,0.581473001709496,11.293523689441054,11.293524991765526,0.20301913725852822,0.20301912524864255
105,0,54,false,0.4360147186995264,0.43601474384456457,2.514503816275493e-8,2.514503816275493e-8,0.5639852813004735,0.5639852561554355,12.232155954571212,12.232157417273001,0.195312032579156,0.1953120206115649
105,0,55,false,0.4534352021405771,0.4534352271404573,2.4999880221532322e-8,2.4999880221532322e-8,0.5465647978594229,0.5465647728595426,13.25253125563781,13.252532893049928,0.18786647615126503,0.1878664642700888
105,0,56,false,0.47076363566657825,0.4707636604517068,2.478512856063375e-8,2.478512856063375e-8,0.5292363643334217,0.5292363395482932,14.361917757724441,14.36191958505011,0.18067567589246486,0.18067566413824945
105,0,57,false,0.4879766037398721,0.48797662824535704,2.4505484919057352e-8,2.4505484919057352e-8,0.5120233962601278,0.512023371754643,15.568272731161185,15.568274764538204,0.17373267923544763,0.17373266764493944
105,0,58,false,0.5050520466914931,0.5050520708573618,2.416586875053639e-8,2.416586875053639e-8,0.49494795330850694,0.4949479291426382,16.88030841919396,16.880310675768825,0.16703046411725936,0.16703045272328293
105,0,59,false,0.5219692450082097,0.5219692687795391,2.377132934938686e-8,2.377132934938686e-8,0.4780307549917902,0.47803073122046097,18.307563821033533,18.30756631904527,0.16056201139289963,0.16056200022432898
105,0,60,false,0.5387088041352833,0.5387088274622523,2.3326969023074184e-8,2.3326969023074184e-8,0.4612911958647167,0.4612911725377476,19.860482983101384,19.860485741975925,0.15432036092905335,0.15432035001086014
105,0,61,false,0.555252639449617,0.5552526622874941,2.2837877144965546e-8,2.2837877144965546e-8,0.444747360550383,0.44474733771250585,21.550500454444506,21.550503494899086,0.14829865367560138,0.14829864302897017
105,0,62,false,0.5715839609336847,0.5715839832427552,2.230907047984232e-8,2.230907047984232e-8,0.42841603906631526,0.4284160167572448,23.390134628216344,23.390137972374976,0.14249016195225608,0.14249015159474968
105,0,63,false,0.5876872570291027,0.5876872787745492,2.174544644351073e-8,2.174544644351073e-8,0.41231274297089726,0.4123127212254509,25.3930897608209,25.39309343234078,0.1368883100504517,0.13688829999621635
105,0,64,false,0.603548277153198,0.6035482983049384,2.115174035921541e-8,2.115174035921541e-8,0.396451722846802,0.3964517016950616,27.57436753465078,27.57437155886015,0.13148668706195155,0.13148667732194996
105,0,65,false,0.6191540123916115,0.6191540329241062,2.0532494704461612e-8,2.0532494704461612e-8,0.38084598760838845,0.3808459670758938,29.950389110519787,29.950393514568052,0.12627905362687522,0.126279044209137
105,0,66,false,0.6344926740481829,0.6344926939402157,1.989203279872953e-8,1.989203279872953e-8,0.36550732595181706,0.3655073060597843,32.53912870108667,32.53913351410711,0.12125934406690667,0.12125933497678826
105,0,67,false,0.6495536695846686,0.6495536888191082,1.923443959661597e-8,1.923443959661597e-8,0.3504463304153313,0.35044631118089176,35.36025979419255,35.36026504747863,0.11642166513347268,0.11642165637391932
105,0,68,false,0.6643275759008023,0.6643275944643515,1.8563549253336475e-8,1.8563549253336475e-8,0.33567242409919773,0.3356724055356484,38.43531525364514,38.43532098084123,0.11176029239517932,0.11176028396698351
105,0,69,false,0.6788061097628117,0.6788061276457488,1.7882937020097245e-8,1.7882937020097245e-8,0.32119389023718825,0.3211938723542513,41.78786264115873,41.78786887846611,0.10726966508251624,0.10726965698456838
105,0,70,false,0.6929820953798961,0.6929821125758102,1.7195914137069224e-8,1.7195914137069224e-8,0.307017904620104,0.3070178874241898,45.44369622580559,45.443703012205724,0.10294438003528356,0.10294437226481047
105,0,71,false,0.7068494291982724,0.706849445703802,1.650552960974494e-8,1.650552960974494e-8,0.2931505708017275,0.29315055429619796,49.43104728366984,49.43105466116511,0.09877918524522977,0.09877917779802059
105,0,72,false,0.720403042058173,0.7204030578727438,1.581457087507232e-8,1.581457087507232e-8,0.2795969579418271,0.27959694212725617,53.780814439940364,53.7808224538148,0.09476897335751427,0.09476896622813004
105,0,73,false,0.7336388589229494,0.733638874048521,1.512557157301586e-8,1.512557157301586e-8,0.26636114107705056,0.26636112595147904,58.52681596996136,58.52682466906233,0.09090877538803958,0.09090876857000733
105,0,74,false,0.7465537564406942,0.746553770881512,1.4440817763805569e-8,1.4440817763805569e-8,0.25344624355930573,0.253446229118488,63.70606615616628,63.70607559320951,0.08719375482754708,0.0871937483135371
105,0,75,false,0.7591455186375601,0.759145532399918,1.376235791994418e-8,1.376235791994418e-8,0.24085448136243987,0.24085446760008197,69.35907799587869,69.35908822777807,0.08361920223532543,0.08361919601731214
105,0,76,false,0.7714127910688569,0.7714128041608708,1.3092013917415102e-8,1.3092013917415102e-8,0.22858720893114318,0.22858719583912926,75.53019477230023,75.53020586052492,0.08018053037301212,0.080180524442419
105,0,77,false,0.7833550337699213,0.7833550462013131,1.243139180484576e-8,1.243139180484576e-8,0.21664496623007864,0.21664495379868698,82.2679532394302,82.26796525039168,0.07687326988984647,0.0768732642376753
105,0,78,false,0.794972473354829,0.7949724851367229,1.1781893904938556e-8,1.1781893904938556e-8,0.20502752664517096,0.20502751486327708,89.62548143312647,89.62549443859713,0.07369306554257948,0.07369306015952534
105,0,79,false,0.8062660546085127,0.8062660657532457,1.114473291430329e-8,1.114473291430329e-8,0.19373394539148714,0.19373393424675428,97.66093440717707,97.66094848474454,0.07063567291398719,0.0706356677905395
105,0,80,false,0.8172373919080973,0.8172374024290406,1.0520943338754307e-8,1.0520943338754307e-8,0.18276260809190276,0.18276259757095945,106.43797150747137,106.43798674102993,0.06769695558173554,0.06769695070826652
105,0,81,false,0.8278887207935306,0.8278887307049255,9.911394927009098e-9,9.911394927009098e-9,0.1721112792064694,0.17211126929507442,116.02627914172169,116.02629562200524,0.06487288268262832,0.06487287804946978
105,0,82,false,0.8382228499871843,0.8382228593039898,9.316805438253084e-9,9.316805438253084e-9,0.16177715001281567,0.16177714069601012,126.50214337953979,126.50216120469989,0.062159526814700286,0.062159522412209504
105,0,83,false,0.8482431141381359,0.8482431228758887,8.737752743570582e-9,8.737752743570582e-9,0.1517568858618641,0.15175687712411132,137.9490771311321,137.94909640736336,0.05955306222009343,0.0595530580387096
