T_report,reference_T_report,evaluation_t,periods_to_terminal,terminal_contaminated,terminal_anchor_weight,terminal_anchor_fraction_of_fundamental_value,terminal_anchor_scale_bubble_share_exposure,bubble_share_derivative_wrt_terminal_value,fundamental_share,bubble_share,reference_bubble_share,bubble_share_difference_from_longest,abs_bubble_share_difference_from_longest,max_u_residual
65,105,40,25,false,0.04457943765657459,0.0001947566289131487,0.0001322117200814254,-0.010724195051693294,0.6788560719049257,0.3211439280950743,0.19889827180199016,0.12224565629308415,0.12224565629308415,6.282710084182353e-7
65,105,60,5,false,0.5769582553566763,0.002748584672863836,0.00035805895534550043,-0.029043522577013637,0.13027030197779124,0.8697296980222088,0.5387088041352833,0.33102089388692546,0.33102089388692546,6.282710084182353e-7
70,105,1,69,false,2.324584336432455e-6,1.9690538522136022e-8,1.9688178790260436e-8,-2.6368895014974057e-6,0.9998801590991057,0.00011984090089435244,8.304807617164723e-5,3.6792824722705204e-5,3.6792824722705204e-5,6.812080500471222e-7
70,105,20,50,false,0.0006177368559321055,3.56511511626914e-6,3.489393018791579e-6,-0.00046734357280428485,0.9787602657956237,0.02123973420437625,0.014718854294665167,0.0065208799097110845,0.0065208799097110845,6.812080500471222e-7
70,105,40,30,false,0.026250966393239226,6.613070310492062e-5,4.7150881361319296e-5,-0.006315041394764168,0.7129953130320026,0.2870046869679974,0.19889827180199016,0.08810641516600726,0.08810641516600726,6.812080500471222e-7
70,105,60,10,false,0.33974607635917253,0.0005733307429064514,0.00012769539318038565,-0.017102579433782572,0.2227255293045071,0.7772744706954929,0.5387088041352833,0.2385656665602096,0.2385656665602096,6.812080500471222e-7
75,105,1,74,false,1.3903590798435992e-6,7.041676820043558e-9,7.040906432136008e-9,-1.5771521860987199e-6,0.9998905959578609,0.0001094040421391524,8.304807617164723e-5,2.6355965967505163e-5,2.6355965967505163e-5,7.443211463711547e-7
75,105,20,55,false,0.0003694750323854745,1.2725555927552247e-6,1.2478807543234018e-6,-0.00027952336515777403,0.980610011403589,0.01938998859641101,0.014718854294665167,0.004671134301745844,0.004671134301745844,7.443211463711547e-7
75,105,40,35,false,0.015700839112496624,2.2849027291796113e-5,1.6862305138573018e-5,-0.0037771303550608523,0.7379878768242966,0.26201212317570344,0.19889827180199016,0.06311385137371328,0.06311385137371328,7.443211463711547e-7
75,105,60,15,false,0.20320070832928797,0.00015726022503077474,4.566789623893302e-5,-0.010229538353048722,0.2903969915469479,0.7096030084530521,0.5387088041352833,0.1708942043177688,0.1708942043177688,7.443211463711547e-7
80,105,1,79,false,8.416327228104332e-7,2.521652537931598e-9,2.521396267443808e-9,-9.54705090204112e-7,0.9998983720064778,0.0001016279935222147,8.304807617164723e-5,1.857991735056747e-5,1.857991735056747e-5,8.035640255830594e-7
80,105,20,60,false,0.00022365604451796877,4.550713655928163e-7,4.468747298479238e-7,-0.00016920528707767206,0.9819882410438748,0.018011758956125216,0.014718854294665167,0.003292904661460049,0.003292904661460049,8.035640255830594e-7
80,105,40,40,false,0.009504171144956131,7.981087456800945e-6,6.038564702450135e-6,-0.002286450778639658,0.7566092634788103,0.24339073652118964,0.19889827180199016,0.04449246471919949,0.04449246471919949,8.035640255830594e-7
80,105,60,20,false,0.12300125662843749,4.798633258508931e-5,1.635448018360611e-5,-0.006192483775967596,0.3408153801836464,0.6591846198163537,0.5387088041352833,0.12047581568107035,0.12047581568107035,8.035640255830594e-7
85,105,1,84,false,5.142657876455195e-7,9.035657186372508e-10,9.034791991484036e-10,-5.833567931736667e-7,0.999904246600925,9.575339907492273e-5,8.304807617164723e-5,1.2705322903275497e-5,1.2705322903275497e-5,8.696537484212194e-7
85,105,20,65,false,0.00013666131247313412,1.6289078481913386e-7,1.601264191174947e-7,-0.00010339013277429175,0.9830293303288544,0.01697066967114561,0.014718854294665167,0.0022518153764804413,0.0022518153764804413,8.696537484212194e-7
85,105,40,45,false,0.0058073211142434565,2.807647398271106e-6,2.163785483377395e-6,-0.0013971090445563578,0.770675649908821,0.22932435009117902,0.19889827180199016,0.030426078289188863,0.030426078289188863,8.696537484212194e-7
85,105,60,25,false,0.07515630904433962,1.5466713062498456e-5,5.860362109113217e-6,-0.003783907864211057,0.37890158596932993,0.6210984140306701,0.5387088041352833,0.0823896098953868,0.0823896098953868,8.696537484212194e-7
90,105,1,89,false,3.1656573500909784e-7,3.2385231532902934e-10,3.2382275782695875e-10,-3.590959705355859e-7,0.9999087315400523,9.12684599476755e-5,8.304807617164723e-5,8.220383776028263e-6,8.220383776028263e-6,9.44772547745119e-7
90,105,20,70,false,8.412436627024591e-5,5.833574757873779e-8,5.739212497824608e-8,-6.364370731218311e-5,0.9838242820284754,0.01617571797152463,0.014718854294665167,0.0014568636768594635,0.0014568636768594635,9.44772547745119e-7
90,105,40,50,false,0.003574782355973591,9.924834642797366e-7,7.755430619797869e-7,-0.0008600210510299918,0.78141660782491,0.21858339217509,0.19889827180199016,0.019685120373099857,0.019685120373099857,9.44772547745119e-7
90,105,60,30,false,0.046263132697660636,5.148458734032362e-6,2.1004940338915406e-6,-0.002329295657804122,0.4079850188964023,0.5920149811035976,0.5387088041352833,0.0533061769683143,0.0533061769683143,9.44772547745119e-7
95,105,1,94,false,1.960170525084613e-7,1.160880554870334e-10,1.1607786129618832e-10,-2.223517139703747e-7,0.9999121857041853,8.78142958146706e-5,8.304807617164723e-5,4.766219643023362e-6,4.766219643023362e-6,1.0136693107384825e-6
95,105,20,75,false,5.208968338341279e-5,2.089809536825087e-8,2.0572847563677076e-8,-3.940809958035518e-5,0.9844364857733436,0.015563514226656309,0.014718854294665167,0.0008446599319911416,0.0008446599319911416,1.0136693107384825e-6
95,105,40,55,false,0.0022134912873346233,3.5204148861538756e-7,2.7800312902872553e-7,-0.0005325259402474378,0.7896885396154247,0.21031146038457524,0.19889827180199016,0.011413188582585082,0.011413188582585082,1.0136693107384825e-6
95,105,60,35,false,0.028645760412856904,1.7494950329920964e-6,7.529547624530359e-7,-0.0014423144956676294,0.43038405268592583,0.5696159473140742,0.5387088041352833,0.03090714317879084,0.03090714317879084,1.0136693107384825e-6
100,105,1,99,false,1.219450281006598e-7,4.161634376705915e-11,4.1612800722769966e-11,-1.38328199931908e-7,0.9999148641142284,8.513588577162183e-5,8.304807617164723e-5,2.087809599974594e-6,2.087809599974594e-6,1.0797609177183837e-6
100,105,20,80,false,3.24057395212741e-5,7.488157174866117e-9,7.375169481832293e-9,-2.4516348356633623e-5,0.9849111483112206,0.015088851688779435,0.014718854294665167,0.00036999739411426764,0.00036999739411426764,1.0797609177183837e-6
100,105,40,60,false,0.0013770411274378414,1.2518709534716492e-7,9.966172089233576e-8,-0.00033129292462185815,0.7961021910122366,0.20389780898776338,0.19889827180199016,0.0049995371857732285,0.0049995371857732285,1.0797609177183837e-6
100,105,60,40,false,0.017820813889523706,6.028545072663437e-7,2.6992928680155775e-7,-0.0008972919799587512,0.44775195930035877,0.5522480406996413,0.5387088041352833,0.01353923656435796,0.01353923656435796,1.0797609177183837e-6
105,105,1,104,false,7.614973944826394e-8,1.492003884740837e-11,1.4918799766885686e-11,-8.638036787978781e-8,0.9999169519238283,8.304807617164723e-5,8.304807617164723e-5,0.0,0.0,1.034012695870799e-6
105,105,20,85,false,2.023607339792787e-5,2.6836062774582973e-9,2.6441066676761396e-9,-1.5309469276089313e-5,0.9852811457053349,0.014718854294665167,0.014718854294665167,0.0,0.0,1.034012695870799e-6
105,105,40,65,false,0.000859905154729357,4.460138385474835e-8,3.573024568606171e-8,-0.00020687936127729794,0.8011017281980098,0.19889827180199016,0.19889827180199016,0.0,0.0,1.034012695870799e-6
105,105,60,45,false,0.011128331084684551,2.0978957457447396e-7,9.677408373540925e-8,-0.0005603252999513292,0.4612911958647167,0.5387088041352833,0.5387088041352833,0.0,0.0,1.034012695870799e-6
