t,Y_US,e_US,q_US,q_W,n_W,n_US_star,gross_row_equity_asset,gross_foreign_us_equity_claim,bond,NFA,dNFA,CA,VA,RES,NFA_over_current_Y,ahp_rebased_NFA_change_current_Y,ahp_cum_CA_current_Y,ahp_cum_VA_current_Y,ahp_cum_RES_current_Y,dNFA_over_current_Y,CA_over_current_Y,VA_over_current_Y,RES_over_current_Y,periodnorm_cum_dNFA,periodnorm_cum_CA,periodnorm_cum_VA,periodnorm_cum_RES,late_NFA_change_over_endpoint_Y,late_cum_CA_over_endpoint_Y,late_cum_VA_over_endpoint_Y,late_cum_RES_over_endpoint_Y,omega,omega_star,theta,theta_US_star,Psi
25.0,12.12123192631326,12.494297661790423,1.7590302641104465,1.9149278848967528,1.8996467673994817,2.765844369350156,3.6376865663472433,4.8652039515063965,-0.4858178908435935,-1.7133352760027467,-0.11921468825071013,-0.022134694786481668,-0.09707999346422852,5.551115123125783e-17,-0.14134992931563078,-0.13633111460243402,-0.0389896099545626,-0.09734150464787142,1.8032421069230258e-17,-0.00983519571075231,-0.0018261093361666297,-0.008009086374585684,4.579662493772764e-18,-0.3705139450023876,-0.10921456281031114,-0.26129938219207655,3.2853015285568036e-17,-0.01993938214996544,-0.005298621062937174,-0.014640761087028272,6.820651686767914e-18,0.4044635580788949,0.1681246872092467,-0.08640704281340597,0.016511002699100913,0.885223139457058
26.0,13.60151440191799,14.029640821393148,1.7996343972087745,1.91893904371068,2.1278031102061488,2.9928334783861703,4.083124465503597,5.386006072821735,-0.5315878717210472,-1.8344694790391856,-0.12113420303643885,-0.01644927500848592,-0.10468492802795223,-6.938893903907228e-16,-0.13487244323179937,-0.13039983706926256,-0.035955656519782005,-0.0944441805494805,-3.494568460337179e-17,-0.008905934990544682,-0.0012093708481583755,-0.007696564142386255,-5.10155979611267e-17,-0.3794198799929323,-0.11042393365846952,-0.2689959463344628,-1.8162582675558664e-17,-0.022843528875012658,-0.005692986212893419,-0.01715054266211923,-9.815084134617241e-18,0.4034815976775943,0.167156299908765,-0.08420075728531894,0.016230221660974268,0.883560181171438
27.0,15.292905011758954,15.783786563276564,1.8404399868596815,1.9232282233545053,2.3873560525604196,3.241027924725798,4.591430539480401,5.964917391194208,-0.5823709290233321,-1.9558577807371398,-0.12138830169795423,-0.008390496671796699,-0.11299780502615812,5.967448757360216e-16,-0.12789314909320695,-0.12391521180221644,-0.03252762482167628,-0.09138758698054017,7.940325479364881e-18,-0.007937556769274174,-0.0005486528991937839,-0.007388903870080429,3.90210280700217e-17,-0.38735743676220646,-0.1109725865576633,-0.27638485020454323,2.0858445394463034e-17,-0.025753767519411976,-0.005894145198713369,-0.01985962232069861,4.491648671773992e-18,0.40255227051371234,0.1662295353859238,-0.0819928484754671,0.01597024851848983,0.8819611488582126
28.0,17.227833194954396,17.790288553914017,1.8814778463740818,1.9277988452389714,2.6829319104632687,3.512518283499511,5.1721530388458765,6.608725335388247,-0.6387322789408464,-2.0753045754832167,-0.11944679474607689,0.0026463520912242133,-0.12209314683730041,-6.938893903907228e-16,-0.1204623095660702,-0.1169311506300951,-0.028720705556269096,-0.08821044507382597,-3.3228714290082935e-17,-0.006933361461908041,0.00015360910807978243,-0.007086970569987783,-4.027722944252477e-17,-0.3942907982241145,-0.11081897744958352,-0.28347182077453104,-1.9418784048061738e-17,-0.028617459268594134,-0.005830699907735239,-0.02278675936085888,-1.2144087149611164e-17,0.4016732568419624,0.16534266552768997,-0.07978538740456297,0.015728988357065012,0.8804239706888944
29.0,19.444065544094776,20.088211156802295,1.9227832428693787,1.9326562337768536,3.019882882263172,3.809607382308851,5.836395477681931,7.325049236614937,-0.7013058525027173,-2.1899596114357234,-0.1146550359525067,0.017398881734616678,-0.13205391768712452,1.1379786002407855e-15,-0.11262868901924789,-0.10950001117171165,-0.024552305779239367,-0.08494770539247232,2.9084444911274703e-17,-0.00589665961022888,0.0008948170687431556,-0.006791476678972094,5.852575417728897e-17,-0.4001874578343434,-0.10992416038084037,-0.29026329745350316,3.9106970129227236e-17,-0.0313662704121444,-0.005413568295502887,-0.025952702116641527,1.513851959746049e-17,0.40084232064684516,0.16449407155628046,-0.07758069834298369,0.015504610198037403,0.8789466581009816
30.0,21.98563550342,22.72308781928018,1.964396105601718,1.9378075088489077,3.4044068953818942,4.134832434608734,6.597085245048032,8.122448731861068,-0.7708030632815116,-2.296166550094547,-0.1062069386588238,0.03676548299337623,-0.14297242165219945,-5.828670879282072e-16,-0.10443939861266983,-0.10167240026393488,-0.02004177499296157,-0.0816306252709733,-7.89025850859285e-19,-0.004830742265435205,0.0016722501829732025,-0.006502992448408381,-2.6511268588871978e-17,-0.4050182000997786,-0.10825191019786716,-0.29676628990191156,1.2595701540355258e-17,-0.03391254161673994,-0.004532129739310181,-0.02938041187742976,1.1645015074969609e-18,0.4000573202153223,0.16368224581852867,-0.07538129103773353,0.015295509452963605,0.877527319783943
31.0,24.903944191493935,25.748055669291563,2.0063612576015797,1.943261507356014,3.8436881975481714,4.490989472711184,7.46929132057398,9.010547286344266,-0.8480227959795498,-2.3892787617498366,-0.09311221165528938,0.06183902983202949,-0.15495124148731826,-6.106226635438361e-16,-0.09593977336995103,-0.09349701905496868,-0.015210126038354994,-0.07828689301661365,-2.521568043499272e-17,-0.0037388540120119732,0.0024831018475037748,-0.006221955859515724,-2.451911467711999e-17,-0.4087570541117906,-0.10576880835036338,-0.3029882457614273,-1.1923413136764733e-17,-0.0361448716916674,-0.0030495623762941165,-0.03309530931537327,-1.3474946015321976e-17,0.3993162160776857,0.1629057920504657,-0.07318980222744825,0.015100276440596796,0.8761641722982857
32.0,28.259065493711542,29.225200420289376,2.048728658059825,1.9490287329543206,4.346062428786786,4.8811603377242445,8.470600548918688,10.000173068480633,-0.9338627873688176,-2.463435306930763,-0.07415654518092651,0.09394758729838204,-0.1681041324793099,1.3322676295501878e-15,-0.08717327568666233,-0.08502054288849571,-0.010079758043300675,-0.07494078484519505,2.4922895323743464e-17,-0.0026241683468771634,0.0033245114676310897,-0.0059486798145083,4.714478721338665e-17,-0.41138122245866776,-0.1024442968827323,-0.3089369255759356,3.522137407662192e-17,-0.03792274682874343,-0.0007972044861232416,-0.03712554234262021,1.8465666761737522e-17,0.39861707615774056,0.16216342381330848,-0.07100894463521437,0.014917669735107227,0.8748555469043144
33.0,32.121295280746686,33.227152615540255,2.091553678524845,1.9551213253597015,4.921210619355253,5.3087425040174265,9.62156382848808,11.103519912618845,-1.0293326326675138,-2.511288716798278,-0.04785340986751496,0.13470359454163083,-0.18255700440914688,1.0824674490095276e-15,-0.07818142745643042,-0.07628753692050565,-0.004674187228519463,-0.07161334969198623,5.562556443130385e-17,-0.001489772110659498,0.004193591614668521,-0.005683363725328052,3.369937107294525e-17,-0.41287099456932724,-0.09825070526806377,-0.3146202893012637,6.892074514956717e-17,-0.03907001424013904,0.0024322632705803494,-0.041502277510719436,4.4417414643098366e-17,0.3979580804103807,0.16145396325639494,-0.068841464594906,0.01474659390559105,0.8735998961137132
34.0,36.57299282837094,37.83898464653873,2.134897377835419,1.9615530547317073,5.58038738122026,5.777482026726668,10.946225914218873,12.334331229350026,-1.1355686108222647,-2.5236739259534176,-0.01238520915513952,0.18606343476992349,-0.1984486439250613,-1.6930901125533637e-15,-0.06900375743917014,-0.06734039296092431,0.0009822134812354903,-0.06832260644215979,2.5613180781333424e-18,-0.00033864357815234313,0.005087454440578011,-0.005426098018730307,-4.629345267144708e-17,-0.4132096381474796,-0.09316325082748576,-0.32004638731999396,2.262729247812009e-17,-0.039366944947613156,0.006893063781032081,-0.04626000872864524,3.826219238918586e-18,0.39733752156821445,0.16077633684208456,-0.0666901034845312,0.014586080114684584,0.8723957944575689
35.0,41.710772390285946,43.16046815289055,2.1788267733843423,1.9683393390901578,6.336689558758665,6.291509943829657,12.472755338106534,13.708110310629875,-1.253850587824748,-2.489205560348088,0.03446836560532951,0.2503995632349294,-0.215931197629601,1.1102230246251565e-15,-0.05967776230698142,-0.0582192849485516,0.006864462905672924,-0.06508374785422455,2.886300165010324e-17,0.0008263660352009418,0.006003234869207196,-0.005176868834006282,2.6617177314216248e-17,-0.41238327211227865,-0.08716001595827856,-0.3252232561540003,4.924446979233634e-17,-0.038540578912412214,0.012896298650239276,-0.05143687756265152,3.0443396553134834e-17,0.396753802220927,0.16012956819545968,-0.064557562947193,0.014435269069694076,0.8712419337299897
