case,horizon_kind,vartheta_US,t,evidence_window,phi_US,phi_W,rd_share_US,N_US,N_W,G_N_US,G_N_W,US_real_scale_growth,W_real_scale_growth,relative_real_scale_growth,zeta,e_W_over_e_US,Q_W_over_e_US,q_US,q_W,Y_US,NFA,rebased_NFA_change_current_Y,cum_VA_current_Y,cum_CA_current_Y,residual_norm
counterfactual_vartheta050,replication_T30_buffer10,0.5,13,true,0.7272609248852158,0.6938640417074644,0.27273907511478424,1.8874366094208828,1.7354759006346014,1.0545478150229568,1.0551044724926564,1.097402596258334,1.0551044724926564,1.0400890384491968,0.7543561836613464,1.0904168977469315,0.6013472432128908,1.3733952231178355,2.6445786519020844,8.28841049212342,0.8901507549404797,0.11198528829755026,0.01824445855089222,0.09374082974665801,8.214065123349783e-12
counterfactual_vartheta050,replication_T30_buffer10,0.5,14,true,0.725381027192257,0.6869383206552762,0.27461897280774294,1.99039215245913,1.831108384662789,1.0549237945615486,1.0563511022820502,1.0980873903831605,1.0563511022820502,1.0395098637289693,0.7396701320320233,1.0446365085077156,0.5873497564865675,1.4050240763182786,2.691332533337895,9.11536378808865,1.0383157007286883,0.11808031026513567,0.018953809422801567,0.0991265008423341,5.472476933753372e-11
counterfactual_vartheta050,replication_T30_buffer10,0.5,15,true,0.7231659648858229,0.680010821173799,0.27683403511417715,2.0997120421377136,1.9342933605364414,1.0553668070228355,1.0575980521887163,1.0988945105380539,1.0575980521887163,1.039047403939402,0.7258149804188859,1.0014118788001976,0.5741287376437215,1.4386543503892197,2.7393498081796803,10.03035741887521,1.2043076036571692,0.1238576887467371,0.0195804443683653,0.1042772443783718,1.3880277838768571e-10
counterfactual_vartheta050,replication_T30_buffer10,0.5,16,false,0.7206206980086152,0.6730772354947595,0.27937930199138483,2.215966393578276,2.045704890464907,1.055875860398277,1.0588460976109433,1.0998222637964847,1.0588460976109433,1.0386988876645957,0.7127314301996411,0.9604710729363941,0.5615884700770589,1.4744261148610411,2.7887075964564008,11.044575112528706,1.3904687940979759,0.1293393419929684,0.020134106075353462,0.10920523591761495,1.1721539650560315e-9
counterfactual_vartheta050,replication_T30_buffer10,0.5,17,false,0.7177496467914747,0.6661317396120741,0.2822503532085253,2.339785422433129,2.166086640132389,1.056450070641705,1.0600962868698267,1.1008691685807201,1.0600962868698267,1.0384614890325525,0.7003661435906472,0.9215739853852725,0.5496448816754,1.5124932285481552,2.8394997837244715,12.170863175226872,1.5994997867397314,0.1345450233654121,0.02062509092308495,0.11391993244232719,7.399093105740226e-10
counterfactual_vartheta050,replication_T30_buffer10,0.5,18,false,0.7145569368140395,0.6591670557678202,0.28544306318596047,2.471866474815911,2.296260404242684,1.0570886126371921,1.0613499299617923,1.1020338648022292,1.0613499299617923,1.0383322537571575,0.6886707486102449,0.8845087435490009,0.538224374228929,1.5530239825774894,2.891838548275509,13.424007335389925,1.8345217069178532,0.1394926972014995,0.021064176263013948,0.11842852093848559,6.541330399714499e-12
counterfactual_vartheta050,replication_T30_buffer10,0.5,19,false,0.711046594688973,0.6521745491485608,0.288953405311027,2.612981902487538,2.4371358192170094,1.0577906810622053,1.062608581153259,1.1033150419415212,1.062608581153259,1.0383080482411342,0.6776010514185788,0.8490886813874314,0.5272628145995234,1.596201943098952,2.945855776795885,14.821059623843313,2.099150221859203,0.14419883325814484,0.02146250696286114,0.12273632629528372,7.202702793598409e-10
counterfactual_vartheta050,replication_T30_buffer10,0.5,20,false,0.7072226862543614,0.645144359045594,0.29277731374563865,2.76398790623551,2.589721434935972,1.0585554627491278,1.0638740153717932,1.1047113879761974,1.0638740153717932,1.0383855343906794,0.6671164420600385,0.8151497639249996,0.5167046433835557,1.6422270613024574,3.0017043422967853,16.381725095833467,2.397583054953751,0.14867862354262235,0.02183144698819879,0.12684717655442354,6.1052195643430164e-12
counterfactual_vartheta050,replication_T30_buffer10,0.5,21,false,0.7030893982194014,0.6380655622922052,0.2969106017805986,2.925834497118123,2.7551373416797347,1.0593821203561198,1.065148198787403,1.1062215588300583,1.065148198787403,1.038561169318424,0.6571794670001718,0.7825483620103344,0.5065020658973252,1.6913170993205837,3.0595592352834293,18.128820376718213,2.734703677486828,0.152946132369213,0.022182404324673635,0.13076372804453937,5.230154710310706e-11
counterfactual_vartheta050,replication_T30_buffer10,0.5,22,false,0.6986510714941642,0.6309263616519003,0.30134892850583583,3.099576753368079,2.934629576902083,1.0602697857011671,1.066433254902658,1.107844165377765,1.066433254902658,1.0388312257562589,0.6477555337315289,0.7511592956373561,0.4966143039595865,1.7437094007142164,3.119618582931162,20.08881868110122,3.11620440269782,0.15701439374399861,0.02252664111390431,0.13448775263009433,1.2146571204277649e-9
counterfactual_vartheta050,replication_T30_buffer10,0.5,23,false,0.6939121917393642,0.6237142928723309,0.30608780826063575,3.2863875800578923,3.1295865716292988,1.061217561652127,1.0677314272829803,1.10957777603589,1.0677314272829803,1.039191830158446,0.6388127235730797,0.7208740831913455,0.48700689212131204,1.7996630527608375,3.1821045909425787,22.292499203506146,3.5487327539436793,0.1608954655442113,0.022875078672900697,0.13802038687131063,1.318111535593295e-9
counterfactual_vartheta050,replication_T30_buffer10,0.5,24,false,0.688877348845039,0.6164164415572344,0.31112265115496096,3.487572214352871,3.3415579369314004,1.0622245302309923,1.0690450405196978,1.111420930720833,1.0690450405196978,1.0396390129461102,0.6303216816066781,0.6915993481090784,0.47765101064222887,1.8594614674817271,3.2472644732976543,24.775722838563524,4.0400659303078275,0.16460045345311405,0.02323810875188223,0.14136234470123177,9.151244801495743e-12
counterfactual_vartheta050,replication_T30_buffer10,0.5,25,false,0.6835511841399428,0.6090196590926368,0.31644881586005724,3.7045847570376402,3.572275940085747,1.0632897631720115,1.0703764613633253,1.1133721593472792,1.0703764613633253,1.0401687626138478,0.6222555438646518,0.663255347982545,0.46852285541426053,1.9234153722334035,3.315371466443208,27.580361194340966,4.599319456036573,0.16813952170200305,0.023625423490377374,0.14451409821162567,8.919122927916225e-11
