t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
34,u,22.66068619187428,25.69917564236831,0.329568084398173,1.134086383120365,209.1015083706067,6.076537429967124,0.2681532844378765,15.17137197653875,4.068253224937624,4.067490323769556,0.0007629011680678593,0.0001875254872020795,1.085472031584804,2.98278119335282,104.5507541853033,104.5311482541874,0.01960593111594386,76.65501779072706
35,u,25.69917564236831,29.19597056081376,0.319667882132269,1.136066423573546,253.4630976459561,7.131978372206689,0.2775177877864973,15.64123354103854,4.340720530560977,4.339661269433652,0.001059261127324361,0.0002440288702916025,1.099216531927625,3.241503998633352,126.7315488229781,126.7006226662886,0.03092615668957642,94.63885531685941
36,u,29.19597056081376,33.22545455099794,0.3099246380950126,1.138015072380997,308.0212469864183,8.388586040262904,0.2873199924212109,16.1329542263341,4.635320286042055,4.633857759980367,0.001462526061688675,0.0003155178005913971,1.113329261903194,3.521991024138861,154.0106234932091,153.9620304000168,0.04859309319228708,117.0197527015484
37,u,33.22545455099794,37.8747295388802,0.3003444120311327,1.139931117593773,375.2616681975568,9.88724172479181,0.2975803298526986,16.64755460634878,4.953984790998081,4.951976666462398,0.002008124535682805,0.0004053554099180485,1.127816451308851,3.826168339689231,187.6308340987783,187.5547769251089,0.07605717366937563,144.9150910359559
38,u,37.8747295388802,43.24587567665249,0.2909327402247786,1.141813451955044,458.3044263366288,11.67754350616201,0.3083201820404938,17.18610286397101,5.298822363586194,5.29608024313486,0.002742120451333592,0.0005174962025859931,1.142684367897559,4.156137995688635,229.1522131683144,229.0336277681856,0.1185854001287787,179.7358270565624
39,u,43.24587567665249,49.45862460548911,0.2816946319587699,1.143661073608246,561.0718675293468,13.81973531086871,0.3195619257243919,17.74971700820988,5.672133748206542,5.668409699278069,0.003724048928473255,0.0006565516776910899,1.157939320698282,4.51419442750826,280.5359337646732,280.3517474267074,0.1841863379658327,223.2658475863219
40,b,49.45862460548911,52.49238263731163,0.6933034373659253,1.061339312526815,123.2088253873531,8.048425338311565,0.1627304722383711,7.211849430599321,1.173587663553455,1.173587663553455,0,0,1.173587663553455,0,61.60441269367652,61.60441269367652,0,0
41,b,52.49238263731163,55.71222930117884,0.6933034373659253,1.061339312526815,131.5471651203476,8.593114442971856,0.1637021223125784,7.211849430599321,1.180595057587869,1.180595057587869,0,0,1.180595057587869,0,65.77358256017381,65.77358256017381,0,0
42,b,55.71222930117884,59.12957914584942,0.6933034373659253,1.061339312526815,140.449814344032,9.174666189486246,0.1646795740283205,7.211849430599321,1.187644292187482,1.187644292187482,0,0,1.187644292187482,0,70.22490717201602,70.22490717201602,0,0
43,b,59.12957914584942,62.75654688065571,0.6933034373659253,1.061339312526815,149.9549635389432,9.795575311736565,0.1656628620267148,7.211849430599321,1.194735617178817,1.194735617178817,0,0,1.194735617178817,0,74.97748176947155,74.97748176947155,0,0
