T_report,t,s,payoff_t,all_u_probability,all_u_discount_factor,dividend_US,pv_contribution,expected_all_u_contribution,log10_pv_contribution
105,35,65,100,5.021681388309362e-7,1250.7949569398124,3.490350887954501,4365.7132886038835,0.002192322116807698,3.6400552106983888
105,35,66,101,4.0173451106474904e-7,1422.5831339227836,3.650062001143847,5192.51664059968,0.0020860131338068856,3.7153778970047364
105,35,67,102,3.2138760885179925e-7,1618.1973918784051,3.817218673138188,6177.0133011017615,0.001985215534686854,3.790778536514783
105,35,68,103,2.571100870814394e-7,1840.9625271721213,3.9921683507403474,7349.43233587551,0.001889613187876099,3.8662537958300978
105,35,69,104,2.0568806966515154e-7,2094.66912203447,4.175274665749864,8745.818918359037,0.0017989106109582338,3.941800481061481
105,35,70,105,1.6455045573212124e-7,2383.638964060285,4.366918191101384,10409.156353172913,0.001712831421701508,4.017415532007269
105,36,1,37,0.8,1.065108359725332,0.24466344684470656,0.2605930825535114,0.20847446604280911,-0.5840371168226356
105,36,2,38,0.6400000000000001,1.1380996407702975,0.25374143784914027,0.2887830392646454,0.1848211451293731,-0.539428317231474
105,36,3,39,0.5120000000000001,1.2198342542170453,0.2633045793665956,0.32118794520358396,0.16444822794423503,-0.4932407629880289
105,36,4,40,0.4096000000000001,1.3112918911174127,0.2733692730773645,0.3584669110670097,0.1468280467730472,-0.4455509264793873
105,36,5,41,0.3276800000000001,1.4135864254425958,0.28395229309257336,0.401391106988959,0.13152783793814213,-0.39643225374291935
105,36,6,42,0.2621440000000001,1.527982890032134,0.29507090181667006,0.4508632893222236,0.11819110611608502,-0.3459551248483233
105,36,7,43,0.20971520000000007,1.6559167880413035,0.30674297742195555,0.5079408459267907,0.10652291609170612,-0.2941868620929432
105,36,8,44,0.1677721600000001,1.799016039046603,0.3189871502510384,0.5738629995513868,0.09627823497881524,-0.24119177596516173
105,36,9,45,0.13421772800000006,1.9591259042001237,0.3318229459354352,0.6500829289901083,0.08725265374063772,-0.18703123827176166
105,36,10,46,0.10737418240000006,2.1383372993770027,0.345270931134956,0.7383057104365048,0.07927497201937089,-0.13176377250741117
105,36,11,47,0.08589934592000005,2.3390189432417823,0.3593528603447135,0.8405331476544035,0.07220124760759208,-0.07544515484850645
105,36,12,48,0.06871947673600004,2.5638538744412647,0.37409182000647995,0.9591167621203978,0.06591000202164037,-0.018128518942148564
105,36,13,49,0.054975581388800036,2.8158809390802637,0.3895123679220158,1.096820452367623,0.06029834204803673,0.04013554012899967
105,36,14,50,0.043980465111040035,3.0985419348485315,0.4056406658575862,1.2568946136396117,0.05527880970343109,0.09929886508969138
105,36,15,51,0.03518437208883203,3.4157351982504665,0.4225046039823079,1.4431638472452433,0.05077681378662699,0.15931564080585064
105,36,16,52,0.028147497671065624,3.7718765299072126,0.44013391636452026,1.660130789151478,0.04672852752130557,0.22014230416611535
105,36,17,53,0.022517998136852502,4.17196847802838,0.45856028720781467,1.9130990635066434,0.043079161147656864,0.28173745911270043
105,36,18,54,0.018014398509482003,4.621679141151186,0.4778174484625059,2.2083189348372456,0.039781537328192965,0.3440617962479222
105,36,19,55,0.014411518807585602,5.127431813092372,0.4979412694162352,2.553159905856404,0.036794912002023054,0.407078015766368
