T_report,n_buffer,terminal_rule,t,periods_to_terminal,terminal_contaminated,terminal_anchor_weight,terminal_anchor_fraction_of_fundamental_value,terminal_anchor_scale_bubble_share_exposure,bubble_share_derivative_wrt_terminal_value,q_US,v_US,B_per,Q_US,V_agg,B_agg,fundamental_share,bubble_share,NFA,NFA_fund,NFA_bubble,max_u_residual,terminal_successor_phi_US
105,0,hkt_scalar_terminal_us,15,90,false,5.747190596225979e-6,8.901691035113915e-10,8.857798255352473e-10,-5.1286929853872745e-6,1.1205955615984295,1.115070088517768,0.005525473080661536,3.1948997013651406,3.1791461744904437,0.015753526874696888,0.995069163871415,0.004930836128585071,0.6432747822988354,0.6590283091735323,-0.015753526874696888,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,16,89,false,7.484841886004704e-6,1.1274293432710126e-9,1.1203977080727166e-9,-6.487137887526732e-6,1.1537972547795425,1.1466011662292246,0.007196088550317947,3.553336296769316,3.5311745846186864,0.022161712150629675,0.9937631256093663,0.006236874390633683,0.7624549932522524,0.7846167054028821,-0.022161712150629675,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,17,88,false,9.68695378017976e-6,1.4167643075353324e-9,1.4056782198414946e-9,-8.13892100269546e-6,1.1902012290046333,1.1808879825261045,0.009313246478528825,3.965161433087175,3.9341343051918525,0.031027127895322693,0.9921750656514466,0.007824934348553306,0.897412912919715,0.9284400408150377,-0.031027127895322693,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,18,87,false,1.2459216804544797e-5,1.7665093901298073e-9,1.7493074715017612e-9,-1.0128545152804035e-5,1.2301092226552919,1.2181306626374646,0.011978560017827267,4.440093705168049,4.396856951916719,0.04323675325133003,0.990262198025009,0.009737801974990886,1.0503240049458018,1.0935607581971318,-0.04323675325133003,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,19,86,false,1.5926632496670323e-5,2.185623982540626e-9,2.1593519502671063e-9,-1.250271555194339e-5,1.2738538624270892,1.2585416540816583,0.0153122083454309,4.989858091069459,4.929878097321187,0.05997999374827234,0.9879796193291306,0.012020380670869345,1.2236853378762778,1.28366533162455,-0.05997999374827234,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,20,85,false,2.0236073551070942e-5,2.6836078229660255e-9,2.6441081900739933e-9,-1.5309469391948706e-5,1.3218011044663085,1.3023457064249522,0.01945539804135632,5.62863700305428,5.545789914369978,0.0828470886843018,0.9852811455705269,0.01471885442947312,1.4203636668041035,1.5032107554884053,-0.0828470886843018,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,21,84,false,2.5559051817292512e-5,3.2704000762238545e-9,3.2119262878125295e-9,-1.8597153995837548e-5,1.3743528618955994,1.349779838236129,0.02457302365947034,6.37362931006013,6.259670698574589,0.11395861148554065,0.98212029505612,0.017879704943880012,1.6436500555489442,1.7576086670344848,-0.11395861148554065,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,22,83,false,3.209470951259444e-5,3.956266002583044e-9,3.871013918058864e-9,-2.2413292056960488e-5,1.4319498193763718,1.4010932725829672,0.03085654679340455,7.245744373591187,7.08960855982773,0.15613581376345653,0.9784513770134466,0.021548622986553335,1.8973217169287153,2.053457530692172,-0.15613581376345653,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,23,82,false,4.007305337247317e-5,4.751677179905777e-9,4.629229535945743e-9,-2.680338427713239e-5,1.495074389045041,1.4565472901803025,0.038527098864738596,8.270464858528618,8.057340334694453,0.21312452383416414,0.9742306475536998,0.025769352446300183,2.1857120375922,2.3988365614263643,-0.21312452383416414,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,24,81,false,4.975845646571059e-5,5.66719186112593e-9,5.493874742921452e-9,-3.1809707157861165e-5,1.564253836691286,1.516414982147588,0.04783885454369785,9.478921170657511,9.189031690780368,0.289889479877143,0.9694174606310145,0.03058253936898545,2.5137894680115576,2.8036789478887005,-0.289889479877143,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,25,80,false,6.145345572671183e-5,6.713342113869953e-9,6.471496459934717e-9,-3.7470167576880587e-5,1.6400635412324427,1.5809808618609826,0.059082679371460056,10.90923113756442,10.516230141392336,0.39300099617208417,0.9639753717547664,0.03602462824523352,2.8872463595602156,3.2802473557322998,-0.39300099617208417,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,26,79,false,7.550287680584159e-5,7.900534025794763e-9,7.567709225983216e-9,-4.381727389116997e-5,1.7231304027121799,1.650540305706151,0.07259009700602892,12.608172792430219,12.07702988842787,0.5311429040023494,0.9578731262057861,0.04212687379421391,3.312598657019562,3.8437415610219112,-0.5311429040023494,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,27,78,false,9.229831924428704e-5,9.238966316470691e-9,8.787046774830995e-9,-5.087727656149052e-5,1.8141363980584702,1.7253987989159227,0.08873759914254742,14.633275774187474,13.91749621032342,0.7157795638640536,0.9510854866053532,0.048914513394646794,3.7972975414969525,4.513077105361006,-0.7157795638640536,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,28,77,false,0.00011228303587801055,1.0738571487669184e-8,1.013285007205758e-8,-5.866951988338631e-5,1.9138223067307936,1.8058709690511805,0.10795133767961307,17.055439479592476,16.093407894914808,0.9620315846776677,0.9435938554483585,0.05640614455164157,4.349854089578997,5.311885674256665,-0.9620315846776677,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,29,76,false,0.00013595723893125125,1.2408982059180183e-8,1.1607196391791978e-8,-6.720603133924861e-5,2.0229916306909144,1.8922794024840643,0.13071222820685002,19.96221467032863,18.672389482761755,1.2898251875668763,0.9353866688206675,0.06461333117933263,4.979978123524951,6.269803311091827,-1.2898251875668763,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,30,75,false,0.00016388386438348366,1.4259522985106314e-8,1.3210871294689008e-8,-7.649135934991953e-5,2.142514733380223,1.984953242771468,0.15756149060875502,23.461921452199615,21.73652126756618,1.7254001846334361,0.9264595532744964,0.07354044672550361,5.6987326316871965,7.424132816320633,-1.7254001846334361,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,31,74,false,0.00019669482379246187,1.6299229771239707e-8,1.494338242586411e-8,-8.652265316516744e-5,2.273333243919153,2.0842265875199257,0.1891066563992272,27.688822758366637,25.385534973581244,2.303287784785393,0.9168152505115293,0.08318474948847064,6.5187052203413565,8.82199300512675,-2.303287784785393,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,32,73,false,0.00023509777243504857,1.8536890623618082e-8,1.680301150438924e-8,-9.728996388449984e-5,2.4164647929579934,2.1904367102587754,0.22602808269921804,32.80963132544941,29.740727493632463,3.0689038318169466,0.906463324705618,0.09353667529438203,7.454198141496775,10.523101973313722,-3.0689038318169466,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,33,72,false,0.00027988342137408897,2.0981109823314628e-8,1.8786898959168035e-8,-0.00010877673450153612,2.5730081221562733,2.3039221480244816,0.2690859741317917,39.03170250966384,34.949755157304374,4.081947352359464,0.8954196950197391,0.10458030498026102,8.521439189069426,12.60338654142889,-4.081947352359464,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,34,71,false,0.00033193342564822643,2.364038905136855e-8,2.0891154100486365e-8,-0.00012096043780074271,2.744148679380758,2.425020705497687,0.319127973883071,46.6133613265422,41.19250797854659,5.42085334799561,0.8837060191814806,0.11629398081851935,9.738815487424347,15.159668835419957,-5.42085334799561,1.082157695580271e-6,0.02172068007778638
105,0,hkt_scalar_terminal_us,35,70,false,0.000392228885002577,2.6523222953668052e-8,2.311098331044911e-8,-0.0001338133185840844,2.9311647685959734,2.554067436130703,0.37709733246527044,55.87693315365808,48.68830880052159,7.18862435313649,0.8713489816384836,0.1286510183615164,11.127133466724096,18.315757819860586,-7.18862435313649,1.082157695580271e-6,0.02172068007778638
