switch_index,G_N_US,G_N_W,nu_b_eff,xi_W_seed,xi_W_eff,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
48,1.0228961672598447,1.038595840140897,0.1,1.0,0.05977872354921902,true,2.530122162082474e-16,1.0022663626800143,1.0022663634967284,-8.167140297388187e-10,-8.148672201412077e-10
49,1.0228315184714896,1.0386118591072053,0.1,1.0,0.05958755900439991,true,3.7839766061365374e-16,1.0022600280049092,1.0022600289109773,-9.060681094297252e-10,-9.040250362538083e-10
50,1.0227641374498078,1.038628590151672,0.1,1.0,0.05938841122360528,true,3.7727509193535006e-16,1.0022534252257085,1.0022534259986389,-7.729303863612813e-10,-7.711926383949241e-10
51,1.0226939319749087,1.038646060734379,0.1,1.0,0.05918103238389494,true,2.220446049250313e-16,1.002246545257132,1.0022465461161085,-8.589764455280147e-10,-8.570510347423455e-10
52,1.0226208020263878,1.0386643006780807,0.1,1.0,0.05896513569158976,true,4.3752874144886894e-16,1.0022393782451304,1.002239379199676,-9.545455537107728e-10,-9.524128261224896e-10
53,1.0225446411459749,1.0386833418842518,0.1,1.0,0.05874041592887874,true,2.492646652950425e-16,1.0022319136999545,1.0022319145209004,-8.209459778640849e-10,-8.191176842711756e-10
54,1.022465338391358,1.038703217901042,0.1,1.0,0.058506574359722674,true,2.220446049250313e-16,1.0022241406871921,1.0022241416013418,-9.141496448705766e-10,-9.121208701529104e-10
55,1.0223827734823008,1.0387239651754683,0.1,1.0,0.058263262693079826,true,6.19396001620191e-17,1.002216047351508,1.0022160481427855,-7.912774879770268e-10,-7.8952787753786e-10
56,1.0222968218156339,1.0387456218763496,0.1,1.0,0.058010144594609694,true,2.778796330235866e-16,1.0022076214076323,1.0022076222907381,-8.831058107006129e-10,-8.811605095755681e-10
57,1.0222073496543636,1.0387682291525155,0.1,1.0,0.05774684208210201,true,2.462492410525859e-16,1.0021988496681737,1.0021988506539021,-9.857283878034195e-10,-9.835657557508148e-10
58,1.0221142155911098,1.0387918308479935,0.1,1.0,0.05747295582185634,true,4.440892098500626e-16,1.0021897181863675,1.0021897190472449,-8.608773693907779e-10,-8.589963918122223e-10
59,1.0220172727655708,1.0388164730267497,0.1,1.0,0.05718809091363585,true,4.894766207962628e-16,1.0021802124727792,1.002180213436024,-9.632448172425256e-10,-9.611492630436091e-10
60,1.0219163632034591,1.0388422054815032,0.1,1.0,0.056891798731383086,true,2.220446049250313e-16,1.002170316939439,1.0021703177864472,-8.470082413225555e-10,-8.451739199992481e-10
61,1.0218113236116309,1.0388690803782705,0.1,1.0,0.05658364095699056,true,2.220446049250313e-16,1.0021600154672052,1.0021600164173403,-9.501350817231469e-10,-9.48087344309484e-10
62,1.0217019788669859,1.0388971540080152,0.1,1.0,0.056263124861993516,true,2.220446049250313e-16,1.0021492907663079,1.0021492916076036,-8.412956997716492e-10,-8.394913349543676e-10
63,1.0215881479265163,1.0389264854131708,0.1,1.0,0.05592976612994469,true,3.021462294497776e-16,1.0021381249549166,1.0021381259010917,-9.461751382389139e-10,-9.4415648563273e-10
64,1.0214696371198846,1.0389571382263143,0.1,1.0,0.05558302500568338,true,2.220446049250313e-16,1.0021264989001237,1.0021264997437929,-8.436691345536929e-10,-8.418789033959317e-10
65,1.0213462462431049,1.0389891792649755,0.1,1.0,0.05522236856188228,true,6.005259767184536e-16,1.0021143928144398,1.0021143937657595,-9.51319689690422e-10,-9.493125755974385e-10
66,1.0212177615980462,1.0390226804794884,0.1,1.0,0.05484720713746305,true,1.249000902703301e-16,1.0021017855715995,1.0021017864258297,-8.542302420977421e-10,-8.52438597574029e-10
67,1.0210839623409935,1.0390577175023983,0.1,1.0,0.054456956683399435,true,4.440892098500626e-16,1.0020886553279522,1.0020886562936668,-9.657146193831068e-10,-9.637016826907763e-10
68,1.020944613216274,1.0390943717286267,0.1,1.0,0.054050974952182335,true,2.220446049250313e-16,1.0020749788078496,1.0020749796810822,-8.732325973426214e-10,-8.714245119771646e-10
69,1.020799471246067,1.039132728802623,0.1,1.0,0.05362862458316432,true,5.930456107423366e-16,1.0020607319583876,1.002060732948056,-9.896683472732093e-10,-9.876331315272768e-10
70,1.020648278103586,1.0391728808567933,0.1,1.0,0.053189208519843406,true,5.320733413463544e-16,1.0020458891989508,1.0020458901000375,-9.01086760762837e-10,-8.992471819263548e-10
71,1.0204907672524997,1.0392149249145735,0.1,1.0,0.05273203454638735,true,1.7680468100772657e-16,1.0020304241199258,1.0020304251435768,-1.0236509417893558e-9,-1.0215768092569633e-9
72,1.020326655903633,1.039258965316221,0.1,1.0,0.0522563494212511,true,3.5250967040994556e-16,1.0020143086908206,1.0020143096291445,-9.383238630533697e-10,-9.36437572450488e-10
73,1.0201556516935166,1.0393051122907622,0.1,1.0,0.05176139733356852,true,4.440892098500626e-16,1.001997513913512,1.001997514777393,-8.638809667615988e-10,-8.621587710248846e-10
74,1.0199774493779141,1.0393534832006786,0.1,1.0,0.051246393758229286,true,2.9194478509922242e-16,1.0019800094950113,1.001980010480566,-9.855547489223682e-10,-9.836072008967411e-10
75,1.019791727765226,1.0394042037917075,0.1,1.0,0.050710503625157236,true,1.2750217548429532e-16,1.0019617635433118,1.0019617644564323,-9.131204681267491e-10,-9.11332659944003e-10
76,1.019598156768902,1.0394574067455005,0.1,1.0,0.05015289800042649,true,1.160655373016542e-16,1.001942743257097,1.001942744300559,-1.043461983485372e-9,-1.041438647125803e-9
77,1.0193963890708244,1.0395132344526112,0.1,1.0,0.04957269020883692,true,4.0500342005541013e-16,1.001922914103406,1.001922915075869,-9.724629990159883e-10,-9.705966082934614e-10
78,1.019186067973976,1.039571837432589,0.1,1.0,0.04896899627428748,true,2.220446049250313e-16,1.0019022405856657,1.0019022414954153,-9.097496089793822e-10,-9.080222797622217e-10
79,1.0189668244965575,1.0396333757367813,0.1,1.0,0.048340911481664736,true,2.8757243230790297e-16,1.001880685954504,1.0018806869968584,-1.042354424996006e-9,-1.040397673828658e-9
80,1.0187382746423461,1.039698020404325,0.1,1.0,0.04768748988896117,true,1.7204107151638737e-16,1.00185821193532,1.001858212915253,-9.799328015702713e-10,-9.781151570111002e-10
81,1.018500027220466,1.0397659520256974,0.1,1.0,0.04700779840458548,true,3.4309617312497253e-16,1.0018347794929217,1.0018347804171104,-9.241887255484471e-10,-9.224960940534127e-10
82,1.0182516816960416,1.039837362146302,0.1,1.0,0.046300896658546115,true,3.4213092438677836e-16,1.0018103486160326,1.0018103496759372,-1.0599046085246755e-9,-1.057989227693304e-9
83,1.017992826266535,1.0399124547262113,0.1,1.0,0.045565819351972126,true,4.264855662231335e-16,1.0017848781234806,1.0017848791265338,-1.0030531960580902e-9,-1.0012660013169333e-9
84,1.0177230473276635,1.0399914443960343,0.1,1.0,0.04480163456844232,true,2.220446049250313e-16,1.0017583265909267,1.0017583275423267,-9.514000698374048e-10,-9.497300328988045e-10
85,1.0174419273041364,1.0400745581107693,0.1,1.0,0.044007419642496985,true,2.220446049250313e-16,1.001730652133111,1.0017306530372048,-9.040936888027318e-10,-9.025317706731761e-10
86,1.0171490504864726,1.0401620345617764,0.1,1.0,0.04318228927963928,true,2.8209971505067863e-16,1.001701812974027,1.0017018140087588,-1.0347318557535345e-9,-1.0329740075462612e-9
87,1.0168440021567424,1.040254125638552,0.1,1.0,0.0423253772932,true,2.2512716819140083e-16,1.0016717673567006,1.0016717683403955,-9.83694903311516e-10,-9.82053153207596e-10
88,1.0165263809446554,1.0403510939928988,0.1,1.0,0.04143590082881017,true,3.0882159355971464e-16,1.001640474756349,1.0016404756918942,-9.355451968673378e-10,-9.340128900338363e-10
89,1.0161958007987102,1.040453213702764,0.1,1.0,0.04051315367910552,true,1.4005781968691489e-16,1.0016078960719366,1.0016078971358726,-1.0639360503716944e-9,-1.0622281157966762e-9
90,1.0158518935741692,1.0405607708344462,0.1,1.0,0.03955650231759787,true,3.0746902154667927e-16,1.0015739938789692,1.0015739948879994,-1.0090301927334622e-9,-1.0074445236374352e-9
91,1.015494324567962,1.0406740599671975,0.1,1.0,0.03856545798905493,true,4.463263006784701e-16,1.0015387339597914,1.0015387349152638,-9.554723678917298e-10,-9.540044808818704e-10
