t,evidence_window,Y_US,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
36,false,10.685121170913524,0.47719488734063775,0.04465975441061283,0.032435798651094576,0.010697169486299256,-0.033475688689952,-0.022778519203652745,0.14490141636392131,-0.05316189900622681,-0.004069537524890143,0.08766997983280436,-3.191891195797325e-16,0.0043251211421513145,-0.056175444379889465,-0.05185032323773814,0.18339569935287045,-0.08993177296801098,-0.00917780449602678,0.08428612188883272,-2.7599405397369442e-18
37,false,11.36138620173464,0.549582918853885,0.04837287537765202,0.03687652747088016,0.011842733292317316,-0.03541216945741087,-0.023569436165093556,0.1559885969635097,-0.0557655431705522,-0.004265586114616637,0.09595746767834086,-6.245004513516506e-17,0.005110043417608665,-0.05594859537381031,-0.050838551956201634,0.18620913233724526,-0.08948709395105388,-0.009006958959109574,0.08771507942708182,-8.092352693083655e-18
38,false,12.091809785751487,0.6302613895866025,0.05212299901783749,0.041321104943035744,0.013113085952801163,-0.037496248088922095,-0.024383162136120934,0.1680509780932283,-0.05851991986215856,-0.004469425362230883,0.10506163286883885,-4.163336342344337e-16,0.005885823874913201,-0.0556699004948439,-0.04978407661993069,0.1888588131412341,-0.08892112705725717,-0.008832504521010465,0.09110518156296649,-4.2034566162307195e-17
39,false,12.88138201934499,0.7201172975109174,0.055903729617634214,0.04576394428387231,0.014524523768638093,-0.03974067393994768,-0.025216150171309584,0.18118889756287748,-0.06143559389488695,-0.00468124557236671,0.11507205809562382,6.245004513516506e-16,0.006652608110513968,-0.05534270472257625,-0.04869009661206227,0.19134854775115182,-0.08823998438202352,-0.008654522473193765,0.09445404089593457,9.022826333067336e-18
40,false,13.735633391451215,0.8201425946165424,0.05970912088604395,0.05019995266962733,0.016095631105356053,-0.042159474745070966,-0.026063843639714913,0.1955143886051004,-0.06452397297292799,-0.004901274886832507,0.1260891407453399,4.5102810375396984e-17,0.007410682470983221,-0.05497016225915813,-0.047559479788174895,0.19368223184307695,-0.08744969284972304,-0.008473106535551726,0.0977594324578022,1.1745310803522988e-17
41,false,14.660700711510673,0.9314476180905031,0.06353363569854395,0.05462448114662077,0.017847628174604804,-0.04476812088470814,-0.026920492710103338,0.21115269634745043,-0.0677973986760745,-0.005129781487311524,0.13822551618406442,-3.226585665316861e-16,0.00816045891193671,-0.05455524486064464,-0.04639478594870792,0.19586381878237852,-0.08655618478443959,-0.008288366902610231,0.1010192670953287,-1.1004200033848131e-17
42,false,15.66340210236455,1.0552764198321682,0.06737210811135746,0.059033278039529,0.019804782810482403,-0.047583695694125294,-0.02777891288364289,0.22824403081104272,-0.07126923537320068,-0.005367080812534231,0.1516077146253078,1.8735013540549517e-16,0.008902461143222278,-0.0541007507373697,-0.04519828959414742,0.19789729191240762,-0.08556529076309419,-0.008100433515637046,0.10423156763367641,1.661251621429293e-18
43,false,16.75132243783373,1.1930243194071823,0.0712197095981315,0.06342244768265794,0.021994902284901845,-0.050625072637602304,-0.02863017035270046,0.24694556975167148,-0.07495396791997383,-0.00561353190398306,0.1663780699277146,-3.122502256758253e-17,0.009637312604481477,-0.05360931286526843,-0.043972000260786945,0.19978664015123096,-0.08448273432739618,-0.00790945788038993,0.10739444794344488,-3.106722139248262e-19
44,false,17.932910817877904,1.3462580359898442,0.07507191942580319,0.06778841426566348,0.024449913814684348,-0.05391310988564428,-0.029463196070959933,0.26743374837027245,-0.0788673115214491,-0.005869524195202203,0.18269691265362115,6.140921104957897e-16,0.010365726265768035,-0.05308340653841002,-0.04271768027264198,0.2015358361517062,-0.08331412841132431,-0.007715613202076477,0.11050609453830543,3.3953659071389516e-17
45,false,19.21759192704214,1.5167387302986235,0.07892449460144568,0.0721278861099029,0.027206523847444916,-0.057470899990333536,-0.03026437614288862,0.2899069028724258,-0.08302634048572086,-0.0061354919350360415,0.20074507045166892,-9.783840404509192e-16,0.01108849481990202,-0.05252535797330565,-0.04143686315340363,0.20314881770872906,-0.08206497365239683,-0.007519094793025679,0.11356474926330656,-1.922697192165484e-17
