t,evidence_window,Y_US,e_US,q_US,q_W,n_W,n_US_star,bond,asset_position,liability_position,foreign_liability_exposure_Y,NFA,NFA_over_Y,rebased_NFA_change_current_Y,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
61,false,68.2822895293707,68.83108851718723,3.330439241124434,2.762476515936948,6.109434205487149,2.10063734458517,-0.46528834428397825,16.877168518320158,6.99604504377788,0.10245768107656417,9.415835130258301,0.1378957149087423,0.1359828550825914,0.1814304250413784,-0.1843795287820415,-0.002949103740663095,1.2397319594340295,-0.20515737597224956,-0.012268409895615062,1.022306173566165,2.942091015256665e-15,0.022733724006895693,-0.040658326563209175,-0.01792460255631348,0.21333803636016452,-0.05519356643144696,-0.004237012289812701,0.15390745763890482,2.6751648674842152e-17
62,false,74.78666765800212,75.40662661741038,3.425767458678762,2.796389643993484,6.600794811374916,2.164406091933695,-0.47810264612884945,18.458394252654738,7.414751957112525,0.09914537161917726,10.565539649413363,0.14127571103621514,0.13952921727511275,0.207190024563665,-0.20025001378736135,0.006940010776303657,1.3740357097709148,-0.21845689954728417,-0.012814301844871201,1.1427645083787594,-1.1934897514720433e-15,0.023526930726870766,-0.039799789630520215,-0.016272858903649445,0.21315624529551266,-0.05331431534041982,-0.004039853776330635,0.15580207617876218,8.46640301754086e-18
63,false,82.04403256914556,82.74518787123557,3.5263752144666687,2.8323029665371666,7.1393747341488085,2.230431232992166,-0.4914892971714296,20.220872238750164,7.865337417595905,0.0958672699439427,11.86404552398283,0.14460583119173206,0.1430138269424497,0.23705647310557482,-0.2177560395231225,0.019300433582452314,1.5254215129898534,-0.23282942096025738,-0.013386651042580133,1.2792054409870157,-1.8318679906315083e-15,0.024335191236562227,-0.038933357850093095,-0.014598166613530862,0.21289381131299556,-0.051436152899744125,-0.003845664857270801,0.15761199355598057,-1.4610373044373842e-17
64,false,90.15657534929966,90.95054487948589,3.6326728613107613,2.870366813460564,7.730371845288179,2.298805519236783,-0.5054764391056685,22.18900280042509,8.350808423162855,0.09262561705354,13.332717938156568,0.1478840327119872,0.14643528149254156,0.27175206700941107,-0.23708959151463527,0.0346624754947758,1.6963784946655134,-0.24838141405231487,-0.013987141934238945,1.4340099386789595,3.2751579226442118e-15,0.025159665621836736,-0.03805977831011886,-0.01290011268828212,0.21255294147491494,-0.04956278341849399,-0.0036547638755972623,0.15933539418082365,2.30317532880908e-17
65,false,99.24232092256057,100.1425800115732,3.745108470187807,2.9107448188307665,8.379622421470819,2.369626467161646,-0.5200940653971046,24.39094254705431,8.87450815334829,0.08942261800057182,14.996340328308916,0.15110831940347969,0.14979220297992024,0.31213699588270855,-0.25846759824530097,0.05366939763740758,1.8898027507465083,-0.2652321319401338,-0.014617626291436037,1.6099529925149385,1.8318679906315083e-15,0.026001470555032217,-0.037179772046225655,-0.011178301491193433,0.21213578883319983,-0.047697825944883934,-0.0034674584172022446,0.1609705044711136,3.9381706867027457e-17
66,false,109.43786779891279,110.46007789144383,3.864171754125441,2.9536151840572664,9.093686593715443,2.4429967742104908,-0.5353741744993004,26.859250802255936,9.440159130323746,0.08626044458093443,16.88371749743289,0.15427674019066207,0.15308323696270865,0.3592374736686214,-0.2821355088857996,0.07710196478282183,2.109070781533006,-0.28351546808965655,-0.015280109102195794,1.8102752043411536,-1.2212453270876722e-15,0.026861668799607608,-0.036294040244125,-0.00943237144451739,0.21164446349262725,-0.04584481147822679,-0.0032840436071743836,0.162515608407226,2.455353634288157e-17
67,false,120.9016484718249,122.06404940823485,3.9903983943812236,2.999172090786884,9.879946073085694,2.519024776475057,-0.5513509780232559,29.631658520878087,10.051912423452588,0.08314123546293169,19.028395119402244,0.15738739181737998,0.15630705544373014,0.41428023197826785,-0.3083712749643049,0.10590895701396297,2.3581274866438835,-0.30338201816453736,-0.015976803523955585,2.0387686649553904,5.551115123125783e-16,0.027741259389937257,-0.03540326957648363,-0.007662010186546374,0.21108104500882036,-0.044007178588840394,-0.0031048007897034467,0.16396906563027647,2.6816823571733344e-17
68,false,133.8178174733252,135.14169674191805,4.124374892710533,3.0476272397644664,10.746715989937792,2.597824987750758,-0.5680611010347215,32.75198438894677,10.714404155135274,0.08006709687423387,21.46951913277677,0.16043841947322474,0.15946235775779305,0.4787342588618476,-0.3374901187568985,0.14124414010494912,2.6415916092068352,-0.32500161292578716,-0.016710123011465572,2.299879873269582,-4.6629367034256575e-15,0.02864116544535447,-0.034508138445515105,-0.005866973000160629,0.21044759542235347,-0.042188268763507154,-0.002929995900892593,0.16532933075795367,-1.0616960832650034e-17
69,false,148.40089808731736,149.91115334184622,4.2667439505848215,3.099211568534585,11.703373016649278,2.6795187057204943,-0.5855438549613485,36.27122904407495,11.43282022811179,0.07704010134348953,24.25286496100181,0.1634280201372616,0.16254787419366032,0.5543621308240434,-0.3698498960283615,0.1845122347956819,2.9648825243041377,-0.3485661769481541,-0.017482753926627015,2.5988335934293563,-5.551115123125783e-16,0.029562222581917943,-0.033609322666900976,-0.0040471000849830316,0.20974617295050557,-0.040391320424030576,-0.002759878247831612,0.16659497427864334,-1.3314272788127038e-17
70,false,164.90134767477173,166.6271625381936,4.418210470256354,3.15417713873793,12.760502300553718,2.764234708178733,-0.6038414986609331,40.2488846352193,12.212970729921295,0.07406228573709685,27.43207240663707,0.16635444642174932,0.16556237012692154,0.6432825711625659,-0.40585737275025274,0.2374251984123132,3.334373019981781,-0.37429312905925344,-0.01829764369958453,2.9417822472229433,3.608224830031759e-15,0.03050516580190421,-0.03270750128290154,-0.002202335480997334,0.2089788466991818,-0.03861946214944305,-0.0025946789418198725,0.16776470560791884,9.899099151776748e-18
