sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,t,model_t,US_NFA_change_current_Y,cum_VA_current_Y,cum_VA_RoW_equity_asset_current_Y,cum_VA_US_equity_liability_current_Y,cum_CA_current_Y,cum_CA_RoW_equity_quantity_current_Y,cum_CA_US_equity_liability_quantity_current_Y,cum_CA_bond_position_current_Y,US_equity_price_index,RoW_equity_price_index,US_held_RoW_equity_current_Y,foreign_held_US_equity_claim_current_Y
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,72,71,0.17137356526849737,0.0015614575460014297,0.0324590662983062,-0.03089760875230477,0.16981210772249591,0.20725490422175957,-0.035162934577778845,-0.002279861921484812,4.411917641298267,1.414867349036706,0.2434120291271002,0.06826214573048144
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,73,72,0.1741680148481755,0.003479902558437862,0.03347086600720862,-0.029990963448770752,0.17068811228973768,0.20630261821458215,-0.03348390119033522,-0.0021306047345092485,4.5824994687931415,1.4437513257957966,0.2430805394662682,0.06544368707762555
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,74,73,0.17688695633819,0.005422032483783131,0.03450620748456931,-0.029084175000786184,0.17146492385440684,0.20529311973382636,-0.03184121101967971,-0.001986984859739787,4.764859736314746,1.474642230298683,0.2427501514441584,0.06268212986607008
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,75,74,0.17952941125747268,0.007387088847601427,0.035565110855521935,-0.02817802200792052,0.17214232240987123,0.2042287630715886,-0.03023731552483633,-0.001849125136881033,4.9600508820522355,1.5077101863818974,0.24242083498710854,0.059979272664677626
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,76,75,0.18209447340216628,0.009374092932482316,0.036647410231222914,-0.0272733172987406,0.172720380469684,0.203112005493256,-0.028674501060937115,-0.001717123962634901,5.169233215285332,1.5431415293873807,0.24209258573273945,0.05733684791181936
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,77,76,0.18458131504977743,0.01138182777732316,0.03775273963252812,-0.026370911855204963,0.17319948727245427,0.20194542054414416,-0.027154878733954606,-0.0015910545377353115,5.393687097217502,1.5811404698350522,0.24176542253522687,0.05475651466751473
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,78,77,0.18698919673431005,0.013408824021554473,0.038880521307479224,-0.02547169728592475,0.17358037271275556,0.20073171103254928,-0.025680373800950413,-0.0014709645188433194,5.634826532420692,1.6219309503897703,0.2414393870386369,0.052239849458668
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,79,78,0.18931747337157662,0.015453346046183881,0.04002995420605902,-0.02457660815987513,0.17386412732539272,0.19947371919555154,-0.024252716142916096,-0.0013568757272427064,5.8942144849518,1.6657586999420606,0.24111454058320714,0.049788338053135525
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,80,79,0.19156560360823682,0.0175133829671176,0.0412000056550592,-0.0236866226879416,0.1740522206411192,0.19817443556085862,-0.02287343086112217,-0.0012487840586172365,6.173580004249592,1.7128935279069677,0.24079096298429928,0.047403365691156954
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,81,80,0.19373315704249836,0.019586642041045568,0.04238940470467237,-0.022802762663626797,0.17414651500145273,0.1968370049144527,-0.021543830146308264,-0.0011466597666916782,6.4748374990925965,1.7636318729543212,0.24046875005448345,0.04508620782831079
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,82,81,0.19581981993212424,0.021670545699839228,0.043596638052115944,-0.021926092352276716,0.17414927423228502,0.19546472862705816,-0.02026500653464796,-0.0010504478601251425,6.800108433875628,1.818299640271761,0.2401480100092235,0.04283802118265639
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,83,82,0.1978254032572628,0.02376223447374827,0.044819950047212016,-0.021057715573463746,0.1740631687835145,0.19406106476222512,-0.019037827232233694,-0.0009600687464768954,7.151745662939707,1.8772553720395782,0.23982886166629644,0.0406598340019758
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,84,83,0.19974984500072845,0.025858572352715277,0.046057344594327275,-0.020198772241611995,0.17389127264801318,0.1926296227891922,-0.017862930880295096,-0.000875419260883908,7.532360960144365,1.9408937697497675,0.2395114290611902,0.03855253817929183
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,85,84,0.20159321437065833,0.02795615888526684,0.047306591878685564,-0.019350432993418726,0.17363705548539146,0.19117415512184274,-0.016740725832902394,-0.0007963738035488746,7.94485596999192,2.009649634066414,0.23919583760812774,0.03651688090525144
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,86,85,0.2033557101491044,0.030051344003421986,0.04856523708731089,-0.018513893083888906,0.1733043661456824,0.1896985430851873,-0.01567139113210322,-0.0007227858074016763,8.392457266657075,2.0840022450987488,0.2388822065646923,0.03455345821597526
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,87,86,0.205037654452159,0.03214024650980992,0.04983061172066975,-0.01769036521085984,0.1728974079423491,0.18820677728089422,-0.01465487995836593,-0.0006544893801791815,8.878756082004914,2.164480238104237,0.23857063835235887,0.0326627098650225
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,88,87,0.20663947963013996,0.0342187741270195,0.05109984561184762,-0.016881071484828127,0.17242070550312047,0.18670293246291741,-0.013690925725806515,-0.0005913012339904156,9.407753469371274,2.2516670114416497,0.23826120294979902,0.030844915899201953
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,89,88,0.20816170423317304,0.03628264330948132,0.052369878258579354,-0.016087234949098035,0.17187906092369173,0.1851911346814266,-0.012779051038552291,-0.0005330227191825415,9.983911909333164,2.3462067071376658,0.23795391371470453,0.02910019555497012
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,90,89,0.20960488797318527,0.03832739112670908,0.05363746269035009,-0.01531007156364101,0.17127749684647617,0.18367551896608833,-0.011918580091902112,-0.0004794420277100746,10.612214861073202,2.4488107418697123,0.23764868612337767,0.027428509970073827
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,91,90,0.21096956143382414,0.04034837605324318,0.05489915867062344,-0.014550782617380261,0.170621185380581,0.1821601759978428,-0.011108654063938767,-0.00043033655332302436,11.29823596754301,2.5602648780385393,0.23734527467691646,0.025829668220585703
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,92,91,0.21225610729117614,0.04234075182686195,0.05615130115852877,-0.013810549331666816,0.1699153554643142,0.1806490813487844,-0.010348250614678074,-0.0003854752697921426,12.048221025166935,2.6814366601138135,0.2370431674834415,0.024303339566460146
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,93,92,0.2134645695090338,0.04429939783528738,0.057389928444126666,-0.013090530608839284,0.16916517167374642,0.179146000483168,-0.00963620766513608,-0.0003446211442855187,12.869187028409371,2.8132829182351258,0.23674141613243366,0.022849073037200716
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,94,93,0.21459434518229212,0.04621877508244681,0.05861064116464353,-0.012391866082196723,0.16837557009984527,0.17765435626798573,-0.00897125259004643,-0.0003075335780940044,13.769045472878155,2.9568566969916614,0.2364383588312441,0.021466327656168037
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,95,94,0.21564368831177774,0.048092659656842555,0.05980834696635032,-0.011715687309507759,0.16755102865493518,0.17617703774908156,-0.008352038377713668,-0.0002739707164326995,14.756761676286466,3.113312405838493,0.23613117034266135,0.020154517709998286
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,96,95,0.21660891187610107,0.04991367681304729,0.06097681804166839,-0.011063141228621093,0.16669523506305373,0.17471611592377087,-0.0077771891449833165,-0.0002436917157338291,15.842569899182415,3.283906979262224,0.23581513170615964,0.018913079582819584
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,97,96,0.2174831052483043,0.05167251199823781,0.062107943938685024,-0.010435431940447205,0.1658105932500665,0.17327241079453334,-0.007245358729446795,-0.00021645881502004803,17.03827807836167,3.469993042363706,0.23548244644984065,0.017741569957693507
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,98,97,0.2182540736512339,0.053356600460702286,0.06319049022476872,-0.00983388976406643,0.1648974731905316,0.1718448203069902,-0.006755307893554565,-0.00019203922290401328,18.357720522720026,3.672996914209998,0.2351203245056391,0.016639809881182285
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,99,98,0.21890102894622251,0.05494797630775552,0.0642080572543188,-0.009260080946563276,0.16395305263846696,0.1704292677453078,-0.006306008332044706,-0.0001702067747961325,19.817460056549777,3.8943686798211976,0.23470788468022477,0.015608096282466908
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,100,99,0.21938927689108254,0.05641976729220522,0.06513574552749091,-0.008715978235285683,0.16296950959887732,0.16901712611527459,-0.005896760004938954,-0.0001508565114583308,21.43791704939239,4.135481641293289,0.23421124072866153,0.014647487694809617
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2108364288994879,0.16903502012668414
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,2,1,-0.0048534135748420585,-0.004165055442839663,-0.001181986086758278,-0.002983069356081385,-0.00068835813200239,0.004859343655501683,-0.004420598577947724,-0.0011271032095563488,1.0179309734786297,0.9943038171760761,0.2111822996141343,0.1737677172499596
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,3,2,-0.00911124349545567,-0.008136517440688506,-0.002169799779901703,-0.005966717660786804,-0.000974726054767111,0.010000460367622772,-0.008776552201937892,-0.00219863422045199,1.0360682495429199,0.9894602893632785,0.2114953277687514,0.17802843502956608
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,4,3,-0.012782198665781359,-0.011903315166871526,-0.0029793487837783687,-0.00892396638309316,-0.0008788834989098206,0.015377110729322706,-0.013048639330103915,-0.003207354898128612,1.054396076248963,0.9853729462009432,0.21177205899861315,0.1818180294429615
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,5,4,-0.015880464582550918,-0.015456997677072015,-0.003625840265040394,-0.01183115741203162,-0.0004234669054789248,0.02094394187795784,-0.017219388023273878,-0.004148020760162887,1.0729054197208512,0.9819591025414225,0.21201029513950895,0.18514216121089225
omega,0.6,omega_0p60_omega_star_0p25,omega_bar = 0.6,0.6,0.25,100,6,5,-0.018424634767400846,-0.018791727075832484,-0.004123748423333501,-0.01466797865249898,0.0003670923084316444,0.02665734327574518,-0.021273065668364125,-0.005017185298949413,1.0915931620075519,0.979147778891538,0.21220893465510918,0.1880104710723921
