T_report,n_buffer,t,solved_terminal,periods_to_terminal,q_US,v_US,fundamental_share,bubble_share,baseline_bubble_share,bubble_share_error,log_q_error,phi_error
45,20,23,65,42,1.4950099154736352,1.4328857732853,0.9584456654465374,0.0415543345534626,0.06981132141616826,-0.02825698686270566,0.00014961886661829515,-4.2599544221477714e-5
45,20,24,65,41,1.5641697662602945,1.4870309642931403,0.9506838684450589,0.04931613155494115,0.08285291009420301,-0.03353677853926186,0.00018645619003959668,-5.1910053142645296e-5
45,20,25,65,40,1.6399544946911664,1.5446858747830066,0.9419077662114639,0.058092233788536056,0.09759953154451406,-0.039507297755978006,0.00023065961408025304,-6.272598488044068e-5
45,20,26,65,39,1.7229897105588468,1.605941677787764,0.9320668997302842,0.0679331002697158,0.11413630784836742,-0.04620320757865162,0.00028324024346815246,-7.515886158471208e-5
45,20,27,65,38,1.8139558489991432,1.6708719159938794,0.9211204985588757,0.07887950144112434,0.13253216209876892,-0.05365266065764458,0.0003452392293512574,-8.929928384954211e-5
45,20,28,65,37,1.9135918589376677,1.7395286442292905,0.9090384849332457,0.09096151506675432,0.15283813684201614,-0.06187662177526182,0.0004177039898646262,-0.00010521071952174221
45,20,29,65,36,2.0226990851298603,1.8119381081120325,0.8958021098801769,0.10419789011982299,0.17508632801286408,-0.0708884378930411,0.0005016603068148662,-0.0001229236672842804
45,20,30,65,35,2.1421453720526036,1.8880959385297635,0.8814042049445926,0.11859579505540735,0.19928946130389544,-0.08069366624848809,0.0005980809154323419,-0.00014243054551266177
45,20,31,65,34,2.272869437285975,1.9679618642173438,0.8658490593138863,0.13415094068611366,0.22544109412160207,-0.09129015343548841,0.0007078514811037495,-0.00016368164326358015
45,20,32,65,33,2.415885566481194,2.0514539499827675,0.8491519542338127,0.15084804576618724,0.25351638936849225,-0.102668343602305,0.0008317351377643556,-0.0001865824361809154
45,20,33,65,32,2.5722887043889666,2.1384423909561994,0.8313384058746917,0.16866159412530837,0.283473375186932,-0.11481178106162362,0.0009703370069540362,-0.00021099251079764736
45,20,34,65,31,2.743260019651736,2.2287428903722013,0.8124431787020853,0.18755682129791482,0.31525458676181606,-0.12769776546390124,0.0011240703302122235,-0.00023672626721216172
45,20,35,65,30,2.9300730448440597,2.322109663834068,0.7925091382688215,0.20749086173117848,0.3487889749838374,-0.1412981132526589,0.001293125974259901,-0.0002635554774849669
45,20,36,65,29,3.1341005074126524,2.4182281117870867,0.7715860120208614,0.22841398797913856,0.38399396752776427,-0.1555799795486257,0.0014774480480974628,-0.0002912138653283769
45,20,37,65,28,3.356821980676732,2.5167071933025102,0.7497291211120897,0.25027087888791033,0.4207775776591477,-0.17050669877123736,0.0016767114079758727,-0.00031940238863270576
45,20,38,65,27,3.5998325077092312,2.617071533332863,0.7269981388657017,0.27300186113429825,0.4590404668538074,-0.18603860571950914,0.001890317871943381,-0.00034779808979057414
45,20,39,65,26,3.864852353560563,2.7187532631973164,0.7034559187474826,0.2965440812525174,0.4986778929014074,-0.20213381164889,0.0021173914474843514,-0.00037606195864314795
45,20,40,65,25,4.153738058613821,2.8210835779280443,0.6791674241657626,0.32083257583423735,0.5395814874549582,-0.2187489116207208,0.0023567890537274927,-0.000403848648923677
45,20,41,65,24,4.468494967384689,2.923283958181542,0.6541987804660044,0.34580121953399556,0.5816408307948974,-0.2358396112609018,0.0026071200444763853,-0.0004308162224779255
45,20,42,65,23,4.8112914199720835,3.024456972783876,0.6286164584063845,0.3713835415936155,0.6247448082853886,-0.2533612666917731,0.002866777798875786,-0.00045663613407964654
45,20,43,65,22,5.184474753552986,3.123576526507011,0.6024865921791565,0.39751340782084355,0.6687827452990539,-0.27126933747821036,0.00313397494590828,-0.0004810017719955595
45,20,44,65,21,5.590589321664095,3.219477404131895,0.5758744237671146,0.4241255762328853,0.713645331768251,-0.28951975553536563,0.003406790605362975,-0.0005036368564566018
45,20,45,65,20,6.03239666033458,3.3108439000308767,0.5488438652917171,0.45115613470828286,0.7592253532102871,-0.3080692185020042,0.003683219652049985,-0.0005243020099765516
60,0,1,60,59,0.8815629375793596,0.881427411432867,0.9998462660568913,0.00015373394310871173,0.00022495736641106096,-7.122342330234923e-5,1.8971804782719204e-7,-7.14392707212852e-8
60,0,2,60,58,0.888272972264979,0.8880819342098986,0.999784933166892,0.00021506683310801072,0.00031470519137635154,-9.963835826834081e-5,2.6803347220882845e-7,-9.990138860604958e-8
60,0,3,60,57,0.8963424828323441,0.8960744226040052,0.999700939949324,0.00029906005067610966,0.00043761166802819886,-0.0001385516173520892,3.7789266704724156e-7,-1.3962090217312095e-7
60,0,4,60,56,0.9057827791139171,0.9054084338735009,0.9995867163197975,0.00041328368020255814,0.0006047540473907579,-0.00019147036718819972,5.310198842173319e-7,-1.9463688749610242e-7
60,0,5,60,55,0.9166216514120511,0.916101469854887,0.9994325013418975,0.0005674986581023753,0.0008304154532932603,-0.000262916795190885,7.431686827319428e-7,-2.703056173336549e-7
