t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
20,u,4.7417486060569,5.23476441300097,0.4801329130836747,1.103973417383265,2.500996940665525,0.108771726549482,0.02293915928198761,10.41378306662478,0.2388834284933713,0.2388834284933713,1.853710335087648e-21,7.759895053327595e-21,0.195770233806177,0.04311319468719435,1.250498470332762,1.250498470332762,9.703736894128924e-21,0.2256874172793075
21,u,5.23476441300097,5.790771973615337,0.4689278095939928,1.106214438081201,2.561851316659336,0.1085976900202387,0.02074547801053423,10.66262204480707,0.2212011911651826,0.2212011911651826,2.616197606034276e-21,1.182723109334716e-20,0.1790951829578947,0.04210600820728791,1.280925658329668,1.280925658329668,1.514980377446282e-20,0.2438262922475802
22,u,5.790771973615337,6.418781522984662,0.4577497160734842,1.108450056785303,2.625200285691141,0.1084112611168285,0.0187213831956751,10.92299967521407,0.2044936625659172,0.2044936625659172,3.673442088442022e-21,1.796359868735742e-20,0.1635417025807206,0.04095195998519663,1.31260014284557,1.31260014284557,2.357902220304584e-20,0.2628616840829873
23,u,6.418781522984662,7.129199656046097,0.4466098195447701,1.110678036091046,2.691139157895219,0.1082122032328481,0.01685868304527222,11.19545469263642,0.1887406222108629,0.1887406222108629,5.131494330309359e-21,2.718807573165888e-20,0.1490678534565728,0.03967276875429004,1.34556957894761,1.34556957894761,3.658344761464398e-20,0.2828350893574809
24,u,7.129199656046097,7.934058969938476,0.4355191657384724,1.112896166852305,2.759766604628472,0.1080003045279783,0.01514900826720233,11.48055101437827,0.1739189622288546,0.1739189622288546,7.13145796306825e-21,4.100448778945785e-20,0.1356296473207677,0.03828931490808687,1.379883302314235,1.379883302314235,5.658140802062081e-20,0.3037896823993056
25,u,7.934058969938476,8.847287222642773,0.4244886153704887,1.115102276925902,2.831184778317042,0.1077753791086254,0.013583889345539,11.77887891206707,0.1600029877560219,0.1600029877560219,9.85993877829083e-21,6.162346664004554e-20,0.1231814893013981,0.03682149845462385,1.415592389158521,1.415592389158521,8.723371036921246e-20,0.3257703727961542
26,u,8.847287222642773,9.885023050089972,0.413528801918326,1.117294239616335,2.905499437578277,0.1075372680529256,0.01215482953664108,12.09105623793412,0.1469647274900301,0.1469647274900301,1.356222361691272e-20,9.228216762306292e-20,0.1116766089573999,0.03528811853263022,1.452749718789139,1.452749718789139,1.340628930636569e-19,0.3488238650893569
27,u,9.885023050089972,11.06598657349777,0.4026500912423031,1.119469981751539,2.982820077837273,0.1072858402707144,0.01085337279711633,12.41772970812801,0.1347742498161399,0.1347742498161399,1.855878306386331e-20,1.377027369039809e-19,0.1010674747076354,0.03370677510850451,1.491410038918638,1.491410038918638,2.053712442051691e-19,0.3729987207866196
28,u,11.06598657349777,12.41191475947605,0.3918625433715588,1.121627491325688,3.063260067656832,0.1070209931910437,0.009671166007678993,12.75957624574255,0.1233999800602136,0.1233999800602136,2.526578777958959e-20,2.047470977488086e-19,0.09130618707637381,0.03209379298383984,1.531630033828416,1.531630033828416,3.135968042512777e-19,0.3983454228236906
29,u,12.41191475947605,13.9480732132666,0.3811758767446612,1.123764824651068,3.146936790999018,0.1067426532719193,0.008600015013028114,13.11730438636691,0.112809014653215,0.112809014653215,3.422043108215963e-20,3.033483732426553e-19,0.08234484687097941,0.03046416778223558,1.573468395499508,1.573468395499508,4.773090781235066e-19,0.4249164426078596
30,u,13.9480732132666,15.70385824503612,0.3705994351608684,1.125880112967826,3.233971795635934,0.1064507763290695,0.007631934153300808,13.49165574909638,0.1029674282961058,0.1029674282961058,4.61119584725403e-20,4.478305347195335e-19,0.07413589513313958,0.02883153316296626,1.616985897817967,1.616985897817967,7.241356592537651e-19,0.4527663097782799
31,u,15.70385824503612,17.71350561564804,0.3601421576614277,1.127971568467715,3.324490947926994,0.1061453476827224,0.006759189113049602,13.88340657607915,0.09384057058107545,0.09384057058107545,6.18194159065176e-20,6.587706737472091e-19,0.06663242244386336,0.02720814813721209,1.662245473963496,1.662245473963496,1.095038570816181e-18,0.4819516848198901
32,u,17.71350561564804,20.01692541961763,0.3498125515214902,1.130037489695702,3.418624594179768,0.1058263821234968,0.00597433305522596,14.29336934381794,0.08539334894132489,0.08539334894132489,8.245723983220442e-20,9.656166534569581e-19,0.05978844589428413,0.02560490304704076,1.709312297089884,1.709312297089884,1.65054042002876e-18,0.5125314346691551
33,u,20.01692541961763,22.66068619187428,0.3396186684930083,1.132076266301398,3.516507728811997,0.1054939237005916,0.005270236137124338,14.72239444959409,0.07759049525324956,0.07759049525324956,1.094299197195872e-19,1.410352123187462e-18,0.05355915274048936,0.0240313425127602,1.758253864405999,1.758253864405999,2.47975707076756e-18,0.5445667114511064
34,u,22.66068619187428,25.6991756423683,0.329568084398173,1.134086383120365,3.61828016953323,0.1051480453374248,0.004640108620149775,15.17137197653875,0.0703968138878362,0.0703968138878362,1.444970637155009e-19,2.052608005040246e-18,0.04790111042506891,0.02249570346276729,1.809140084766615,1.809140084766615,3.713455420231142e-18,0.5781210344882894
35,u,25.6991756423683,29.19597056081375,0.3196678821322692,1.136066423573546,3.724086739766293,0.1047888482817123,0.004077517883840397,15.64123354103853,0.06377740948890886,0.06377740948890886,1.898502852283634e-19,2.976763822014112e-18,0.04277244325749612,0.02100496623141274,1.862043369883147,1.862043369883147,5.542863338489393e-18,0.6132603757232135
36,u,29.19597056081375,33.22545455099793,0.3099246380950126,1.138015072380997,3.834077458531265,0.1044164613986522,0.003576399735749764,16.1329542263341,0.05769789323192431,0.05769789323192431,2.48203397176729e-19,4.301775736924095e-18,0.03813297658949833,0.01956491664242598,1.917038729265632,1.917038729265632,8.246670692298698e-18,0.6500532486969873
37,u,33.22545455099793,37.8747295388802,0.3003444120311327,1.139931117593773,3.948407738018082,0.1040310403173692,0.003131064472201317,16.64755460634878,0.05212456677697005,0.05212456677697005,3.228974453597536e-19,6.194726696556792e-18,0.03394434979295043,0.01818021698401962,1.974203869009041,1.974203869009041,1.222965341179601e-17,0.6885708012278994
38,u,37.8747295388802,43.24587567665247,0.2909327402247786,1.141813451955044,4.067238589078271,0.1036327664420521,0.002736198190819243,17.18610286397101,0.04702458356363088,0.04702458356363088,4.180221266504812e-19,8.889438140049415e-18,0.03017009974221834,0.01685448382141254,2.033619294539136,2.033619294539136,1.807773291921658e-17,0.7288869119349572
39,u,43.24587567665247,49.4586246054891,0.2816946319587699,1.143661073608246,4.190736834871834,0.1032218458402876,0.002386859884907242,17.74971700820988,0.04236608749535195,0.04236608749535195,5.385551150721251e-19,1.271193888581783e-17,0.02677571681878161,0.01559037067657034,2.095368417435918,2.095368417435918,2.663619526571822e-17,0.7710782907529175
40,b,49.4586246054891,52.49238263731161,0.6933034373659253,1.061339312526815,2.49114944805155,0.1627304722383711,0.003290234484610206,7.211849430599321,0.02372867569437436,0.02372867569437436,0,0,0.02372867569437436,0,1.245574724025775,1.245574724025775,0,0
41,b,52.49238263731161,55.71222930117882,0.6933034373659253,1.061339312526815,2.506023893585728,0.1637021223125783,0.003118588147229933,7.211849430599321,0.02249078815387398,0.02249078815387398,0,0,0.02249078815387398,0,1.253011946792864,1.253011946792864,0,0
42,b,55.71222930117882,59.12957914584941,0.6933034373659253,1.061339312526815,2.520987153193313,0.1646795740283203,0.002955896328220272,7.211849430599321,0.02131747925158599,0.02131747925158599,0,0,0.02131747925158599,0,1.260493576596656,1.260493576596656,0,0
